CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y (USD per ADR),,12/31/2023,,1.63,1/26/2023,1.55,12/20/2022,1.53,11/15/2022,1.05,10/16/2022,1.22,9/30/2022,1.67,8/27/2022,1.67,7/26/2022,1.57,6/22/2022,1.65,5/19/2022,1.65,4/16/2022,1.65,4/8/2022,,,1.5,1/28/2022,1.45,12/22/2021,1.44,11/21/2021,1.41,10/16/2021,1.42,9/22/2021,1.39,8/22/2021,1.39,7/16/2021,1.39,7/9/2021,1.31,6/5/2021,1.14,5/7/2021,1.14,3/2/2021,0.97,2/2/2021,0.94,12/28/2020,0.94,11/27/2020,0.94,10/26/2020,0.94,10/3/2020,0.94,3/19/2020
,,9/30/2023,,1.4,,1.46,,1.45,,1.02,,1.15,,1.57,,1.6,,1.51,,1.54,,1.54,,1.54,,,,1.45,,1.34,,1.33,,1.34,,1.37,,1.35,,1.35,,1.35,,1.13,,1.14,,1.14,,0.97,,0.7,,0.7,,0.7,,0.7,,0.7,
,,6/30/2023,,1.11,,1.29,,1.36,,1.1,,1.15,,1.4,,1.45,,1.4,,1.38,,1.38,,1.38,,,,1.32,,1.19,,1.18,,1.16,,1.15,,1.14,,1.09,,1.09,,1.01,,1,,1,,0.93,,0.49,,0.49,,0.49,,0.49,,0.49,
,,3/30/2023,,1.22,,1.37,,1.4,,1.11,,1.11,,1.36,,1.38,,1.33,,1.31,,1.34,,1.34,,,,1.28,,1.1,,1.09,,1.07,,1.06,,0.99,,0.96,,0.96,,0.9,,0.9,,0.9,,0.95,,0.6,,0.6,,0.6,,0.6,,0.6,
,1/12/2023,12/31/2022,1.82,1.91,,1.77,,1.75,,1.41,,1.38,,1.64,,1.61,,1.5,,1.45,,1.48,,1.49,,1.46,,1.5,1/28/2022,1.45,12/22/2021,1.44,11/21/2021,1.41,10/16/2021,1.42,9/22/2021,1.39,8/22/2021,1.39,7/16/2021,1.39,7/9/2021,1.31,6/5/2021,1.14,5/7/2021,1.14,3/2/2021,0.97,2/2/2021,0.94,12/28/2020,0.94,11/27/2020,0.94,10/26/2020,0.94,10/3/2020,0.94,3/19/2020
,10/13/2022,9/30/2022,1.79,1.79,,1.42,,1.7,,1.66,,1.52,,1.49,,1.49,,1.47,,1.43,,1.45,,1.34,,1.33,,1.34,,1.37,,1.35,,1.35,,1.35,,1.13,,1.14,,1.14,,0.97,,0.7,,0.7,,0.7,,0.7,,0.7,,,,,,,
,7/14/2022,6/30/2022,1.55,1.55,,1.47,,1.45,,1.42,,1.34,,1.33,,1.32,,1.19,,1.18,,1.16,,1.15,,1.14,,1.09,,1.09,,1.01,,1,,1,,0.93,,0.49,,0.49,,0.49,,0.49,,0.49,,,,,,,,,,,,,
,4/14/2022,3/31/2022,1.4,1.39,,1.3,,1.29,,1.28,,1.1,,1.09,,1.07,,1.06,,0.99,,0.96,,0.96,,0.9,,0.9,,0.9,,0.95,,0.6,,0.6,,0.6,,0.6,,0.6,,,,,,,,,,,,,,,,,,,
,1/28/2022,12/31/2021,1.15,1.15,,1.14,,1.12,,1.12,,1.11,,1.09,,1.06,,1.06,,1.07,,1.07,,1.05,4/4/2021,0.97,3/2/2021,0.97,2/2/2021,0.94,12/28/2020,0.94,11/27/2020,0.94,10/26/2020,0.94,10/3/2020,0.94,3/19/2020,,,,,,,,,,,,,,,,,,,,,,
,10/14/2021,9/30/2021,1.08,1.07,,1.04,,1.03,,1.02,,1.02,,1,,1.01,,0.97,,0.97,,0.7,,0.7,,0.7,,0.7,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
