CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,
N,,1/30/2027,,2.12,11/23/2025,2.3,10/27/2025,2.3,9/24/2025,2.29,8/22/2025,2.27,7/4/2025,2.28,5/24/2025
,,10/30/2026,,3.23,,3.26,,3.26,,3.26,,3.29,,3.3,
,,7/30/2026,,4.52,,4.59,,4.61,,4.6,,4.59,,4.6,
,,4/30/2026,,3.09,,3.17,,3.18,,3.17,,3.19,,3.22,
,,1/30/2026,,1.97,12/27/2024,2.07,12/27/2024,2.07,12/27/2024,2.06,12/27/2024,2.06,12/27/2024,2.06,12/27/2024
,11/23/2025,10/30/2025,2.88,3.06,,2.99,,3,,3,,3.04,,3.03,
,8/20/2025,7/30/2025,4.27,4.33,,4.27,,4.27,,4.28,,,,,
,5/22/2025,4/30/2025,2.92,2.92,,2.9,,2.95,,3.12,,,,,
,2/26/2025,1/30/2025,1.99,1.93,4/12/2024,1.82,4/12/2024,1.82,4/12/2024,1.82,4/12/2024,,,,
,11/19/2024,10/30/2024,2.99,2.89,,2.81,,2.85,,3.18,,,,,
,8/20/2024,7/30/2024,4.17,4.1,,3.99,,4,,4.18,,,,,
,5/21/2024,4/30/2024,3.06,3.06,,2.94,,2.95,,3.47,,,,,
,2/27/2024,1/30/2024,1.77,1.77,4/13/2023,1.67,4/13/2023,1.73,4/13/2023,2.03,4/13/2023,,,,
,11/21/2023,10/30/2023,3.06,3.06,,3.12,,3.14,,3.11,,,,,
,8/22/2023,7/30/2023,4.56,4.56,,4.49,,4.56,,4.79,,,,,
,5/23/2023,4/30/2023,3.77,3.67,,3.49,,3.5,,3.66,,,,,
,3/1/2023,1/31/2023,1.58,2.28,,2.24,,2.24,,2.24,,,,,
,11/16/2022,10/31/2022,0.25,3.27,,3.08,,3.08,,3.08,,,,,
,8/17/2022,7/29/2022,4.67,4.67,,4.62,,4.65,,4.7,,,,,
,5/18/2022,4/29/2022,3.51,3.51,,3.24,,3.25,,3.12,,,,,
,2/23/2022,1/31/2022,1.78,1.78,,1.71,,1.69,,1.58,,,,,
,11/17/2021,10/29/2021,2.73,2.73,,2.36,,2.28,,2.24,,,,,
,8/18/2021,7/30/2021,4.25,4.26,,4.01,,3.99,,3.97,,,,,
,5/19/2021,4/30/2021,3.21,3.21,,2.62,,2.48,,2.24,,,,,
,2/24/2021,1/29/2021,1.325170068,1.33,,1.21,,1.18,,1.13,,,,,
,11/18/2020,10/30/2020,0.913793103,1.98,,1.99,,1.91,,1.46,,,,,
