CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1
,,12/31/2027,,-0.009,8/16/2026,-0.009,8/15/2026
,,9/30/2027,,-0.01,,-0.01,
,,6/30/2027,,-0.011,,-0.011,
,,3/31/2027,,-0.031,,-0.031,
,,12/31/2026,,-0.048,,-0.048,
,,9/30/2026,,-0.068,,-0.068,
,8/10/2026,6/30/2026,-0.08,-0.08,,-0.08,
,5/7/2026,3/31/2026,-0.07,-0.07,,-0.07,
,2/26/2026,12/31/2025,-0.09,-0.09,,-0.09,
,11/10/2025,9/30/2025,-0.03,-0.03,,-0.03,
,8/7/2025,6/30/2025,-0.13,-0.13,,-0.13,
,5/8/2025,3/31/2025,-0.12,-0.12,,-0.12,
,2/27/2025,12/31/2024,-0.11,-0.1,,-0.1,
,11/12/2024,9/30/2024,-0.1,-0.1,,-0.1,
,8/8/2024,6/30/2024,-0.08,-0.08,,-0.08,
,5/6/2024,3/31/2024,-0.09,-0.09,,-0.09,
,2/27/2024,12/31/2023,-0.1,-0.1,,-0.1,
,11/8/2023,9/30/2023,-0.08,-0.08,,-0.08,
,8/8/2023,6/30/2023,-0.1,-0.1,,-0.1,
,5/9/2023,3/31/2023,-0.1,-0.1,,-0.1,
,2/28/2023,12/31/2022,-0.08,-0.08,,-0.08,
,11/9/2022,9/30/2022,-0.07,-0.07,,-0.07,
,8/11/2022,6/30/2022,-0.08,-0.08,,-0.08,
,5/16/2022,3/31/2022,-0.06,-0.06,,-0.06,
,,12/31/2021,-0.05,-0.05,,-0.05,
