Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,
,9/30/2021,5.32,4/12/2020,6.72,3/8/2020,6.85,2/5/2020,6.947169451,1/23/2020,6.947169451,1/22/2020,6.947169451,,,,,,,,,,,,
,6/30/2021,4.94,,6.36,,6.25,,6.527541766,,6.527541766,,6.527541766,,,,,,,,,,,,
,3/31/2021,4.9,,5.92,,5.87,,5.944725537,,5.944725537,,5.944725537,,,,,,,,,,,,
,12/31/2020,3.84,,5.38,,5.21,,5.117126492,,5.117126492,,5.117126492,,,,,,,,,,,,
,9/30/2020,3.65,,5.75,,5.88,,5.9,,5.89,,5.89,,5.96,,5.95,5.98,5.95,5.79,5.77,5.81,5.89,5.36,5.427666264
,6/30/2020,3.15,,5.51,,5.56,,5.49,,5.49,,5.49,,5.6,,5.7,5.83,5.81,5.33,5.31,5.28,5.23,4.93,4.937351874
,3/31/2020,4.35,,4.92,,4.99,,5.04,,5.02,,5.02,,5.1,,5.2,5.24,5.29,5.17,4.99,4.91,4.64,4.675090689,
2/4/2020,12/31/2019,2.07,,4.56,,4.44,,4.44,,4.39,,4.46,4.61,4.6,4.35,4.34,4.44,4.37,4.19,3.854099154,,,,
11/19/2019,9/30/2019,4.623798098,,5.31,,5.29,,4.74,4.75,4.95,5.03,4.76,4.82,4.71,4.69,4.66,4.73,4.68,4.34,,,,,
8/6/2019,6/28/2019,2.567315383,,4.3,,4.29,,4.3,4.31,4.35,4.33,4.32,4.33,4.39,4.54,4.5,4.48,4.51,4.43,4.13,,,,
5/7/2019,3/29/2019,3.597405136,,3.89,,3.76,,4.18,4.1,4.09,4.2,4.16,4.21,4.18,4.22,4.11,3.78,,,,,,,
2/5/2019,12/31/2018,3.05216294,,3.43,,3.38,,3.34,3.49,3.45,3.49,3.45,3.47,3.39,3.21,,,,,,,,,
11/6/2018,9/28/2018,4.114812483,,4.3,,4.28,,4.22,4.24,4.25,4.17,3.82,3.86,4.05,4.01,3.92,3.96,,,,,,,
8/7/2018,6/29/2018,3.907512995,,4.07,,4.08,,4.06,3.94,3.63,3.58,3.61,3.6,3.56,3.55,,,,,,,,,
5/1/2018,3/29/2018,3.529862422,,3.66,,3.37,,3.35,3.43,3.41,3.4,3.43,2.79,,,,,,,,,,,
2/6/2018,12/29/2017,4.651564748,,2.78,,2.85,,2.95,2.94,2.87,2.91,2.88,,,,,,,,,,,,
11/9/2017,9/29/2017,1.645594569,,3.41,,3.56,,3.49,3.48,3.46,3.65,3.76,3.68,,,,,,,,,,,
8/8/2017,6/30/2017,3.07985061,,3.16,,3.15,,3.16,3.15,3.14,3.12,3.26,3.19,3.11,3.12,3.01,,,,,,,,
5/9/2017,3/31/2017,2.782141196,,3.01,,3.02,,3.04,3.18,3.14,3,3.01,2.49,,,,,,,,,,,
2/7/2017,12/30/2016,0.405137641,,2.49,,2.48,,2.53,2.76,2.69,2.62,2.63,3.2,,,,,,,,,,,
,9/30/2016,2.770239289,,3.2,,3.21,,3.24,3.18,3.17,3.16,3.03,3.02,2.94,2.87,2.82,2.82,,,,,,,
,7/1/2016,2.51821536,,2.82,,2.84,,2.73,2.71,2.66,2.65,2.59,2.55,2.6,2.51,,,,,,,,,
,4/1/2016,2.469572808,,2.58,,2.59,,2.56,2.57,2.56,2.5,2.46,2.44,,,,,,,,,,,
,12/31/2015,1.96991462,,2.32,,2.36,,2.27,2.29,2.25,2.24,2.21,2.06,2.04,,,,,,,,,,
,9/30/2015,2.502614379,,2.56,,2.52,,2.56,2.45,2.42,2.38,2.34,2.33,2.32,2.33,2.3,2.27,2.33,,,,,,
,6/30/2015,1.750847937,,2.27,,2.26,,2.22,2.14,2.15,2.22,2.21,2.26,,,,,,,,,,,
,3/31/2015,1.959119497,,2.01,,2.02,,2.04,2.05,2.1,2.09,2.08,2.11,,,,,,,,,,,
,12/31/2014,1.62866887,,1.86,,1.92,,1.91,1.9,1.94,2.01,1.97,1.96,2.05,1.94,,,,,,,,,
,9/30/2014,1.906488516,,2.02,,2.03,,2.06,2.16,2.12,2.11,2.07,2.05,2.03,2.02,2,2.05,2.07,2.16,1.66,,,,
,6/30/2014,-1.656917964,,1.98,,2.01,,2.02,2,1.99,1.96,1.95,1.99,1.85,2,2.03,2.05,2.13,1.62,,,,,
,3/31/2014,1.487155674,,1.92,,1.9,,1.89,1.85,1.83,1.81,1.86,1.91,1.94,2.03,1.28,,,,,,,,
,12/31/2013,1.438542928,,1.56,,1.57,,1.59,1.6,1.66,1.71,1.8,-0.18,,,,,,,,,,,
,9/30/2013,-0.195385319,,1.71,,1.7,,1.77,1.87,1.93,1.91,1.7,,,,,,,,,,,,
,6/28/2013,0.709628298,,1.84,,1.83,,1.86,1.87,1.85,1.64,,,,,,,,,,,,,
,3/28/2013,1.247626393,,1.73,,1.72,,1.73,1.72,1.71,1.7,1.71,0.91,,,,,,,,,,,
,12/31/2012,0.661855178,,1.47,,1.48,,1.52,1.53,1.52,1.63,,,,,,,,,,,,,
,9/28/2012,1.630711555,,1.76,,,,,,,,,,,,,,,,,,,,
,6/29/2012,1.678593965,,1.57,,,,,,,,,,,,,,,,,,,,
,3/30/2012,1.513529565,,1.3,,,,,,,,,,,,,,,,,,,,
,12/30/2011,1.147062099,,,,,,,,,,,,,,,,,,,,,,
,9/30/2011,1.263664148,,,,,,,,,,,,,,,,,,,,,,
,7/1/2011,1.055237845,,,,,,,,,,,,,,,,,,,,,,
,4/1/2011,1.04636904,,,,,,,,,,,,,,,,,,,,,,
,12/31/2010,-0.190462796,,,,,,,,,,,,,,,,,,,,,,
,9/30/2010,0.956767379,,,,,,,,,,,,,,,,,,,,,,
,7/2/2010,0.83150993,,,,,,,,,,,,,,,,,,,,,,
,4/1/2010,0.718907071,,,,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.008417031,,,,,,,,,,,,,,,,,,,,,,
