CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,12/31/2025,,0.55,8/3/2024,0.52,6/21/2024,0.48,5/4/2024,0.32,4/7/2024,0.3,2/18/2024,0.28,1/26/2024,0.25,12/26/2023,0.28,11/3/2023,0.26,9/22/2023,0.24,8/5/2023,0.15,6/13/2023,0.17,5/3/2023,,4/10/2023,0.13,3/2/2023,0.26,1/19/2023,0.26,12/15/2022,0.28,11/5/2022,0.28,9/23/2022,0.28,8/17/2022,0.27,7/15/2022,0.27,6/14/2022,0.23,5/12/2022,0.23,4/20/2022,,3/18/2022,0.23,2/16/2022,0.24,1/17/2022,0.24,12/11/2021,0.25,11/6/2021,0.24,9/21/2021,0.24,8/15/2021,0.29,7/9/2021,0.28,6/7/2021,0.39,5/9/2021,0.39,4/11/2021,0.27,3/13/2021,0.24,2/9/2021,0.22,1/5/2021,0.22,12/4/2020,0.22,11/6/2020,0.24,10/1/2020,0.24,9/13/2020,0.13,8/4/2020,0.13,6/10/2020,0.13,5/5/2020
,,9/30/2025,,0.44,,0.42,,0.41,,0.29,,0.28,,0.26,,0.25,,0.26,,0.24,,0.23,,0.14,,0.16,,,,0.23,,0.28,,0.28,,0.27,,0.27,,0.27,,0.27,,0.27,,0.24,,0.24,,,,0.24,,0.25,,0.25,,0.25,,0.25,,0.25,,0.27,,0.27,,0.34,,0.34,,0.26,,0.23,,0.22,,0.22,,0.22,,0.23,,0.23,,0.16,,0.16,,0.16,
,,6/30/2025,,0.33,,0.32,,0.31,,0.27,,0.26,,0.26,,0.25,,0.25,,0.24,,0.22,,0.15,,0.17,,,,0.24,,0.26,,0.26,,0.26,,0.25,,0.25,,0.26,,0.26,,0.24,,0.24,,,,0.24,,0.24,,0.24,,0.25,,0.24,,0.24,,0.26,,0.26,,0.32,,0.32,,0.23,,0.22,,0.22,,0.22,,0.22,,0.23,,0.23,,0.18,,0.18,,0.18,
,,3/30/2025,,0.31,,0.29,,0.28,,0.23,,0.23,,0.23,,0.24,,0.22,,0.22,,0.2,,0.14,,0.16,,,,0.23,,0.25,,0.25,,0.25,,0.24,,0.24,,0.26,,0.26,,0.24,,0.24,,,,0.24,,0.25,,0.25,,0.14,,0.14,,0.14,,0.13,,0.13,,0.3,,0.3,,0.2,,0.19,,0.2,,0.2,,0.2,,0.22,,0.22,,0.19,,0.19,,0.19,
,,12/31/2024,,0.27,4/7/2024,0.26,4/7/2024,0.26,4/7/2024,0.32,4/7/2024,0.3,2/18/2024,0.28,1/26/2024,0.25,12/26/2023,0.28,11/3/2023,0.26,9/22/2023,0.24,8/5/2023,0.15,6/13/2023,0.17,5/3/2023,,4/10/2023,0.13,3/2/2023,0.26,1/19/2023,0.26,12/15/2022,0.28,11/5/2022,0.28,9/23/2022,0.28,8/17/2022,0.27,7/15/2022,0.27,6/14/2022,0.23,5/12/2022,0.23,4/20/2022,,3/18/2022,0.23,2/16/2022,0.24,1/17/2022,0.24,12/11/2021,0.25,11/6/2021,0.24,9/21/2021,0.24,8/15/2021,0.29,7/9/2021,0.28,6/7/2021,0.39,5/9/2021,0.39,4/11/2021,0.27,3/13/2021,0.24,2/9/2021,0.22,1/5/2021,0.22,12/4/2020,0.22,11/6/2020,0.24,10/1/2020,0.24,9/13/2020,0.13,8/4/2020,0.13,6/10/2020,0.13,5/5/2020
,,9/30/2024,,0.27,,0.24,,0.24,,0.29,,0.28,,0.26,,0.25,,0.26,,0.24,,0.23,,0.14,,0.16,,,,0.23,,0.28,,0.28,,0.27,,0.27,,0.27,,0.27,,0.27,,0.24,,0.24,,,,0.24,,0.25,,0.25,,0.25,,0.25,,0.25,,0.27,,0.27,,0.34,,0.34,,0.26,,0.23,,0.22,,0.22,,0.22,,0.23,,0.23,,0.16,,0.16,,0.16,
,7/29/2024,6/30/2024,0.32,0.32,,0.23,,0.23,,0.27,,0.26,,0.26,,0.25,,0.25,,0.24,,0.22,,0.15,,0.17,,,,0.24,,0.26,,0.26,,0.26,,0.25,,0.25,,0.26,,0.26,,0.24,,0.24,,,,0.24,,0.24,,0.24,,0.25,,0.24,,0.24,,0.26,,0.26,,0.32,,0.32,,0.23,,0.22,,0.22,,0.22,,0.22,,0.23,,0.23,,0.18,,0.18,,0.18,
,5/1/2024,3/30/2024,0.25,0.25,,0.23,,0.23,,0.23,,0.24,,0.22,,0.22,,0.2,,0.14,,0.16,,,,0.23,,0.25,,0.25,,0.25,,0.24,,0.24,,0.26,,0.26,,0.24,,0.24,,,,0.24,,0.25,,0.25,,0.14,,0.14,,0.14,,0.13,,0.13,,0.3,,0.3,,0.2,,0.19,,0.2,,0.2,,0.2,,0.22,,0.22,,0.19,,0.19,,0.19,,,,,
,2/15/2024,12/31/2023,0.28,0.28,4/10/2023,0.27,4/10/2023,0.25,4/10/2023,0.25,4/10/2023,0.21,4/10/2023,0.21,4/10/2023,0.18,4/10/2023,0.18,4/10/2023,0.21,4/10/2023,0.13,3/2/2023,0.26,1/19/2023,0.26,12/15/2022,0.28,11/5/2022,0.28,9/23/2022,0.28,8/17/2022,0.27,7/15/2022,0.27,6/14/2022,0.23,5/12/2022,0.23,4/20/2022,,3/18/2022,0.23,2/16/2022,0.24,1/17/2022,0.24,12/11/2021,0.25,11/6/2021,0.24,9/21/2021,0.24,8/15/2021,0.29,7/9/2021,0.28,6/7/2021,0.39,5/9/2021,0.39,4/11/2021,0.27,3/13/2021,0.24,2/9/2021,0.22,1/5/2021,0.22,12/4/2020,0.22,11/6/2020,0.24,10/1/2020,0.24,9/13/2020,0.13,8/4/2020,0.13,6/10/2020,0.13,5/5/2020,,,,,,,,
,11/1/2023,9/30/2023,0.28,0.28,,0.21,,0.21,,0.17,,0.18,,0.21,,0.23,,0.28,,0.28,,0.27,,0.27,,0.27,,0.27,,0.27,,0.24,,0.24,,,,0.24,,0.25,,0.25,,0.25,,0.25,,0.25,,0.27,,0.27,,0.34,,0.34,,0.26,,0.23,,0.22,,0.22,,0.22,,0.23,,0.23,,0.16,,0.16,,0.16,,,,,,,,,,,,,,,
,8/2/2023,6/30/2023,0.25,0.25,,0.15,,0.17,,0.21,,0.24,,0.26,,0.26,,0.26,,0.25,,0.25,,0.26,,0.26,,0.24,,0.24,,,,0.24,,0.24,,0.24,,0.25,,0.24,,0.24,,0.26,,0.26,,0.32,,0.32,,0.23,,0.22,,0.22,,0.22,,0.22,,0.23,,0.23,,0.18,,0.18,,0.18,,,,,,,,,,,,,,,,,,,
,5/3/2023,3/30/2023,0.14,0.14,,0.19,,0.23,,0.25,,0.25,,0.25,,0.24,,0.24,,0.26,,0.26,,0.24,,0.24,,,,0.24,,0.25,,0.25,,0.14,,0.14,,0.14,,0.13,,0.13,,0.3,,0.3,,0.2,,0.19,,0.2,,0.2,,0.2,,0.22,,0.22,,0.19,,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,,,
