Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11
,12/31/2020,0.54,3/19/2020,0.53,3/8/2020,0.53,,0.54,,0.53,,
,9/30/2020,0.54,,0.59,,0.59,,0.54,,0.51,,
,6/30/2020,0.54,,0.52,,0.52,,0.49,,,,
,3/31/2020,0.51,,0.5,,0.5,,0.48,,,,
,12/31/2019,0.55,,0.53,,0.51,,0.49,,0.48,,
,9/30/2019,0.71,,0.52,,0.48,,0.46,,0.45,,
,6/28/2019,0.5,,0.47,,0.46,,0.43,,,,
,3/29/2019,0.68,,0.42,,0.41,,0.38,,,,
,12/31/2018,0.55,,0.41,,0.39,,0.41,,,,
,9/28/2018,0.62,,0.37,,0.38,,0.41,,,,
,6/29/2018,0.47103935399999997,,0.36,,0.4,,,,,,
,3/29/2018,0.34926654700000004,,0.3,,0.34,,,,,,
,12/29/2017,0.47432558399999997,,0.33,,0.32,,0.41,,0.44,,
,9/29/2017,0.195675011,,0.37,,0.42,,0.44,,0.46,,
,6/30/2017,0.34846068,,0.42,,0.41,,0.44,,0.45,,
,3/31/2017,0.370654111,,0.41,,0.4,,0.41,,,,
,12/30/2016,0.41465263799999996,,0.4,,0.39,,0.42,,0.44,,0.5
,9/30/2016,0.459419094,,0.39,,0.43,,0.44,,0.51,,
,6/30/2016,-0.081436461,,0.36,,0.41,,0.43,,0.5,,
,3/31/2016,0.201658227,,0.41,,0.38,,0.48,,,,
,12/31/2015,0.21295430199999998,,0.47,,0.65,,0.67,,0.69,,
,9/30/2015,0.48643464299999994,,0.65,,0.68,,0.71,,,,
,6/30/2015,0.35642070000000003,,0.64,,0.68,,0.71,,,,
,3/31/2015,0.092480922,,0.6,,0.68,,0.69,,,,
,12/31/2014,0.319425033,,0.67,,0.66,,0.63,,0.72,,0.66
,9/30/2014,0.6885020279999999,,0.65,,0.63,,0.71,,0.6,,
,6/30/2014,0.90889426,,0.6,,0.7,,0.68,,,,
,3/31/2014,0.47170845299999997,,0.69,,0.66,,0.58,,,,
,12/31/2013,0.665235943,,0.63,,0.66,,,,,,
,9/30/2013,0.542949358,,,,0.73,,,,,,
,6/28/2013,0.8370760629999999,,,,0.81,,,,,,
,3/28/2013,0.8984642359999999,,,,0.85,,,,,,
,12/31/2012,0.829788668,,,,,,,,,,
,9/28/2012,0.8164486590000001,,0.81,,,,,,,,
,6/29/2012,0.7946946890000001,,,,,,,,,,
,3/30/2012,0.6492250039999999,,,,,,,,,,
,12/30/2011,0.69595863,,,,,,,,,,
,9/30/2011,0.729547232,,,,,,,,,,
,6/30/2011,0.59,,,,,,,,,,
,3/31/2011,0.35,,,,,,,,,,
,12/31/2010,0.43,,,,,,,,,,
,9/30/2010,0.45,,,,,,,,,,
,6/30/2010,0.48,,,,,,,,,,
,3/31/2010,0.07,,,,,,,,,,
