Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,12/31/2020,0.24,0.27,0.27,0.31,0.3,0.264,,,,,
,9/30/2020,0.23,0.26,0.26,0.3,0.29,0.252,,,,,
,6/30/2020,0.21,0.24,0.24,0.29,0.28,0.24,,,,,
,3/31/2020,0.21,0.25,0.25,0.29,0.27,0.264,,,,,
,12/31/2019,0.2,0.23,0.23,0.27,0.22,0.43,0.4,0.41,0.37,,
,9/30/2019,0.19,0.23,0.23,0.27,0.26,0.22,0.21,0.39,0.37,0.38,0.35
,6/28/2019,0.22311041399999998,0.24,0.27,0.26,0.21,0.2,0.19,0.35,0.36,0.37,0.34
,3/29/2019,0.203821095,0.25,0.22,0.21,0.34,0.35,0.36,0.34,,,
,12/31/2018,0.337296045,0.3,0.34,0.36,0.34,0.31,,,,,
,9/28/2018,0.25713577,0.25,0.3,0.27,,,,,,,
,6/29/2018,0.202990389,0.24,0.27,0.26,,,,,,,
,3/29/2018,0.270579593,0.27,0.26,,,,,,,,
,12/29/2017,0.227967632,0.28,0.12,0.11,0.09,0.07,,,,,
,9/29/2017,0.217650158,0.19,0.1,0.09,0.07,0.06,,,,,
,6/30/2017,0.13883024,0.11,0.06,0.04,-0.01,,,,,,
,3/31/2017,0.098753534,0.04,0.03,,,,,,,,
,12/30/2016,0.02633976,0.03,0.01,0.02,-0.01,-0.01,,,,,
,9/30/2016,-0.09595764300000001,-0.01,0.0,-0.02,0.02,0.05,0.1,0.12,-0.01,,
,6/30/2016,-0.894394652,-0.01,0.0,-0.02,0.0,0.04,0.08,0.1,-0.05,,
,3/31/2016,-0.42342731299999997,1e-07,-0.03,-0.01,0.03,0.06,0.08,,,,
,12/31/2015,-1.140481572,0.01,0.0,,,,,,,,
,11/30/2015,-1.142128855,-0.04,0.0,0.02,0.05,0.07,0.09,0.12,,,
,8/31/2015,-0.050245207,0.01,0.03,0.04,0.07,0.1,0.2,0.21,0.22,,
,5/29/2015,-0.023802096000000002,0.01,0.02,0.04,0.07,0.18,0.19,0.21,0.2,,
,2/27/2015,0.051326123,0.04,0.05,0.07,0.15,0.17,0.19,0.18,0.16,,
,11/28/2014,0.263921836,0.11,0.12,0.14,0.17,0.16,0.17,0.15,0.14,,
,8/29/2014,0.130892943,0.13,0.14,0.15,0.16,0.15,0.08,,,,
,5/30/2014,0.09062302400000001,0.1,0.09,0.12,0.13,0.14,0.08,,,,
,2/28/2014,0.06617479799999999,0.09,0.1,0.08,0.11,0.12,0.08,,,,
,11/29/2013,0.080216078,0.08,0.05,0.09,0.06,,,,,,
,8/30/2013,0.014192865,0.06,0.07,,,,,,,,
,5/31/2013,0.061355850999999996,0.06,0.06,,,,,,,,
,2/28/2013,0.048369604000000004,0.06,0.05,,,,,,,,
,11/30/2012,0.04174113,0.05,0.06,,,,,,,,
,8/31/2012,0.036685584,0.06,,,,,,,,,
,5/31/2012,0.04571715,0.07,,,,,,,,,
,2/29/2012,0.124296548,,,,,,,,,,
,11/30/2011,0.042990907,,,,,,,,,,
,8/31/2011,0.044422826,,,,,,,,,,
,5/31/2011,-0.008887006999999999,,,,,,,,,,
,2/28/2011,-0.546276376,,,,,,,,,,
,11/30/2010,-0.084575205,,,,,,,,,,
,8/31/2010,-0.5189830129999999,,,,,,,,,,
,5/28/2010,-0.3042017,,,,,,,,,,
,2/26/2010,-0.045312635,,,,,,,,,,
,11/30/2009,-0.021809385,,,,,,,,,,
,8/31/2009,-0.11511115300000001,,,,,,,,,,
,5/29/2009,-0.348695491,,,,,,,,,,
,2/27/2009,-0.36350109,,,,,,,,,,
,11/28/2008,-0.341628913,,,,,,,,,,
,8/29/2008,-0.07,,,,,,,,,,
,6/30/2008,-0.007574954,,,,,,,,,,
