CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,
Non-GAAP diluted ,,12/31/2026,,2.99,12/2/2025,2.99,10/30/2025,3.09,9/7/2025,3.08,8/3/2025,3.11,7/9/2025,3.12,6/1/2025,3.11,4/24/2025
,,9/30/2026,,2.63,,2.63,,2.66,,2.66,,2.68,,2.68,,2.67,
,,6/30/2026,,2.54,,2.54,,2.57,,2.57,,2.59,,2.59,,2.58,
,,3/30/2026,,2.38,,2.38,,2.42,,2.42,,2.44,,2.44,,2.42,
,,12/31/2025,,2.77,1/16/2025,2.77,1/16/2025,2.88,1/16/2025,2.87,1/16/2025,2.88,1/16/2025,2.88,1/16/2025,2.88,1/16/2025
,10/28/2025,9/30/2025,3.28,3.94,,2.45,,2.45,,2.45,,2.45,,2.45,,,
,7/30/2025,6/30/2025,1.84,2.37,,2.36,,2.37,,2.36,,,,,,,
,4/23/2025,3/30/2025,1.71,2.21,,2.18,,2.19,,2.22,,,,,,,
,1/30/2025,12/31/2024,2.3,2.7,3/30/2024,2.65,3/30/2024,2.65,3/30/2024,2.65,3/30/2024,,,,,,
,10/29/2024,9/30/2024,1.83,2.25,,2.25,,2.25,,2.25,,,,,,,
,7/24/2024,6/30/2024,1.74,2.17,,2.16,,2.16,,2.17,,,,,,,
,4/25/2024,3/30/2024,1.6,2.04,,2,,2,,2.01,,,,,,,
,2/6/2024,12/31/2023,2.15,2.57,3/24/2023,2.48,3/24/2023,2.48,3/24/2023,2.46,3/24/2023,,,,,,
,10/30/2023,9/30/2023,1.75,2.07,,2.02,,2.02,,2,,,,,,,
,7/27/2023,6/30/2023,1.7,2,,1.9,,1.9,,1.87,,,,,,,
