CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,
Non-GAAP,,12/31/2026,,0.59,8/17/2025,0.57,7/23/2025,0.57,6/23/2025,0.58,5/10/2025,0.57,4/21/2025,0.58,3/20/2025,0.6,2/16/2025,0.54,12/22/2024,0.54,11/11/2024,0.51,9/29/2024,0.52,8/12/2024,0.51,7/21/2024,0.5,6/15/2024,0.5,6/14/2024
Charts Adjusted,,9/30/2026,,0.56,,0.53,,0.53,,0.54,,0.54,,0.54,,0.56,,0.52,,0.52,,0.48,,0.48,,0.47,,0.46,,0.46,
,,6/30/2026,,0.53,,0.5,,0.49,,0.5,,0.49,,0.5,,0.51,,0.48,,0.48,,0.46,,0.45,,0.43,,0.43,,0.43,
,,3/30/2026,,0.5,,0.49,,0.49,,0.49,,0.49,,0.49,,0.5,,0.46,,0.45,,0.43,,0.44,,0.43,,0.43,,0.43,
,,12/31/2025,,0.46,12/22/2024,0.44,12/22/2024,0.44,12/22/2024,0.45,12/22/2024,0.45,12/22/2024,0.45,12/22/2024,0.47,12/22/2024,0.54,12/22/2024,0.54,11/11/2024,0.51,9/29/2024,0.52,8/12/2024,0.51,7/21/2024,0.5,6/15/2024,0.5,6/14/2024
,,9/30/2025,,0.46,,0.42,,0.42,,0.43,,0.43,,0.44,,0.45,,0.52,,0.52,,0.48,,0.48,,0.47,,0.46,,0.46,
,8/7/2025,6/30/2025,0.01,0.46,,0.42,,0.42,,0.42,,0.41,,0.42,,0.43,,0.48,,0.48,,0.46,,0.45,,0.43,,0.43,,0.43,
,5/6/2025,3/30/2025,0.07,0.46,,0.43,,0.43,,0.43,,0.46,,0.45,,0.43,,0.44,,0.43,,0.43,,0.43,,,,,,,
,2/13/2025,12/31/2024,0.13,0.49,,0.44,,0.44,,0.39,,0.4,,0.39,,0.39,,0.39,,,,,,,,,,,,,
,11/7/2024,9/30/2024,0.14,0.46,,0.4,,0.39,,0.37,,0.37,,0.37,,,,,,,,,,,,,,,,,
,8/8/2024,6/30/2024,0.12,0.43,,0.37,,0.37,,0.37,,,,,,,,,,,,,,,,,,,,,
,5/7/2024,3/30/2024,0.12,0.44,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,
,2/13/2024,12/31/2023,0.15,0.55,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,
,11/7/2023,9/30/2023,0.06,0.45,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,
,8/8/2023,6/30/2023,-0.01,0.36,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2023,3/30/2023,-0.08,0.28,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,
,2/16/2023,12/31/2022,-0.09,0.26,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,-0.08,0.23,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2022,6/30/2022,-0.02,0.24,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2022,3/31/2022,0.03,0.24,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
,2/10/2022,12/31/2021,0.02,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
,11/4/2021,9/30/2021,-0.02,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,
,8/5/2021,6/30/2021,-0.03,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
,5/6/2021,3/31/2021,-0.04,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,2/11/2021,12/31/2020,-0.05,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,11/10/2020,9/30/2020,-0.05,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,0.01,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
,5/11/2020,3/31/2020,0.02,0.06,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,2/13/2020,12/31/2019,-0.01,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
,11/12/2019,9/30/2019,-0.04,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,-0.05,-0.05,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,-0.12,-0.12,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,-0.09,-0.09,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,-0.06,-0.06,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,-0.01,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,
