CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Adjusted Diluted,,12/31/2026,,0.74,11/8/2025,0.77,9/17/2025,0.7,8/13/2025,0.79,7/17/2025,0.87,6/11/2025,,,,,,,,,
,,9/30/2026,,0.94,,0.91,,0.93,,0.94,,0.97,,,,,,,,,,
,,6/30/2026,,0.77,,0.71,,0.69,,0.62,,0.6,,,,,,,,,,
,,3/30/2026,,0.82,,0.73,,0.79,,0.74,,0.66,,,,,,,,,,
,,12/31/2025,,0.62,1/19/2025,0.7,1/19/2025,0.7,1/19/2025,0.68,1/19/2025,0.69,1/19/2025,,,,,,,,,
,11/4/2025,9/30/2025,0.62,0.87,,0.72,,0.72,,0.85,,0.86,,,,,,,,,,
,8/5/2025,6/30/2025,0.51,0.78,,0.58,,0.57,,0.58,,,,,,,,,,,,
,4/29/2025,3/30/2025,0.52,0.92,,0.71,,0.7,,0.71,,,,,,,,,,,,
,2/4/2025,12/31/2024,0.07,0.63,3/30/2024,0.45,3/30/2024,0.48,3/30/2024,0.49,3/30/2024,,,,,,,,,,,
,10/29/2024,9/30/2024,0.78,1.06,,0.6,,0.6,,0.54,,,,,,,,,,,,
,7/30/2024,6/30/2024,0.01,0.6,,0.45,,0.45,,0.46,,,,,,,,,,,,
,5/1/2024,3/30/2024,0.55,0.82,,0.54,,0.54,,0.61,,,,,,,,,,,,
,1/30/2024,12/31/2023,0.55,0.1,4/22/2023,-0.21,4/22/2023,-0.15,4/22/2023,0.78,4/22/2023,,,,,,,,,,,
,10/31/2023,9/30/2023,-0.42,-0.17,,0.63,,0.65,,0.72,,,,,,,,,,,,
,8/3/2023,6/30/2023,0.41,0.67,,0.62,,0.63,,0.72,,,,,,,,,,,,
,5/2/2023,3/30/2023,0.97,1.23,,0.98,,1,,1.01,,,,,,,,,,,,
,1/31/2023,12/31/2022,0.87,1.14,,1.05,,1.06,,1.18,,,,,,,,,,,,
,11/1/2022,9/30/2022,1.51,1.78,,1.49,,1.5,,1.55,,,,,,,,,,,,
,7/28/2022,6/30/2022,1.73,2.04,,1.8,,1.88,,2.05,,,,,,,,,,,,
,5/3/2022,3/31/2022,1.37,1.67,,1.52,,1.63,,1.64,,,,,,,,,,,,
,2/8/2022,12/31/2021,0.59,1.08,,0.86,,0.89,,0.91,,,,,,,,,,,,
,11/2/2021,9/30/2021,1.42,1.34,,1.1,,1.09,,1.05,,,,,,,,,,,,
,7/28/2021,6/30/2021,0.98,1.07,,0.97,,1,,0.94,,,,,,,,,,,,
,5/4/2021,3/31/2021,0.86,0.93,,0.78,,0.78,,0.73,,,,,,,,,,,,
,2/2/2021,12/31/2020,0.1,0.42,,0.5,,0.48,,0.63,9/23/2020,,,,,,,,,,,
,10/27/2020,9/30/2020,0.39,0.72,,0.72,,0.72,,0.73,,,,,,,,,,,,
,7/28/2020,6/30/2020,0.61,0.78,,0.66,,0.68,,0.74,,,,,,,,,,,,
,4/28/2020,3/31/2020,0.6,0.8,,0.73,,0.73,,0.71,,,,,,,,,,,,
,1/28/2020,12/31/2019,-0.06,0.55,,0.57,,0.57,,0.8,,,,,,,,,,,,
,10/29/2019,9/30/2019,1.36,0.75,,0.6,,0.6,,0.69,,,,,,,,,,,,
,7/29/2019,7/1/2019,0.889633286,0.8,,0.68,,0.75,,0.8,,,,,,,,,,,,
,4/30/2019,3/29/2019,0.675478261,0.85,,0.75,,0.81,,0.83,,,,,,,,,,,,
