Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,12/31/2020,0.22,0.26,0.26,0.25,0.24705882399999998,,,,
,9/30/2020,0.35,0.39,0.39,0.4,0.388235294,,,,
,6/30/2020,0.35,0.36,0.36,0.37,0.376470588,,,,
,3/31/2020,0.17,0.17,0.17,0.164705882,,,,,
,12/31/2019,0.18,0.21,0.21,0.23,0.27,0.31,0.26,,
,9/30/2019,0.28,0.32,0.32,0.33,0.37,0.39,0.35,0.32,0.29
,6/28/2019,0.287480393,0.31,0.32,0.36,0.39,0.4,0.33,0.32,
,3/29/2019,0.139429247,0.14,0.18,0.22,0.23,0.24,0.22,0.2,
,12/31/2018,0.176806212,0.2,0.22,0.23,0.22,,,,
,9/28/2018,0.255728499,0.26,0.28,0.26,0.24,,,,
,6/29/2018,0.433148917,0.31,0.28,,,,,,
,3/29/2018,0.141159275,0.14,,,,,,,
,12/29/2017,0.390888953,0.13,,,,,,,
,9/29/2017,0.121446081,0.19,,,,,,,
,6/30/2017,0.19849411600000003,0.17,,,,,,,
,3/31/2017,0.058108003,0.06,,,,,,,
,12/30/2016,0.080808877,0.1,,,,,,,
,9/30/2016,0.21313545899999997,0.18,,,,,,,
,7/1/2016,0.146613041,0.15,,,,,,,
,4/1/2016,0.029718271,0.08,,,,,,,
,12/31/2015,0.074565823,0.11,,,,,,,
,10/2/2015,0.125506794,0.17,,,,,,,
,7/2/2015,0.134836824,0.17,,,,,,,
,4/2/2015,0.132954909,0.11,,,,,,,
,1/2/2015,0.058489017000000004,,,,,,,,
,9/26/2014,0.046814749,,,,,,,,
,6/27/2014,0.156942824,,,,,,,,
,3/28/2014,0.067408048,,,,,,,,
,12/27/2013,0.10784195,,,,,,,,
,9/27/2013,0.127677284,,,,,,,,
,6/28/2013,0.186707312,,,,,,,,
,3/28/2013,0.092524564,,,,,,,,
,12/31/2012,0.06,,,,,,,,
,9/28/2012,0.048560317,,,,,,,,
,6/29/2012,0.067614615,,,,,,,,
,3/30/2012,-0.012149672,,,,,,,,
,12/30/2011,-0.12,,,,,,,,
,9/30/2011,0.004466106,,,,,,,,
,7/1/2011,-0.09387055300000001,,,,,,,,
,4/1/2011,-0.10789100900000001,,,,,,,,
,12/31/2010,-0.23,,,,,,,,
,10/1/2010,-0.0038580529999999997,,,,,,,,
,7/2/2010,1.84e-05,,,,,,,,
,4/1/2010,-0.051839549000000006,,,,,,,,
,12/31/2009,0.008130521,,,,,,,,
,10/2/2009,-0.09258034300000001,,,,,,,,
,7/2/2009,0.009344007,,,,,,,,
,4/3/2009,-0.18519030399999997,,,,,,,,
,1/2/2009,-2.357217945,,,,,,,,
,9/26/2008,-0.050776136,,,,,,,,
,6/27/2008,-2.649097947,,,,,,,,
,3/28/2008,-0.062199791,,,,,,,,
,12/28/2007,-0.14063426699999998,,,,,,,,
,9/28/2007,0.036221326,,,,,,,,
,6/29/2007,0.098336923,,,,,,,,
,3/30/2007,0.028238031,,,,,,,,
,12/29/2006,-0.073754399,,,,,,,,
,9/29/2006,0.182860026,,,,,,,,
,6/30/2006,0.55158752,,,,,,,,
,3/31/2006,-0.8937710329999999,,,,,,,,
,12/30/2005,-0.054736173,,,,,,,,
,9/30/2005,0.012136009,,,,,,,,
,7/1/2005,0.216241615,,,,,,,,
