CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2026,,0.13,5/7/2025,0.13,4/11/2025,0.14,2/28/2025,0.14,12/19/2024,0.14,11/9/2024,0.14,9/25/2024,0.14,8/9/2024,0.14,6/25/2024,0.14,5/11/2024,0.12,4/10/2024,0.12,3/2/2024,0.13,12/31/2023,0.13,11/11/2023,0.13,9/29/2023,0.13,8/12/2023,0.16,6/19/2023,0.16,5/10/2023,,4/23/2023,0.14,4/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/19/2021
,,9/30/2026,,0.13,,0.13,,0.14,,0.13,,0.13,,0.13,,0.13,,0.14,,0.14,,0.11,,0.12,,0.13,,0.13,,0.12,,0.13,,0.15,,0.15,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2026,,0.12,,0.11,,0.12,,0.12,,0.12,,0.12,,0.12,,0.13,,0.13,,0.11,,0.11,,0.12,,0.13,,0.12,,0.12,,0.14,,0.14,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2026,,0.13,,0.12,,0.13,,0.12,,0.13,,0.13,,0.13,,0.13,,0.13,,0.1,,0.11,,0.12,,0.12,,0.12,,0.12,,0.14,,0.14,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2025,,0.12,12/19/2024,0.13,12/19/2024,0.14,12/19/2024,0.14,12/19/2024,0.14,11/9/2024,0.14,9/25/2024,0.14,8/9/2024,0.14,6/25/2024,0.14,5/11/2024,0.12,4/10/2024,0.12,3/2/2024,0.13,12/31/2023,0.13,11/11/2023,0.13,9/29/2023,0.13,8/12/2023,0.16,6/19/2023,0.16,5/10/2023,,4/23/2023,0.14,4/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/19/2021
,,9/30/2025,,0.11,,0.12,,0.13,,0.13,,0.13,,0.13,,0.13,,0.14,,0.14,,0.11,,0.12,,0.13,,0.13,,0.12,,0.13,,0.15,,0.15,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2025,,0.1,,0.1,,0.12,,0.12,,0.12,,0.12,,0.12,,0.13,,0.13,,0.11,,0.11,,0.12,,0.13,,0.12,,0.12,,0.14,,0.14,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2025,3/30/2025,0.03,0.14,,0.11,,0.12,,0.12,,0.13,,0.13,,0.13,,0.13,,0.13,,0.1,,0.11,,0.12,,0.12,,0.12,,0.12,,0.14,,0.14,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/26/2025,12/31/2024,0.04,0.15,4/10/2024,0.13,4/10/2024,0.12,4/10/2024,0.12,4/10/2024,0.12,4/10/2024,0.12,4/10/2024,0.12,4/10/2024,0.12,4/10/2024,0.12,3/2/2024,0.13,12/31/2023,0.13,11/11/2023,0.13,9/29/2023,0.13,8/12/2023,0.16,6/19/2023,0.16,5/10/2023,,4/23/2023,0.14,4/22/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/19/2021,,,,
,11/6/2024,9/30/2024,0.01,0.13,,0.11,,0.11,,0.11,,0.11,,0.11,,0.12,,0.13,,0.13,,0.12,,0.13,,0.15,,0.15,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
