CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
N,,1/29/2022,1.39,4/8/2021,1.35,3/4/2021,1.41,1/16/2021,1.41,1/15/2021,,,,,,,,,,
,,10/30/2021,0.52,,0.48,,0.48,,0.48,,,,,,,,,,,
,,7/31/2021,0.24,,0.19,,0.19,,0.19,,,,,,,,,,,
,,4/30/2021,0.3,,0.29,,0.28,,0.28,,,,,,,,,,,
,3/4/2021,1/29/2021,1.72,,1.43,,1.43,,,,,,,,,,,,,
,12/3/2020,10/30/2020,0.74,,0.74,,,,,,,,,,,,,,,
,9/3/2020,7/31/2020,-0.05,,-0.05,,,,,,,,,,,,,,,
,6/4/2020,4/30/2020,-0.43,,-0.43,,,,,,,,,,,,,,,
,3/17/2020,1/31/2020,1.24,,1.24,,,,,,,,,,,,,,,
,12/5/2019,11/1/2019,0.19,,0.19,,,,,,,,,,,,,,,
,9/4/2019,8/2/2019,0.16,,0.16,,,,,,,,,,,,,,,
,6/6/2019,5/3/2019,0.24,,0.24,,,,,,,,,,,,,,,
,3/19/2019,1/31/2019,1.15,,1.15,,,,,,,,,,,,,,,
,12/6/2018,10/26/2018,0.5,,0.5,,,,,,,,,,,,,,,
,8/30/2018,7/31/2018,0.15,,0.15,,,,,,,,,,,,,,,
,6/14/2018,4/30/2018,0.15,,0.15,,,,,,,,,,,,,,,
,3/22/2018,1/26/2018,1.11,,1.11,,,,,,,,,,,,,,,
,11/30/2017,10/27/2017,0.44,,0.44,,,,,,,,,,,,,,,
,8/24/2017,7/31/2017,0.19,,0.19,,,,,,,,,,,,,,,
,6/6/2017,4/28/2017,0.38,,0.38,,,,,,,,,,,,,,,
,,1/27/2017,0.95,,0.95,,,,,,,,,,,,,,,
,,10/31/2016,0.37,,0.37,,,,,,,,,,,,,,,
,,7/29/2016,0.17,,0.17,,,,,,,,,,,,,,,
,,4/29/2016,0.34,,0.34,,,,,,,,,,,,,,,
,,1/29/2016,0.87,,0.87,,,,,,,,,,,,,,,
,,10/30/2015,0.37,,0.37,,,,,,,,,,,,,,,
,,7/31/2015,0.17,,0.17,,,,,,,,,,,,,,,
,,4/30/2015,0.32,,0.32,,,,,,,,,,,,,,,
,,1/30/2015,0.75,,0.75,,,,,,,,,,,,,,,
,,10/31/2014,0.31,,0.31,,,,,,,,,,,,,,,
,,8/1/2014,-0.26,,-0.26,,,,,,,,,,,,,,,
,,5/2/2014,0.25,,0.25,,,,,,,,,,,,,,,
,,1/31/2014,0.74,,0.74,,,,,,,,,,,,,,,
,,10/31/2013,0.26,,0.26,,,,,,,,,,,,,,,
,,8/2/2013,0.09,,0.09,,,,,,,,,,,,,,,
,,4/30/2013,0.26,,0.26,,,,,,,,,,,,,,,
,,2/1/2013,0.28,,0.28,,,,,,,,,,,,,,,
,,10/31/2012,0.28,,0.28,,,,,,,,,,,,,,,
,,7/31/2012,0.28,,0.28,,,,,,,,,,,,,,,
,,4/27/2012,0.28,,0.28,,,,,,,,,,,,,,,
,,1/27/2012,0.23,,0.23,,,,,,,,,,,,,,,
,,10/28/2011,0.22,,0.22,,,,,,,,,,,,,,,
,,7/29/2011,0.22,,0.22,,,,,,,,,,,,,,,
,,4/29/2011,0.22,,0.22,,,,,,,,,,,,,,,
,,1/28/2011,0.15,,0.15,,,,,,,,,,,,,,,
,,10/29/2010,0.15,,0.15,,,,,,,,,,,,,,,
,,7/30/2010,0.14,,0.14,,,,,,,,,,,,,,,
,,4/30/2010,0.14,,0.14,,,,,,,,,,,,,,,
