CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
N,,7/30/2024,,1.44,5/25/2023,1.36,4/2/2023,1.33,2/21/2023,2.75,,2.66,,2.23,,,,,,
,,4/30/2024,,1.23,,1.12,,1.1,,2.27,,2.15,,2.23,,,,,,
,,1/30/2024,,1.19,,1.14,,1.11,,2.18,,2.15,,2.23,,,,,,
,,10/30/2023,,1.12,,1.06,,1.04,,2.02,,2.23,,,,,,,,
,,7/31/2023,,1.28,,1.2,,1.17,,2.75,,2.66,,2.23,,,,,,
,5/23/2023,4/28/2023,0.31,1.1,,0.93,,0.91,,2.27,,2.15,,2.23,,,,,,
,2/21/2023,1/31/2023,0.25,1.05,,2.18,,2.15,,2.23,,,,,,,,,,
,11/17/2022,10/31/2022,0.06,0.83,,2.02,,2.23,,,,,,,,,,,,
,8/22/2022,7/29/2022,0.03,0.8,,2.28,,2.22,,2.19,,1.95,,1.93,,1.7175,,,,
,5/19/2022,4/29/2022,-0.740141557,0.6,,1.68,,1.82,,1.78,,1.64,,1.65,,1.7175,,,,
,2/22/2022,1/31/2022,-0.952138493,0.58,,1.65,,1.64,,1.74,,1.67,,1.66,,1.7175,,,,
,11/18/2021,10/29/2021,-1.06147541,0.55,,1.57,,1.61,,1.65,,1.63,,1.7175,,,,,,
,8/23/2021,7/30/2021,-1.227366255,0.53,,1.44,,1.45,,1.44,,1.59,,1.75,,1.74,,1.85,,1.80556213
,5/20/2021,4/30/2021,-1.497420021,0.46,,1.28,,1.34,,1.47,,1.39,,1.58,,1.558224852,,,,
,2/22/2021,1/29/2021,-1.483837331,0.52,,1.43,,1.35,,1.4,,1.49,,1.607692308,,,,,,
,11/16/2020,10/30/2020,-0.965445026,0.54,,1.33,,1.18,,1.33,,1.273786982,,,,,,,,
,8/24/2020,7/31/2020,-0.613541667,1.48,,1.39,,1.31,,1.53,,1.46,,1.8,,1.86,,1.525,,
,5/21/2020,4/30/2020,-0.77352637,1.17,,0.94,,1.25,,1.26,,1.52,,1.53,,1.525,,,,
,2/24/2020,1/31/2020,-0.749745677,1.19,,1.12,,1.3,,1.57,,1.47,,1.525,,,,,,
,11/25/2019,10/31/2019,-0.616977226,1.05,,1.03,,1.32,,1.36,,1.525,,,,,,,,
,,7/31/2019,-0.217118998,,,1.42,,1.55,,1.54,,1.46,,,,,,,,
,,4/30/2019,-0.213983051,,,1.25,,1.24,,1.19,,,,,,,,,,
,,1/31/2019,-0.027659574,,,1.22,,1.2,,1.18,,,,,,,,,,
,,10/31/2018,-0.408315565,,,1.05,,1.06,,1.05,,,,,,,,,,
,,7/31/2018,-0.024784483,,,1.17,,1.21,,1.04,,0.96,,,,,,,,
,,4/30/2018,-0.508161045,,,0.96,,0.81,,0.77,,,,,,,,,,
,,1/31/2018,-0.383095499,,,0.79,,0.78,,0.77,,,,,,,,,,
,,10/31/2017,-0.704070407,,,0.69,,0.68,,0.77,,,,,,,,,,
,,7/31/2017,-0.420242024,,,0.79,,0.74,,0.9,,0.78,,,,,,,,
,,4/28/2017,-0.669230769,,,0.55,,0.71,,0.66,,,,,,,,,,
,,1/31/2017,-0.614112459,,,0.62,,0.63,,,,,,,,,,,,
,,10/31/2016,-0.688195991,,,0.53,,0.56,,0.57,,,,,,,,,,
,,7/29/2016,-0.613048369,,,0.5,,0.59,,0.56,,0.52,,0.5,,,,,,
,,4/29/2016,-0.799544419,,,0.42,,0.45,,0.44,,0.43,,0.4,,,,,,
,,1/29/2016,-0.721709007,,,0.39,,0.38,,0.37,,,,,,,,,,
,,10/30/2015,-0.454759107,,,0.32,,0.31,,0.3,,0.29,,,,,,,,
,,7/31/2015,-0.547482374,,,0.25,,0.24,,0.23,,,,,,,,,,
,,4/30/2015,-0.558005345,,,0.2,,0.19,,,,,,,,,,,,
,,1/30/2015,-0.532119173,,,0.17,,0.16,,,,,,,,,,,,
,,10/31/2014,-0.378747418,,,0.12,,,,,,,,,,,,,,
,,7/31/2014,-0.411744307,,,0.11,,,,,,,,,,,,,,
,,4/30/2014,-1.955353689,,,0.1,,,,,,,,,,,,,,
,,1/31/2014,-0.548302084,,,0.09,,,,,,,,,,,,,,
,,10/31/2013,-0.109666439,,,0.07,,,,,,,,,,,,,,
,,7/31/2013,-0.223243487,,,nan,,,,,,,,,,,,,,
,,4/30/2013,-0.104664032,,,nan,,,,,,,,,,,,,,
,,1/31/2013,-0.038624706,,,nan,,,,,,,,,,,,,,
,,10/31/2012,-0.052609522,,,nan,,,,,,,,,,,,,,
