CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,9/30/2025,,3.86,9/15/2024,3.86,8/3/2024,3.7,6/19/2024,3.7,5/3/2024,3.67,3/17/2024,3.67,2/3/2024,3.33,1/14/2024,3.33,12/4/2023,3.33,10/28/2023,3.34,10/4/2023,3.34,8/28/2023,3.34,7/26/2023,3.35,6/16/2023,3.45,6/15/2023,,,,,,,,,,,,,,,
,,6/28/2025,,3.61,,3.61,,3.47,,3.47,,3.51,,3.51,,3.12,,3.12,,3.12,,3.24,,3.24,,3.24,,3.18,,3.29,,,,,,,,,,,,,,,,
,,3/28/2025,,3.25,,3.25,,3.22,,3.22,,3.26,,3.26,,2.95,,2.95,,2.95,,3,,3,,3,,3.02,,3.05,,,,,,,,,,,,,,,,
,,12/29/2024,,3.36,,3.36,,3.37,,3.37,,3.38,,3.38,,3.04,,3.04,,3.04,,3.03,,3.03,,3.03,,3.02,,3.05,,,,,,,,,,,,,,,,
,,9/30/2024,,3.45,1/14/2024,3.45,1/14/2024,3.32,1/14/2024,3.32,1/14/2024,3.24,1/14/2024,3.24,1/14/2024,3.33,1/14/2024,3.33,12/4/2023,3.33,10/28/2023,3.34,10/4/2023,3.34,8/28/2023,3.34,7/26/2023,3.35,6/16/2023,3.45,6/15/2023,,,,,,,,,,,,,,,
,7/29/2024,6/28/2024,2.44,3.36,,2.96,,2.96,,3.09,,3.09,,3.12,,3.12,,3.12,,3.24,,3.24,,3.24,,3.18,,3.29,,,,,,,,,,,,,,,,,,
,4/29/2024,3/28/2024,2,2.91,,2.86,,2.86,,2.95,,2.95,,2.95,,3,,3,,3,,3.02,,3.05,,,,,,,,,,,,,,,,,,,,,,
,1/29/2024,12/29/2023,2.32,3.43,,3.04,,3.04,,3.04,,3.03,,3.03,,3.03,,3.02,,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/24/2023,9/29/2023,2.55,3.5,,3.21,,3.21,,3.21,,3.21,,3.29,,3.25,,3.28,,3.29,,3.3,,3.295,,3.2775,,,,,,,,,,,,,,,,,,,,
,7/24/2023,6/30/2023,1.48,3.21,,2.85,,2.9,,3.01,,2.94,,2.95,,3.295,,3.2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/19/2023,3/31/2023,1.341813448,2.53,,2.42,,2.64,,2.58,,2.6,,3.295,,3.2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/24/2023,12/30/2022,1.198933545,2.47,,2.33,,2.58,,2.57,,2.58,,3.295,,3.2775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/25/2022,9/30/2022,1.485979443,2.62,,2.52,,2.28,,2.27,,2.28,,3.17,,3.24,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/25/2022,6/30/2022,1.373122726,2.57,,2.23,,2.91,,2.92,,2.98,,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/26/2022,3/31/2022,0.915234916,2.13,,2.02,,2.79,,2.8,,2.85,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/25/2022,12/31/2021,1.512556155,2.89,,2.78,,2.77,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/26/2021,9/30/2021,1.797195078,3.01,,2.75,,2.82,,2.63,,2.62,,2.61,,2.6,,2.68,,2.79,,2.84,,3.077668593,,3.078330116,,3.027342256,,,,,,,,,,,,,,,,,,
,7/26/2021,6/30/2021,1.460448892,2.76,,2.46,,2.54,,2.44,,2.42,,2.41,,2.4,,2.42,,2.54,,2.61,,2.840924855,,2.851505792,,2.803489484,,,,,,,,,,,,,,,,,,
,4/27/2021,3/31/2021,0.695003057,2.5,,2.4,,2.41,,2.34,,2.35,,2.33,,2.26,,2.35,,2.41,,2.614942197,,2.624681467,,2.622275335,,,,,,,,,,,,,,,,,,,,
,1/26/2021,12/31/2020,1.407758261,2.59,,2.47,,2.28,,2.24,,2.25,,2.23,,2.3,,2.37,,2.614942197,,2.624681467,,2.611615679,,,,,,,,,,,,,,,,,,,,,,
,10/26/2020,9/30/2020,1.260626906,2.43,,2.37,,2.26,,2.25,,2.26,,2.44,,2.54,,2.85,,2.86,,2.85,,2.84,,2.83,,2.94,,2.93,,2.94,,3.03,,3.04,,3.03,,3.08,,3.133217961,,3.122713043,,2.8825
,7/27/2020,6/30/2020,1.13815843,2.18,,2.04,,2.03,,1.84,,2.12,,2.31,,2.64,,2.63,,2.72,,2.73,,2.83,,2.84,,2.83,,2.89,,2.874808232,,2.872495652,,2.8825,,,,,,,,,,
,4/27/2020,3/31/2020,1.004829415,2.23,,1.96,,1.95,,2.05,,2.14,,2.44,,2.43,,2.44,,2.46,,2.51,,2.5,,2.63,,2.62,,2.64,,2.65,,2.72,,2.73,,2.72,,2.78,,2.777904584,,2.782417391,,2.8825
,1/20/2020,12/31/2019,1.62011017,2.55,,2.43,,2.42,,2.43,,2.45,,2.47,,2.58,,2.6,,2.61,,2.6,,2.69,,2.68,,2.69,,2.73,,2.734836296,,2.732373913,,2.8825,,,,,,,,,,
,,9/30/2019,1.568902197,,,2.55,,2.71,,2.73,,2.75,,2.8,,2.82,,2.88,,2.91,,2.9,,2.91,,2.9,,2.8,,2.78,,2.77,,2.76,,2.74,,2.75,,,,,,,,
,,6/28/2019,1.427088179,,,2.56,,2.54,,2.53,,2.55,,2.56,,2.6,,2.65,,2.67,,2.66,,2.63,,2.62,,2.61,,2.6,,2.59,,2.56,,2.57,,,,,,,,,,
,,3/29/2019,1.93384864,,,2.55,,2.52,,2.55,,2.58,,2.57,,2.53,,2.52,,2.51,,2.48,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,2.158545634,,,2.54,,2.53,,2.47,,2.46,,2.45,,2.44,,2.43,,2.42,,2.43,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,2.175880138,,,2.63,,2.59,,2.58,,2.56,,2.55,,2.56,,2.39,,2.37,,2.35,,2.36,,2.35,,2.36,,2.38,,2.55,,2.54,,2.44,,2.49,,,,,,,,
