Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,,,,
,12/31/2021,1.9,5/25/2020,1.81,4/23/2020,1.81,3/27/2020,,,,,,,,,,,,,,,,,,
,9/30/2021,1.76,,1.86,,1.86,,,,,,,,,,,,,,,,,,,
,6/30/2021,1.6,,1.97,,1.97,,,,,,,,,,,,,,,,,,,
,3/31/2021,1.08,,1.43,,1.43,,,,,,,,,,,,,,,,,,,
,12/31/2020,0.83,3/27/2020,1.28,3/27/2020,2.08,3/27/2020,2.13,2/27/2020,2.15,1/27/2020,2.44,12/30/2019,2.44,9/6/2019,2.43,,2.43,,2.46,,2.44,,2.477610209,
,9/30/2020,0.97,,1.36,,2.2,,2.24,,2.26,,2.45,,2.49,,2.49,,2.49,,2.51,,2.53,,2.51,2.51049884
,6/30/2020,0.41,,1.63,,2.21,,2.27,,2.29,,2.38,,2.36,,2.29,,2.29,,2.3,,2.27,,2.25,2.269315545
4/22/2020,3/31/2020,-0.25,,2.17,,2.22,,2.24,,2.26,,2.29,,2.29,,2.29,,2.31,,2.33,,2.29,2.21450116,,
1/23/2020,12/31/2019,2.25,,2.24,,2.23,,2.23,,2.23,,2.24,,2.26,,2.25,2.26,,,,,,,,
10/22/2019,9/30/2019,2.36,,2.36,,2.29,,2.28,,2.28,,2.29,,2.27,,2.28,,,,,,,,,
7/23/2019,6/28/2019,2.312693498,,2.11,,2.08,,2.07,,2.09,,,,,,,,,,,,,,,
4/25/2019,3/29/2019,2.149390244,,2.02,,2.03,,2.04,,2,,,,,,,,,,,,,,,
1/24/2019,12/31/2018,2.032835821,,2.06,,2.05,,2.06,,2.02,,1.67,,,,,,,,,,,,,
10/25/2018,9/28/2018,2.043859649,,2.05,,2.04,,2.03,,1.77,,,,,,,,,,,,,,,
7/26/2018,6/29/2018,1.905172414,,1.88,,1.87,,1.66,,,,,,,,,,,,,,,,,
4/26/2018,3/29/2018,1.81971831,,1.77,,1.84,,1.62,,,,,,,,,,,,,,,,,
1/24/2018,12/29/2017,0.991712707,,1.54,,1.53,,1.51,,1.49,,,,,,,,,,,,,,,
10/24/2017,9/29/2017,1.587601078,,1.54,,1.58,,1.6,,1.59,,1.6,1.57,1.45,,,,,,,,,,,
7/26/2017,6/30/2017,1.403693931,,1.45,,1.48,,1.5,,1.49,,1.5,1.44,,,,,,,,,,,,
4/25/2017,3/31/2017,1.42746114,,1.44,,1.46,,1.48,,1.5,,1.48,1.47,1.38,,,,,,,,,,,
1/24/2017,12/30/2016,1.399491094,,1.38,,1.41,,1.43,,1.42,,1.41,1.47,1.48,1.47,,,,,,,,,,
10/25/2016,9/30/2016,1.554726368,,1.47,,1.5,,1.49,,1.46,,1.48,1.42,,,,,,,,,,,,
7/19/2016,6/30/2016,1.464720195,,1.42,,1.41,,1.37,,1.41,,1.42,,,,,,,,,,,,,
4/19/2016,3/31/2016,1.347721823,,1.29,,1.31,,1.36,,1.37,,,,,,,,,,,,,,,
,12/31/2015,1.145539906,,1.3,,1.31,,1.33,,1.35,,1.42,1.43,,,,,,,,,,,,
,9/30/2015,1.380184332,,1.33,,1.32,,1.35,,1.37,,1.41,1.43,,,,,,,,,,,,
,6/30/2015,1.325791855,,1.32,,1.33,,1.34,,1.39,,1.41,,,,,,,,,,,,,
,3/31/2015,1.279017857,,1.27,,1.3,,1.34,,1.36,,1.32,,,,,,,,,,,,,
,12/31/2014,0.867256637,,1.3,,1.31,,1.32,,1.29,,1.28,1.25,1.33,,,,,,,,,,,
,9/30/2014,1.36659436,,1.34,,1.33,,1.29,,1.25,,1.3,,,,,,,,,,,,,
,6/30/2014,1.349036403,,1.3,,1.26,,1.25,,1.23,,1.25,,,,,,,,,,,,,
,3/31/2014,1.309322034,,1.25,,1.24,,1.2,,,,,,,,,,,,,,,,,
,12/31/2013,1.2,,1.18,,1.2,,1.18,,1.2,,,,,,,,,,,,,,,
,9/30/2013,1.196280992,,1.21,,1.2,,1.16,,,,,,,,,,,,,,,,,
,6/28/2013,1.2,,1.15,,1.1,,1.12,,,,,,,,,,,,,,,,,
,3/28/2013,1.331313131,,1.13,,1.08,,1.09,,,,,,,,,,,,,,,,,
,11/29/2012,1.073869048,,1.13,,1.1,,,,,,,,,,,,,,,,,,,
,8/30/2012,1.173453686,,1.03,,,,,,,,,,,,,,,,,,,,,
,5/31/2012,1.001756313,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2012,1.176699827,,,,,,,,,,,,,,,,,,,,,,,
