CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Non-GAAP,,12/31/2026,,2.69,11/9/2025,2.75,9/19/2025,2.74,8/16/2025,2.74,6/26/2025,2.76,5/13/2025,,,,,,,,,
,,9/30/2026,,2.21,,2.22,,2.22,,2.17,,2.18,,,,,,,,,,
,,6/30/2026,,2.18,,2.17,,2.15,,2,,2,,,,,,,,,,
,,3/30/2026,,2.96,,3.03,,3.03,,3.03,,2.98,,,,,,,,,,
,,12/31/2025,,2.45,1/29/2025,2.49,1/29/2025,2.49,1/29/2025,2.45,1/29/2025,2.46,1/29/2025,,,,,,,,,
,11/5/2025,9/30/2025,1.96,1.94,,1.96,,1.97,,1.91,,1.91,,,,,,,,,,
,8/6/2025,6/30/2025,1.58,2.06,,1.79,,1.78,,1.78,,,,,,,,,,,,
,5/7/2025,3/30/2025,2.48,2.8,,2.57,,2.61,,2.69,,,,,,,,,,,,
,2/12/2025,12/31/2024,2.02,2.32,4/4/2024,1.97,4/4/2024,1.97,4/4/2024,1.96,4/4/2024,,,,,,,,,,,
,10/30/2024,9/30/2024,1.31,1.67,,1.62,,1.64,,1.68,,,,,,,,,,,,
,7/31/2024,6/30/2024,1.2,1.62,,1.6,,1.61,,1.67,,,,,,,,,,,,
,5/1/2024,3/30/2024,4.37,2.59,,2.45,,2.48,,2.6,,,,,,,,,,,,
,2/7/2024,12/31/2023,1.43,1.93,3/23/2023,1.78,3/23/2023,1.78,3/23/2023,1.78,3/23/2023,,,,,,,,,,,
,10/31/2023,9/30/2023,1.3,1.77,,1.61,,1.61,,1.62,,,,,,,,,,,,
,8/1/2023,6/30/2023,1.11,1.62,,1.59,,1.59,,1.56,,,,,,,,,,,,
,5/2/2023,3/30/2023,2.06,2.46,,2.35,,2.36,,2.3,,,,,,,,,,,,
,2/7/2023,12/31/2022,1.38,1.73,,1.49,,1.49,,1.48,,,,,,,,,,,,
,11/1/2022,9/30/2022,0.9,1.27,,1.18,,1.18,,1.17,,,,,,,,,,,,
,8/2/2022,6/30/2022,0.99,1.26,,1.12,,1.12,,1.12,,,,,,,,,,,,
