Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,
,12/31/2021,1.07,4/23/2020,1.07,3/23/2020,,,,,,,,,,,,,,,,
,9/30/2021,0.96,,0.96,,,,,,,,,,,,,,,,,
,6/30/2021,0.82,,0.82,,,,,,,,,,,,,,,,,
,3/31/2021,0.67,,0.67,,,,,,,,,,,,,,,,,
,12/31/2020,0.88,3/23/2020,1.55,3/23/2020,1.42,2/13/2020,1.44,1/24/2020,1.44,,1.48,,1.54,,1.59,1.53,1.52,1.45,1.11,1.267636364
,9/30/2020,0.75,,1.4,,1.33,,1.32,,1.32,,1.35,,1.38,,1.42,1.4,1.36,1.04,1.207272727,
,6/30/2020,0.49,,1.08,,1.19,,1.19,,1.19,,1.18,,1.2,,1.25,1.28,1.2,1.13,0.91,0.965818182
4/23/2020,3/31/2020,0.24,,0.65,,0.94,,0.93,,0.93,,0.97,,0.98,,0.94,0.83,0.67,0.694181818,,
2/13/2020,12/31/2019,0.34,,0.91,,0.91,,0.94,,1.09,,1.08,1.01,1.05,0.88,0.89,0.84,0.76,,,
10/17/2019,9/30/2019,0.50912061,,0.78,,0.77,,0.83,,0.86,0.8,0.81,0.8,0.83,0.81,,,,,,
7/18/2019,6/28/2019,0.414746544,,0.6,,0.64,,0.66,,0.64,0.66,0.65,,,,,,,,,
4/18/2019,3/29/2019,0.026619343,,0.44,,0.43,,0.46,,0.47,,,,,,,,,,,
2/14/2019,12/31/2018,1.472676752,,0.51,,0.5,,0.63,,,,,,,,,,,,,
10/18/2018,9/28/2018,0.673748103,,0.5,,0.51,,,,,,,,,,,,,,,
7/19/2018,6/29/2018,0.383416459,,0.44,,0.45,,,,,,,,,,,,,,,
4/19/2018,3/29/2018,0.183196462,,0.19,,,,,,,,,,,,,,,,,
2/22/2018,12/29/2017,0.844779435,,0.31,,0.27,,0.23,,0.34,,,,,,,,,,,
10/26/2017,9/29/2017,0.048225863,,0.23,,0.2,,0.31,,,,,,,,,,,,,
7/27/2017,6/30/2017,0.088970588,,0.19,,0.2,,0.22,,,,,,,,,,,,,
4/27/2017,3/31/2017,-0.0948596,,0.01,,0.02,,0.08,,0.09,,,,,,,,,,,
,12/30/2016,-0.107530396,,0.12,,0.1,,0.29,,0.25,0.26,0.27,0.55,,,,,,,,
,9/30/2016,0.483678857,,0.12,,0.24,,0.22,,0.25,0.27,0.46,0.12,,,,,,,,
,6/30/2016,0.683700184,,0.12,,0.13,,0.12,,0.2,0.21,0.41,0.02,,,,,,,,
,3/31/2016,-0.152152578,,0.02,,0.01,,0.08,,0.09,0.3,0.02,,,,,,,,,
,12/31/2015,-7.54204903,,0.02,,0.05,,0.09,,0.36,0.86,1.07,,,,,,,,,
,9/30/2015,0.154821922,,0.32,,0.33,,0.81,,1.02,,,,,,,,,,,
,6/30/2015,0.558223524,,0.44,,0.77,,0.9,,,,,,,,,,,,,
,3/31/2015,0.17114707,,0.29,,0.64,,0.78,,0.91,,,,,,,,,,,
,12/31/2014,0.879643533,,0.59,,0.66,,0.92,,1,0.93,1.15,1.18,1.31,0.9,,,,,,
