CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,
N,,12/31/2026,,3.89,11/2/2025,3.88,9/7/2025,4.03,8/3/2025,4.08,7/18/2025,4.23,6/13/2025,4.08,5/3/2025
,,9/30/2026,,3.88,,3.9,,4.09,,4.14,,4.26,,4.1,
,,6/30/2026,,3.8,,3.91,,3.96,,3.95,,4.06,,3.86,
,,3/30/2026,,3.71,,3.86,,3.89,,3.82,,3.89,,3.69,
,,12/31/2025,,3.8,1/24/2025,3.85,1/24/2025,3.88,1/24/2025,3.83,1/24/2025,3.84,1/24/2025,3.58,1/24/2025
,10/29/2025,9/30/2025,3.81,3.85,,3.67,,3.74,,3.75,,3.75,,3.5,
,7/30/2025,6/30/2025,3.75,3.76,,3.48,,3.47,,3.28,,,,,
,4/30/2025,3/30/2025,3.5,3.48,,3.01,,3.08,,3.16,,,,,
,2/12/2025,12/31/2024,-0.14,2.58,4/5/2024,2.72,4/5/2024,2.76,4/5/2024,2.77,4/5/2024,,,,
,10/30/2024,9/30/2024,3.1,3.1,,2.93,,2.77,,2.74,,,,,
,8/7/2024,6/30/2024,3.16,3.16,,2.7,,2.81,,2.84,,,,,
,5/8/2024,3/30/2024,2.43,2.43,,2.64,,2.69,,2.69,,,,,
,2/14/2024,12/31/2023,2.4,2.4,3/24/2023,2.16,3/24/2023,2.12,3/24/2023,2.09,3/24/2023,,,,
,10/24/2023,9/30/2023,2.93,2.93,,2.16,,2.11,,2.1,,,,,
,8/2/2023,6/30/2023,2.21,2.21,,2.05,,2.07,,2.09,,,,,
,5/3/2023,3/30/2023,2.77,2.77,,2.17,,2.1,,2.07,,,,,
,2/15/2023,12/31/2022,1.39,1.72,,1.72,,1.72,,1.69,,,,,
,11/2/2022,9/30/2022,2.3,2.3,,1.8,,1.8,,1.81,,,,,
,7/27/2022,6/30/2022,2.37,2.37,,1.8,,1.8,,1.8,,,,,
,4/27/2022,3/31/2022,1.62,1.62,,1.67,,1.65,,1.69,,,,,
,2/16/2022,12/31/2021,1.36,1.36,,1.41,,1.4,,1.4,,,,,
,11/3/2021,9/30/2021,1.68,1.68,,1.62,,1.6,,1.69,,,,,
,7/28/2021,6/30/2021,0.76,0.76,,1.86,,1.83,,1.86,,,,,
,4/28/2021,3/31/2021,1.74,1.74,,1.7,,1.64,,1.89,,,,,
,2/10/2021,12/31/2020,0.57,0.57,,1.52,,1.52,,1.76,4/14/2020,,,,
,10/28/2020,9/30/2020,0.74,0.74,,1.66,,1.66,,1.72,,,,,
,7/29/2020,6/30/2020,1.52,1.52,,1.62,,1.75,,1.96,,,,,
,5/6/2020,3/31/2020,1.38,1.38,,1.8,,1.81,,1.87,,,,,
,2/12/2020,12/31/2019,1.46,1.46,,1.56,,1.56,,1.57,,,,,
,10/30/2019,9/30/2019,1.412277524,1.41,,1.67,,1.64,,1.62,,,,,
,7/31/2019,6/28/2019,1.693194286,1.69,,1.57,,1.58,,1.59,,,,,
,5/1/2019,3/29/2019,1.438396881,1.44,,1.44,,1.47,,1.49,,,,,
,2/13/2019,12/31/2018,1.3626703,1.36,,1.23,,1.27,,1.78,,,,,
,11/1/2018,9/28/2018,1.554812351,1.55,,0.98,,1.1,,1.72,,,,,
,8/8/2018,6/29/2018,0.847853345,0.85,,0.93,,1.61,,1.72,,,,,
,5/2/2018,3/29/2018,0.789639543,0.79,,1.03,,1.43,,1.47,,,,,
,2/14/2018,12/29/2017,0.824170964,,,1.18,,1.31,,1.35,,,,,
,11/1/2017,9/29/2017,1.015002731,,,1.17,,1.27,,1.36,,,,,
,8/2/2017,6/30/2017,0.583443725,,,1.07,,1.05,,1.09,,,,,
,4/26/2017,3/31/2017,0.573309526,,,0.84,,0.85,,0.87,,,,,
,2/15/2017,12/30/2016,0.858127545,,,0.74,,0.77,,0.87,,,,,
,11/2/2016,9/30/2016,0.71549758,,,0.69,,0.85,,0.92,,,,,
,8/3/2016,6/30/2016,0.635424365,,,0.63,,0.68,,0.74,,,,,
,5/4/2016,3/31/2016,-0.45662831,,,0.35,,0.52,,0.43,,,,,
,,12/31/2015,0.176082569,,,1.14,,1.17,,1.21,,,,,
,,9/30/2015,0.712760796,,,1.1,,1.13,,1.43,,,,,
,,6/30/2015,1.034087549,,,1.15,,1.02,,1.35,,,,,
,,3/31/2015,1.335942824,,,0.83,,0.88,,1.25,,,,,
,,12/31/2014,-6.421973054,,,1.03,,1.01,,1,,,,,
,,9/30/2014,0.775571165,,,0.89,,0.93,,0.94,,,,,
,,6/30/2014,0.21931387,,,0.81,,0.76,,0.81,,,,,
,,3/31/2014,0.7752407,,,0.72,,0.82,,0.85,,,,,
,,12/31/2013,0.84463261,,,0.78,,0.76,,0.8,,,,,
,,9/30/2013,0.788973703,,,0.58,,0.59,,0.58,,,,,
,,6/28/2013,-0.580368173,,,0.7,,0.83,,0.89,,,,,
,,3/28/2013,0.670942408,,,0.78,,0.8,,0.79,,,,,
,,12/28/2012,0.847704896,,,0.62,,0.57,,,,,,,
,,9/28/2012,0.512107112,,,0.59,,,,,,,,,
,,6/29/2012,0.696204466,,,0.6,,,,,,,,,
,,3/30/2012,0.676112885,,,0.49,,,,,,,,,
,,12/30/2011,0.370401181,,,,,,,,,,,,
,,9/30/2011,0.423815781,,,,,,,,,,,,
,,6/30/2011,0.606545081,,,,,,,,,,,,
,,3/31/2011,0.53251869,,,,,,,,,,,,
,,12/31/2010,0.307074314,,,,,,,,,,,,
,,9/30/2010,0.239866312,,,,,,,,,,,,
,,6/30/2010,-0.052267451,,,,,,,,,,,,
,,3/31/2010,0.348091491,,,,,,,,,,,,
,,12/31/2009,0.446668011,,,,,,,,,,,,
,,9/30/2009,0.471632361,,,,,,,,,,,,
,,6/30/2009,0.443562745,,,,,,,,,,,,
,,3/31/2009,0.399003588,,,,,,,,,,,,
,,12/31/2008,2.33,,,,,,,,,,,,
,,9/30/2008,0.15,,,,,,,,,,,,
,,6/30/2008,0.02,,,,,,,,,,,,
,,3/31/2008,0.1,,,,,,,,,,,,
,,12/31/2007,-0.17,,,,,,,,,,,,
,,9/28/2007,0.12,,,,,,,,,,,,
,,6/29/2007,0.04,,,,,,,,,,,,
,,3/30/2007,-0.15,,,,,,,,,,,,
,,12/29/2006,0.3,,,,,,,,,,,,
,,9/29/2006,-0.18,,,,,,,,,,,,
,,6/30/2006,-0.19,,,,,,,,,,,,
,,3/31/2006,-0.18,,,,,,,,,,,,
,,12/30/2005,-1.25,,,,,,,,,,,,
,,9/30/2005,-0.03,,,,,,,,,,,,
,,6/30/2005,-0.14,,,,,,,,,,,,
,,3/31/2005,-0.26,,,,,,,,,,,,
,,12/31/2004,-1.21,,,,,,,,,,,,
,,9/30/2004,-0.36,,,,,,,,,,,,
,,6/30/2004,-0.51,,,,,,,,,,,,
,,3/31/2004,-2,,,,,,,,,,,,
,,12/31/2003,-1.49,,,,,,,,,,,,
,,9/30/2003,-2.12,,,,,,,,,,,,
,,6/30/2003,-2.44,,,,,,,,,,,,
,,3/31/2003,-3,,,,,,,,,,,,
,,12/31/2002,18.12,,,,,,,,,,,,
,,9/30/2002,-14.04,,,,,,,,,,,,
,,6/28/2002,-7.94,,,,,,,,,,,,
,,3/28/2002,-5.16,,,,,,,,,,,,
,,12/31/2001,-10.9,,,,,,,,,,,,
,,9/28/2001,-33.01,,,,,,,,,,,,
,,6/29/2001,-15.52,,,,,,,,,,,,
,,3/30/2001,-17.4,,,,,,,,,,,,
,,12/29/2000,-18.27,,,,,,,,,,,,
