CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,
,,3/31/2004,0.67,,,nan,,,,,,,
,,12/31/2003,1.04,,,nan,,,,,,,
,,9/30/2003,0.78,,,nan,,,,,,,
,,6/30/2003,0.97,,,nan,,,,,,,
,,3/31/2003,0.75,,,nan,,,,,,,
,,12/31/2002,0.52,,,nan,,,,,,,
,,9/30/2002,0.5,,,nan,,,,,,,
,,6/28/2002,0.45,,,nan,,,,,,,
,,3/28/2002,0.4,,,nan,,,,,,,
,,12/31/2001,0.04,,,nan,,,,,,,
,,9/28/2001,-0.296666667,,,nan,,,,,,,
,,6/29/2001,0.337333333,,,nan,,,,,,,
,,3/30/2001,0.26,,,nan,,,,,,,
,,12/29/2000,0.48,,,nan,,,,,,,
,,9/29/2000,0.35,,,nan,,,,,,,
,,6/30/2000,0.28,,,nan,,,,,,,
,,3/31/2000,0.35,,,nan,,,,,,,
,,12/31/1999,0.01,,,nan,,,,,,,
,,9/30/1999,0.18,,,nan,,,,,,,
,,6/30/1999,0.25,,,nan,,,,,,,
