CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,3/30/2024,,2.6,10/21/2022,2.66,9/16/2022,2.66,8/13/2022,2.65,7/15/2022,,6/12/2022,2.74,5/11/2022,3.12,4/13/2022,3.12,3/11/2022,3.11,2/3/2022,3.09,1/17/2022,3.09,12/10/2021,3.08,11/5/2021,3.1,10/15/2021,3.1,9/11/2021,3.06,8/7/2021,2.72,7/9/2021,2.75,6/5/2021,2.62,5/7/2021,2.37,4/5/2021,2.35,3/3/2021,2.26,2/4/2021,2.16,1/12/2021,2.13,12/11/2020,2.11,11/10/2020,2.07,11/7/2020,1.84,9/24/2020,1.84,9/23/2020
,,12/30/2023,,2.91,,2.98,,2.98,,2.99,,,,3.12,,3.68,,3.72,,3.72,,3.7,,3.72,,3.72,,3.75,,3.75,,3.74,,3.29,,3.3,,3.18,,3,,2.98,,2.9,,2.81,,2.79,,2.76,,2.71,,2.32,,2.32,
,,9/30/2023,,2.62,,2.63,,2.63,,2.66,,,,2.77,,3.53,,3.56,,3.55,,3.57,,3.56,,3.53,,3.56,,3.55,,3.52,,3.02,,3.01,,2.93,,2.78,,2.77,,2.7,,2.65,,2.64,,2.62,,2.62,,2.22,,2.22,
,,6/30/2023,,1.99,,1.99,,1.99,,2.12,,,,2.16,,2.79,,2.81,,2.83,,2.89,,2.89,,2.87,,2.84,,2.84,,2.79,,2.45,,2.48,,2.36,,2.17,,2.16,,2.08,,2.04,,2.03,,2.04,,2,,1.67,,1.67,
,,3/30/2023,,1.63,,1.63,,1.63,,2.65,,2.71,,2.74,5/11/2022,3.12,4/13/2022,3.12,3/11/2022,3.11,2/3/2022,3.09,1/17/2022,3.09,12/10/2021,3.08,11/5/2021,3.1,10/15/2021,3.1,9/11/2021,3.06,8/7/2021,2.72,7/9/2021,2.75,6/5/2021,2.62,5/7/2021,2.37,4/5/2021,2.35,3/3/2021,2.26,2/4/2021,2.16,1/12/2021,2.13,12/11/2020,2.11,11/10/2020,2.07,11/7/2020,1.84,9/24/2020,1.84,9/23/2020
,,12/30/2022,,1.73,,1.73,,1.73,,2.99,,3.08,,3.12,,3.68,,3.72,,3.72,,3.7,,3.72,,3.72,,3.75,,3.75,,3.74,,3.29,,3.3,,3.18,,3,,2.98,,2.9,,2.81,,2.79,,2.76,,2.71,,2.32,,2.32,
,,9/30/2022,,2.58,,2.55,,2.55,,2.66,,2.72,,2.77,,3.53,,3.56,,3.55,,3.57,,3.56,,3.53,,3.56,,3.55,,3.52,,3.02,,3.01,,2.93,,2.78,,2.77,,2.7,,2.65,,2.64,,2.62,,2.62,,2.22,,2.22,
,8/3/2022,6/30/2022,0.65,2.25,,2.12,,2.13,,2.16,,2.79,,2.81,,2.83,,2.89,,2.89,,2.87,,2.84,,2.84,,2.79,,2.45,,2.48,,2.36,,2.17,,2.16,,2.08,,2.04,,2.03,,2.04,,2,,1.67,,1.67,,,,,
,5/4/2022,3/31/2022,1.95,3.12,,2.93,,2.93,,2.94,,2.87,,2.87,,2.84,,2.73,,2.73,,2.75,,2.72,,2.75,6/5/2021,2.62,5/7/2021,2.37,4/5/2021,2.35,3/3/2021,2.26,2/4/2021,2.16,1/12/2021,2.13,12/11/2020,2.11,11/10/2020,2.07,11/7/2020,1.84,9/24/2020,1.84,9/23/2020,,,,,,,,,,
,2/2/2022,12/31/2021,1.95,2.98,,2.76,,2.76,,2.86,,3.26,,3.26,,3.26,,3.29,,3.3,,3.18,,3,,2.98,,2.9,,2.81,,2.79,,2.76,,2.71,,2.32,,2.32,,,,,,,,,,,,,,,,,
,11/3/2021,9/30/2021,2.84,3.42,,3.26,,3.26,,3.2,,3.02,,3.01,,2.93,,2.78,,2.77,,2.7,,2.65,,2.64,,2.62,,2.62,,2.22,,2.22,,,,,,,,,,,,,,,,,,,,,,,
,8/4/2021,6/30/2021,2.51,2.83,,2.45,,2.48,,2.36,,2.17,,2.16,,2.08,,2.04,,2.03,,2.04,,2,,1.67,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,2.6,2.74,,2.43,,2.43,,2.1,,1.99,,1.99,,1.97,,1.92,,1.48,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3/2021,12/31/2020,1.74,3.08,,2.66,,2.66,,2.65,,2.57,,1.89,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/4/2020,9/30/2020,1.18,2.43,,2.1,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2020,6/30/2020,0.83,1.5,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2020,3/31/2020,0.43,1.57,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/29/2020,12/31/2019,1.36,1.86,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/31/2019,9/30/2019,0.7,1.52,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,0.33,1.36,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/7/2019,3/29/2019,0.5,1.22,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/7/2019,12/31/2018,0.55,1.85,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
