CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
N,,12/31/2021,0.88,7/25/2020,0.88,7/24/2020,,,,,,,,,,,,,,,
,,9/30/2021,0.85,,0.85,,,,,,,,,,,,,,,,
,,6/30/2021,0.73,,0.8,,,,,,,,,,,,,,,,
,,3/31/2021,0.69,,0.69,,0.66,,,,,,,,,,,,,,
,,12/31/2020,0.61,,0.62,,0.6,,0.74,,0.8,,0.72,,0.74,,,,,,
,,9/30/2020,0.58,,0.6,,0.59,,0.58,,0.72,,0.75,,0.72,,0.74,,,,
,7/22/2020,6/30/2020,0.587169563,,0.53,,0.52,,0.51,,0.68,,0.72,,0.66,,0.7,,,,
,4/22/2020,3/31/2020,0.423370583,,0.64,,0.68,,0.7,,0.65,,0.66,,,,,,,,
,1/22/2020,12/31/2019,0.754121923,,0.68,,0.63,,0.65,,0.57,,0.64,,0.67,,,,,,
,10/16/2019,9/30/2019,0.702656366,,0.63,,0.62,,0.65,,0.57,,0.63,,0.66,,,,,,
,7/17/2019,6/28/2019,0.650399585,,0.63,,0.55,,0.61,,0.64,,,,,,,,,,
,4/17/2019,3/29/2019,0.683073758,,0.57,,0.54,,0.6,,0.62,,,,,,,,,,
,1/23/2019,12/31/2018,0.537424835,,0.59,,0.61,,0.62,,0.58,,,,,,,,,,
,10/17/2018,9/28/2018,0.647883175,,0.63,,0.62,,0.56,,,,,,,,,,,,
,7/18/2018,6/29/2018,0.6332354,,0.61,,0.54,,,,,,,,,,,,,,
,4/18/2018,3/29/2018,0.585044113,,0.6,,0.52,,,,,,,,,,,,,,
,1/24/2018,12/29/2017,0.431247357,,0.54,,0.53,,0.5,,0.51,,0.56,,0.6,,0.63,,,,
,10/18/2017,9/28/2017,0.533126448,,0.52,,0.49,,0.52,,0.57,,0.61,,,,,,,,
,7/19/2017,6/30/2017,0.500490384,,0.49,,0.47,,0.5,,0.55,,0.58,,,,,,,,
,4/19/2017,3/31/2017,0.493208592,,0.47,,0.46,,0.48,,0.52,,0.55,,0.57,,0.47,,,,
,,12/30/2016,0.561436632,,0.47,,0.49,,0.51,,0.52,,0.53,,0.48,,0.49,,,,
,,9/30/2016,0.512998453,,0.51,,0.47,,0.49,,0.47,,,,,,,,,,
,,6/30/2016,0.534908793,,0.49,,0.48,,0.45,,0.47,,0.46,,,,,,,,
,,3/31/2016,0.391449291,,0.42,,0.46,,0.45,,,,,,,,,,,,
,,12/31/2015,0.127890535,,0.41,,0.43,,0.44,,0.46,,0.56,,0.59,,0.55,,0.57,,0.56
,,9/30/2015,0.372965307,,0.4,,0.45,,0.54,,0.58,,0.55,,0.51,,0.55,,0.54,,
,,6/30/2015,0.453291125,,0.4,,0.51,,0.55,,0.52,,0.49,,0.51,,0.5,,,,
,,3/31/2015,0.452718573,,0.46,,0.49,,0.46,,0.48,,,,,,,,,,
,,12/31/2014,0.342257882,,0.48,,0.46,,0.49,,0.48,,0.52,,0.56,,0.55,,0.5,,
,,9/30/2014,0.397995141,,0.46,,0.48,,0.46,,0.45,,0.46,,0.54,,0.53,,0.44,,
,,6/30/2014,0.487217219,,0.44,,0.43,,0.47,,0.51,,0.4,,,,,,,,
,,3/31/2014,0.427522371,,0.4,,0.41,,0.45,,0.48,,0.41,,,,,,,,
,,12/31/2013,0.413306366,,0.41,,0.45,,0.47,,0.4,,,,,,,,,,
