Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2
12/31/2018,1.131459786,3/8/2020,nan,,,,,
9/28/2018,1.45602621,,nan,,,,,
6/29/2018,1.44728376,,nan,,,,,
3/29/2018,1.111630304,,nan,,,,,
12/29/2017,-0.950166014,,nan,,,,,
9/29/2017,0.865171471,,nan,,,,,
6/30/2017,1.186981233,,nan,,,,,
3/31/2017,0.784021465,,nan,,,,,
12/30/2016,0.890789806,,nan,,,,,
9/30/2016,0.908986038,,nan,,,,,
6/30/2016,1.373534086,,nan,,,,,
3/31/2016,0.702661854,,nan,,,,,
12/31/2015,0.677569455,,nan,,,,,
9/30/2015,1.024913927,,nan,,,,,
6/30/2015,1.208205189,,nan,,,,,
3/31/2015,0.774628727,,nan,,,,,
12/31/2014,0.709693616,,nan,,,,,
9/30/2014,0.967313383,,nan,,,,,
6/30/2014,1.087010831,,nan,,,,,
3/31/2014,0.828550481,,nan,,,,,
12/31/2013,0.849039472,,nan,,,,,
9/30/2013,0.965864467,,nan,,,,,
6/28/2013,1.224124332,,nan,,,,,
3/28/2013,1.188273761,,nan,,,,,
12/28/2012,1.200007037,,nan,,,,,
9/28/2012,1.360048245,,nan,,,,,
6/29/2012,1.251561335,,nan,,,,,
3/30/2012,1.113025368,,nan,,,,,
12/30/2011,1.024051247,,nan,,,,,
9/30/2011,0.962395991,,nan,,,,,
6/30/2011,0.884067788,,nan,,,,,
3/31/2011,0.846183963,,nan,,,,,
12/31/2010,0.670828801,,nan,,,,,
9/30/2010,0.74,,nan,,,,,
6/30/2010,0.36,,nan,,,,,
3/31/2010,0.47,,nan,,,,,
12/31/2009,0.1,,nan,,,,,
9/30/2009,0.45,,nan,,,,,
6/30/2009,0.48,,nan,,,,,
3/31/2009,0.41,,nan,,,,,
12/31/2008,0.34,,nan,,,,,
9/30/2008,0.1,,nan,,,,,
6/30/2008,0.46,,nan,,,,,
3/31/2008,0.46,,nan,,,,,
12/31/2007,0.56,,nan,,,,,
9/28/2007,0.73,,nan,,,,,
6/29/2007,0.77,,nan,,,,,
3/30/2007,0.62,,nan,,,,,
12/29/2006,0.84,,nan,,,,,
9/29/2006,0.95,,nan,,,,,
6/30/2006,1.14,,nan,,,,,
3/31/2006,0.77,,nan,,,,,
12/30/2005,0.84,,nan,,,,,
9/30/2005,1.01,,nan,,,,,
6/30/2005,0.82,,nan,,,,,
