CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted Earnings,,12/31/2023,,0.33,10/22/2022,0.34,9/26/2022,0.34,8/26/2022,0.34,7/23/2022,0.31,6/24/2022,0.31,5/21/2022,0.31,4/21/2022,0.3,4/3/2022,,2/28/2022,0.28,1/21/2022,0.27,12/28/2021,0.27,11/23/2021,0.29,10/22/2021,0.29,9/24/2021,0.29,8/26/2021,0.25,7/24/2021,0.24,6/16/2021,0.24,5/19/2021,0.24,4/21/2021,0.24,3/20/2021,,,,
,,9/30/2023,,0.29,,0.29,,0.3,,0.3,,0.28,,0.28,,0.28,,0.27,,,,0.25,,0.25,,0.24,,0.27,,0.26,,0.26,,0.23,,0.22,,0.22,,0.22,,0.22,,,,,
,,6/30/2023,,0.27,,0.28,,0.27,,0.28,,0.27,,0.27,,0.27,,0.25,,,,0.24,,0.24,,0.24,,0.25,,0.25,,0.26,,0.23,,0.22,,0.21,,0.22,,0.22,,,,,
,,3/30/2023,,0.3,,0.32,,0.32,,0.32,,0.3,,0.3,,0.3,,0.28,,,,0.26,,0.26,,0.25,,0.31,,0.31,,0.31,,0.23,,0.22,,0.22,,0.23,,0.23,,,,,
,,12/31/2022,,0.3,,0.32,,0.32,,0.32,,0.3,,0.3,,0.3,,0.3,,0.29,,0.28,1/21/2022,0.27,12/28/2021,0.27,11/23/2021,0.29,10/22/2021,0.29,9/24/2021,0.29,8/26/2021,0.25,7/24/2021,0.24,6/16/2021,0.24,5/19/2021,0.24,4/21/2021,0.24,3/20/2021,,,,
,10/19/2022,9/30/2022,0.25,0.25,,0.29,,0.29,,0.28,,0.27,,0.27,,0.27,,0.27,,0.26,,0.25,,0.25,,0.24,,0.27,,0.26,,0.26,,0.23,,0.22,,0.22,,0.22,,0.22,,,,,
,7/20/2022,6/30/2022,0.28,0.27,,0.27,,0.26,,0.26,,0.25,,0.25,,0.24,,0.24,,0.24,,0.25,,0.25,,0.26,,0.23,,0.22,,0.21,,0.22,,0.22,,,,,,,,,,,
,4/20/2022,3/31/2022,0.29,0.32,,0.28,,0.27,,0.26,,0.26,,0.25,,0.31,,0.31,,0.31,,0.23,,0.22,,0.22,,0.23,,0.23,,,,,,,,,,,,,,,,,
,1/19/2022,12/31/2021,0.27,0.27,,0.26,,0.25,,0.26,,0.27,,0.27,,0.23,,0.22,,0.23,,0.25,,0.25,3/20/2021,0.25,2/21/2021,0.24,1/20/2021,0.24,12/26/2020,0.24,11/25/2020,0.24,10/21/2020,0.24,8/23/2020,0.24,7/23/2020,0.18,7/3/2020,0.22,5/25/2020,0.25,4/22/2020,0.25,3/27/2020
,10/20/2021,9/30/2021,0.22,0.22,,0.24,,0.24,,0.2,,0.2,,0.2,,0.22,,0.22,,0.22,,0.22,,0.22,,0.23,,0.22,,0.22,,0.22,,0.16,,0.21,,0.22,,0.22,,,,,,,
,7/21/2021,6/30/2021,-0.34,0.23,,0.19,,0.2,,0.22,,0.22,,0.21,,0.21,,0.21,,0.22,,0.21,,0.22,,0.22,,0.15,,0.2,,0.22,,0.22,,,,,,,,,,,,,
,4/21/2021,3/31/2021,0.62,0.6,,0.24,,0.23,,0.22,,0.23,,0.23,,0.23,,0.23,,0.23,,0.19,,0.23,,0.24,,0.24,,,,,,,,,,,,,,,,,,,
,1/20/2021,12/31/2020,0.27,0.27,,0.24,,0.23,,0.24,3/27/2020,0.21,3/27/2020,0.2,3/27/2020,0.23,3/27/2020,0.23,3/27/2020,0.27,3/27/2020,0.28,3/27/2020,0.26,2/27/2020,0.3,1/24/2020,0.27,1/23/2020,0.27,,0.28,0.27,0.28,,,,,,,,,,,,,
,10/21/2020,9/30/2020,0.2,0.21,,0.22,,0.21,,0.2,,0.2,,0.24,,0.25,,0.24,,0.27,,0.25,,0.25,,0.24,,,,,,,,,,,,,,,,,,,,,
,7/22/2020,6/30/2020,-0.28,0.17,,0.17,,0.18,,0.22,,0.24,,0.23,,0.26,,0.24,,0.24,,0.25,0.24,0.23,,,,,,,,,,,,,,,,,,,,,,,
,4/22/2020,3/31/2020,-0.14,0.24,,0.28,,0.26,,0.27,,0.26,,0.26,,0.25,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/22/2020,12/31/2019,0.269315673,0.26,,0.27,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/16/2019,9/30/2019,0.223498233,0.22,,0.24,,0.25,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/17/2019,6/28/2019,0.229000884,0.22,,0.24,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/17/2019,3/29/2019,0.244473917,0.25,,0.24,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/16/2019,12/31/2018,0.214857651,0.25,,0.26,,0.25,0.21,0.22,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/17/2018,9/28/2018,0.314285714,0.22,,0.21,,0.19,0.18,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/18/2018,6/29/2018,-0.082577132,0.2,,0.19,,0.17,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/18/2018,3/29/2018,0.218849116,0.22,,0.21,,0.19,0.18,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/17/2018,12/29/2017,-0.468820099,,,0.18,,0.19,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/18/2017,9/29/2017,0.149708651,,,0.15,,0.16,0.17,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/19/2017,6/30/2017,0.151121076,,,0.15,,0.16,0.17,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/19/2017,3/31/2017,0.179820628,,,0.18,,0.19,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/18/2017,12/30/2016,0.076233184,,,0.18,,0.19,0.2,0.23,0.26,0.25,0.27,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/19/2016,9/30/2016,-0.101793722,,,0.15,,0.16,0.17,0.19,0.21,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/20/2016,6/30/2016,0.149394347,,,0.15,,0.16,0.2,0.21,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/20/2016,3/31/2016,0.123822342,,,0.19,,0.21,0.23,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,-0.285778376,,,0.18,,0.2,0.23,0.24,0.27,0.44,0.42,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.084430322,,,0.18,,0.19,0.2,0.28,0.42,0.41,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.152263374,,,0.19,,0.18,0.19,0.26,0.29,0.39,0.35,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.218038122,,,0.23,,0.29,0.39,0.38,0.37,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.086479067,,,0.34,,0.38,0.37,0.36,0.41,0.43,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.320038911,,,0.34,,0.33,0.34,0.35,0.39,0.4,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.276264591,,,0.29,,0.3,0.32,0.35,0.38,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.278911565,,,0.33,,0.38,0.39,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.326570048,,,0.35,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.276061776,,,0.32,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.266859345,,,0.33,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.281310212,,,0.31,,0.33,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.21174206,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.192492782,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,-0.149466192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.029661017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.219615602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2011,0.214689266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
