Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,
12/31/2020,0.06,11/22/2019,0.042424242,,0.042424242,,0.08969697,,,,,
9/30/2020,0.08,,0.050909091,,0.050909091,,0.078484848,,,,,
6/30/2020,0.08,,0.059393939,,0.059393939,,0.078484848,,,,,
3/31/2020,0.08,,0.059393939,,0.059393939,,0.079333333,,0.078484848,,,
12/31/2019,0.06,,0.05,,0.05,,0.08,,0.11,0.1,0.09,
9/30/2019,0.11,,0.06,,0.06,,0.08,,0.07,0.11,0.1,
6/28/2019,0.074027255,,0.07,,0.09,,0.1,,0.09,,,
3/29/2019,0.184513698,,0.07,,0.08,,0.09,,,,,
12/31/2018,0.086068608,,0.05,,0.06,,0.07,,,,,
9/28/2018,0.093660342,,0.08,,0.07,,0.08,,,,,
6/29/2018,0.078602755,,0.07,,,,,,,,,
3/29/2018,0.742126229,,0.06,,0.07,,0.08,,,,,
12/29/2017,0.122471771,,0.03,,0.04,,0.06,,0.07,0.06,0.12,
9/29/2017,0.077722941,,0.05,,0.07,,0.12,,,,,
6/30/2017,0.070340377,,0.04,,0.05,,0.06,,0.11,,,
3/31/2017,0.040026165,,0.04,,0.05,,0.08,,,,,
12/30/2016,-0.009797436,,0.04,,0.1,,0.11,,,,,
9/30/2016,0.036191485,,0.07,,0.09,,0.08,,0.09,0.1,0.11,
6/30/2016,0.043715506,,0.09,,0.08,,0.09,,0.08,0.1,,
3/31/2016,0.046950266,,0.08,,0.06,,0.08,,0.07,,,
12/31/2015,0.056538978,,0.07,,0.04,,0.05,,0.09,0.12,0.13,0.11
9/30/2015,0.081613538,,0.05,,0.09,,0.11,,0.12,0.1,,
6/30/2015,0.04973495,,0.03,,0.07,,0.1,,0.09,,,
3/31/2015,0.096978766,,0.07,,0.09,,0.08,,0.07,,,
12/31/2014,0.094216053,,0.09,,0.12,,0.11,,0.08,,,
9/30/2014,0.122508646,,0.08,,0.11,,0.1,,0.08,,,
6/30/2014,0.084263453,,0.08,,0.1,,0.09,,0.07,,,
3/31/2014,0.069805777,,0.08,,0.09,,0.08,,0.07,,,
12/31/2013,0.063177543,,0.07,,0.08,,0.08,,,,,
9/30/2013,0.082783487,,0.08,,0.09,,0.09,,,,,
6/28/2013,0.087598105,,0.08,,0.07,,,,,,,
3/28/2013,0.070816155,,0.06,,0.08,,0.08,,,,,
12/28/2012,0.065978261,,0.08,,0.09,,0.08,,,,,
9/28/2012,0.0716538,,0.08,,,,,,,,,
6/29/2012,0.088251336,,0.09,,,,,,,,,
3/30/2012,0.051948052,,0.06,,,,,,,,,
12/30/2011,0.071178901,,nan,,,,,,,,,
9/30/2011,0.076438543,,nan,,,,,,,,,
6/30/2011,0.078371762,,nan,,,,,,,,,
3/31/2011,0.066436198,,nan,,,,,,,,,
12/31/2010,0.052626978,,nan,,,,,,,,,
9/30/2010,0.03536049,,nan,,,,,,,,,
6/30/2010,0.060077259,,nan,,,,,,,,,
3/31/2010,0.036459951,,nan,,,,,,,,,
12/31/2009,0.47,,nan,,,,,,,,,
9/30/2009,0.05,,nan,,,,,,,,,
6/30/2009,0.08,,nan,,,,,,,,,
3/31/2009,0.04,,nan,,,,,,,,,
12/31/2008,0.07,,nan,,,,,,,,,
9/30/2008,0.03,,nan,,,,,,,,,
6/30/2008,0.03,,nan,,,,,,,,,
3/31/2008,0,,nan,,,,,,,,,
12/31/2007,0.13,,nan,,,,,,,,,
9/28/2007,0.03,,nan,,,,,,,,,
6/29/2007,0.02,,nan,,,,,,,,,
3/30/2007,0,,nan,,,,,,,,,
12/29/2006,0.05,,nan,,,,,,,,,
9/29/2006,0.02,,nan,,,,,,,,,
6/30/2006,0.01,,nan,,,,,,,,,
3/31/2006,0.03,,nan,,,,,,,,,
12/30/2005,0.05,,nan,,,,,,,,,
9/30/2005,0.02,,nan,,,,,,,,,
6/30/2005,0,,nan,,,,,,,,,
3/31/2005,0.01,,nan,,,,,,,,,
12/31/2004,0,,nan,,,,,,,,,
9/30/2004,-0.01,,nan,,,,,,,,,
6/30/2004,-0.03,,nan,,,,,,,,,
3/31/2004,-0.02,,nan,,,,,,,,,
12/31/2003,-0.02,,nan,,,,,,,,,
9/30/2003,-0.03,,nan,,,,,,,,,
6/30/2003,-0.05,,nan,,,,,,,,,
3/31/2003,0.07,,nan,,,,,,,,,
12/31/2002,-0.13,,nan,,,,,,,,,
9/30/2002,-0.12,,nan,,,,,,,,,
6/28/2002,-0.16,,nan,,,,,,,,,
3/28/2002,-0.42,,nan,,,,,,,,,
12/31/2001,-0.26,,nan,,,,,,,,,
9/28/2001,-0.24,,nan,,,,,,,,,
6/29/2001,-0.26,,nan,,,,,,,,,
3/30/2001,-0.22,,nan,,,,,,,,,
12/29/2000,-0.3,,nan,,,,,,,,,
9/29/2000,-0.27,,nan,,,,,,,,,
