CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,
N,,3/31/2027,,1.31,1/9/2026,1.27,11/10/2025,1.08,9/22/2025,1.08,8/17/2025,1.16,7/4/2025,1.16,5/24/2025
,,12/30/2026,,1.39,,1.35,,1.18,,1.18,,1.39,,1.39,
,,9/30/2026,,1.55,,1.51,,1.12,,1.12,,1.37,,1.36,
,,6/30/2026,,1.15,,1.11,,1.15,,1.15,,1.1,,1.1,
,,3/31/2026,,1.01,4/21/2025,0.98,4/21/2025,0.98,4/21/2025,0.98,4/21/2025,1.25,4/21/2025,1.11,4/21/2025
,,12/30/2025,,1.01,,0.98,,0.9,,0.9,,1.1,,1.12,
,11/6/2025,9/30/2025,1.32,0.95,,0.95,,0.95,,1.27,,1.2,,,
,8/7/2025,6/30/2025,1.43,1.26,,1.17,,1.02,,1.01,,,,,
,5/21/2025,3/31/2025,0.95,1.11,7/6/2024,0.87,7/6/2024,0.87,7/6/2024,1.05,7/6/2024,,,,
,2/5/2025,12/30/2024,0.91,1.06,,1.25,,1.36,,1.46,,,,,
,11/12/2024,9/30/2024,1.17,1.36,,1.39,,1.41,,1.4,,,,,
,8/6/2024,6/30/2024,1.02,1.13,,1.17,,1.17,,1.31,,,,,
,5/22/2024,3/31/2024,0.82,0.93,6/28/2023,1.17,6/28/2023,1.17,6/28/2023,1.09,6/28/2023,,,,
,2/6/2024,12/30/2023,1.02,1.18,,1.38,,1.38,,1.3,,,,,
,11/8/2023,9/30/2023,1.22,1.4,,1.34,,1.29,,1.3,,,,,
,8/7/2023,6/30/2023,1.27,1.41,,0.99,,0.99,,1.04,,,,,
,5/24/2023,3/31/2023,1.23,1.36,,1.06,,1.06,,1.06,,,,,
,2/7/2023,12/30/2022,1.34,1.38,,1.14,,1.15,,1.02,,,,,
,11/3/2022,9/30/2022,1.07,0.129,,0.95,,0.95,,1.07,,,,,
,8/3/2022,6/30/2022,0.84,0.99,,0.99,,0.99,,0.92,,,,,
