CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,,
Non-GAAP,,9/30/2027,,-0.03,1/12/2026,0.01,11/29/2025,-0.13,10/27/2025,-0.13,9/18/2025,-0.13,8/16/2025,-0.1,7/23/2025,,,,,,,,,,,,,
,,6/30/2027,,1.68,,1.68,,1.53,,1.53,,1.53,,1.46,,,,,,,,,,,,,,
,,3/30/2027,,1.14,,1.14,,1.08,,1.08,,1.08,,1.09,,,,,,,,,,,,,,
,,12/30/2026,,0.16,,0.14,,0.25,,0.25,,0.25,,0.27,,,,,,,,,,,,,,
,,9/30/2026,,-0.05,10/27/2025,-0.06,10/27/2025,-0.13,10/27/2025,-0.13,9/18/2025,-0.13,8/16/2025,-0.1,7/23/2025,,,,,,,,,,,,,
,,6/30/2026,,1.59,,1.59,,1.53,,1.53,,1.53,,1.46,,,,,,,,,,,,,,
,,3/30/2026,,1.1,,1.1,,1.08,,1.08,,1.08,,1.09,,,,,,,,,,,,,,
,,12/30/2025,,0.14,,0.16,,0.25,,0.25,,0.25,,0.27,,,,,,,,,,,,,,
,11/24/2025,9/30/2025,-0.16,-0.09,11/28/2024,-0.2,11/28/2024,-0.2,11/28/2024,-0.2,11/28/2024,-0.15,11/28/2024,,,,,,,,,,,,,,,
,8/6/2025,6/30/2025,1.52,1.56,,1.43,,1.3,,1.32,,,,,,,,,,,,,,,,,,
,5/7/2025,3/30/2025,0.98,1.04,,0.93,,0.92,,0.95,,,,,,,,,,,,,,,,,,
,2/5/2025,12/30/2024,0.21,0.21,,-0.01,,0.01,,0.03,,,,,,,,,,,,,,,,,,
,11/25/2024,9/30/2024,-0.51,-0.18,1/3/2024,-0.19,1/3/2024,-0.2,1/3/2024,-0.15,1/3/2024,,,,,,,,,,,,,,,,,
,8/7/2024,6/30/2024,1.19,1.32,,1.26,,1.29,,1.44,,,,,,,,,,,,,,,,,,
,5/8/2024,3/30/2024,0.93,0.99,,0.82,,0.95,,0.97,,,,,,,,,,,,,,,,,,
,2/7/2024,12/30/2023,0.01,0.01,,-0.18,,-0.13,,-0.08,,,,,,,,,,,,,,,,,,
,11/20/2023,9/30/2023,0.04,0.05,,0.07,,0.07,,0.08,,,,,,,,,,,,,,,,,,
,8/5/2023,6/30/2023,1.25,1.75,,1.48,,1.47,,1.48,,,,,,,,,,,,,,,,,,
,5/3/2023,3/30/2023,0.9,0.9,,1.18,,1.17,,1.19,,,,,,,,,,,,,,,,,,
,1/31/2023,12/30/2022,-0.16,-0.16,,-0.17,,-0.17,,0.23,,,,,,,,,,,,,,,,,,
,11/21/2022,9/30/2022,-0.04,-0.04,,0.01,,0.01,,0.02,,,,,,,,,,,,,,,,,,
,8/3/2022,6/30/2022,1.39,1.39,,1.27,,1.58,,1.58,,,,,,,,,,,,,,,,,,
,5/4/2022,3/31/2022,1.27,1.27,,1.18,,1.18,,1.26,,,,,,,,,,,,,,,,,,
,2/2/2022,12/31/2021,0.16,0.16,,0.01,,0.13,,0.16,,,,,,,,,,,,,,,,,,
,11/22/2021,9/30/2021,-0.06,-0.06,,-0.24,,-0.22,,-0.22,,,,,,,,,,,,,,,,,,
,8/4/2021,6/30/2021,1.37,1.37,,1.02,,1.01,,1.2,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,1.32,1.32,,0.93,,0.85,,0.85,,,,,,,,,,,,,,,,,,
,2/3/2021,12/31/2020,0.1,0.29,,0.1,,,,,,,,,,,,,,,,,,,,,,
,11/23/2020,9/30/2020,0.25,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,,
,8/5/2020,6/30/2020,1.27,1.32,,1.27,,,,,,,,,,,,,,,,,,,,,,
,5/6/2020,3/31/2020,0.78,0.78,,0.78,,,,,,,,,,,,,,,,,,,,,,
,2/5/2020,12/31/2019,-0.08,-0.08,,-0.08,,,,,,,,,,,,,,,,,,,,,,
,11/26/2019,9/30/2019,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,0.8,0.8,,0.8,,,,,,,,,,,,,,,,,,,,,,
,5/6/2019,3/29/2019,0.73,0.72,,0.73,,,,,,,,,,,,,,,,,,,,,,
,2/6/2019,12/31/2018,0.03,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,
,11/27/2018,9/28/2018,0.19,0.1,,0.19,,,,,,,,,,,,,,,,,,,,,,
,8/1/2018,6/29/2018,0.79,0.79,,0.79,,,,,,,,,,,,,,,,,,,,,,
,5/7/2018,3/29/2018,0.86,0.86,,0.86,,,,,,,,,,,,,,,,,,,,,,
,2/7/2018,12/29/2017,0.5,0.19,,0.5,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.62,,,0.62,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.67,,,0.67,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.15,,,0.15,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,-0.11,,,-0.11,,,,,,,,,,,,,,,,,,,,,,
,,7/1/2016,0.51,,,0.51,,,,,,,,,,,,,,,,,,,,,,
,,4/1/2016,0.65,,,0.65,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,-0.18,,,-0.18,,,,,,,,,,,,,,,,,,,,,,
,,10/2/2015,-0.09,,,-0.09,,,,,,,,,,,,,,,,,,,,,,
,,6/26/2015,0.38,,,0.38,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.47,,,0.47,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,-0.12,,,-0.12,,,,,,,,,,,,,,,,,,,,,,
,,9/26/2014,-0.08,,,-0.08,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,,
