CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Adjusted,,12/31/2026,,1.83,12/5/2025,1.81,11/2/2025,1.78,9/12/2025,1.88,8/4/2025,1.98,6/19/2025,2.02,5/4/2025,1.99,4/18/2025,,,,,
,,9/30/2026,,1.83,,1.84,,1.94,,2.05,,2.13,,2.19,,2.19,,,,,,
,,6/30/2026,,1.77,,1.76,,1.82,,1.89,,1.96,,2.02,,2.04,,,,,,
,,3/30/2026,,1.55,,1.53,,1.54,,1.61,,1.61,,1.64,,1.67,,,,,,
,,12/31/2025,,1.64,12/14/2024,1.61,12/14/2024,1.64,12/14/2024,1.68,12/14/2024,1.74,12/14/2024,1.75,12/14/2024,1.69,12/14/2024,,,,,
,10/29/2025,9/30/2025,1.65,1.65,,1.67,,1.78,,1.81,,1.82,,1.86,,,,,,,,
,7/31/2025,6/30/2025,1.67,1.67,,1.65,,1.67,,1.7,,,,,,,,,,,,
,5/1/2025,3/30/2025,1.33,1.33,,1.29,,1.31,,1.31,,,,,,,,,,,,
,1/30/2025,12/31/2024,0.74,1.29,3/30/2024,1.29,3/30/2024,1.38,3/30/2024,1.39,3/30/2024,,,,,,,,,,,
,10/30/2024,9/30/2024,1.55,1.55,,1.48,,1.46,,1.45,,,,,,,,,,,,
,8/1/2024,6/30/2024,1.43,1.43,,1.32,,1.28,,1.28,,,,,,,,,,,,
,4/25/2024,3/30/2024,1.19,1.19,,0.96,,0.97,,1.07,,,,,,,,,,,,
,2/1/2024,12/31/2023,1.04,1.04,3/13/2023,1.03,3/13/2023,1.03,3/13/2023,1.05,3/13/2023,,,,,,,,,,,
,10/26/2023,9/30/2023,1.05,1.05,,1.02,,1.03,,1.03,,,,,,,,,,,,
,7/27/2023,6/30/2023,0.95,0.95,,0.85,,0.85,,0.85,,,,,,,,,,,,
,4/27/2023,3/30/2023,0.68,0.68,,0.65,,0.65,,0.66,,,,,,,,,,,,
,1/31/2023,12/31/2022,0.62,0.62,,0.65,,0.65,,0.65,,,,,,,,,,,,
,10/24/2022,9/30/2022,0.65,0.65,,0.59,,0.59,,0.68,,,,,,,,,,,,
,7/28/2022,6/30/2022,0.47,0.47,,0.44,,0.45,,0.46,,,,,,,,,,,,
,4/28/2022,3/31/2022,0.29,0.29,,0.28,,0.28,,0.31,,,,,,,,,,,,
,1/27/2022,12/31/2021,0.18,0.27,,0.26,,0.26,,0.31,,,,,,,,,,,,
,10/28/2021,9/30/2021,-4.41,0.17,,0.29,,0.31,,0.38,,,,,,,,,,,,
,7/28/2021,6/30/2021,0.17,0.17,,0.14,,0.14,,0.31,,,,,,,,,,,,
,4/29/2021,3/31/2021,-0.06,-0.06,,0.12,,0.14,,0.28,,,,,,,,,,,,
,1/28/2021,12/31/2020,0.37,0.37,,0.25,,0.25,,0.45,,,,,,,,,,,,
,10/29/2020,9/30/2020,0.46,0.46,,0.37,,0.37,,0.53,,,,,,,,,,,,
,7/30/2020,6/30/2020,0.42,0.42,,0.45,,0.49,,0.64,,,,,,,,,,,,
,5/5/2020,3/31/2020,-4.15,0.59,,0.47,,0.5,,0.52,,,,,,,,,,,,
,1/30/2020,12/31/2019,0.05,0.58,,0.58,,0.58,,0.58,,,,,,,,,,,,
,10/25/2019,9/30/2019,0.801038293,0.8,,0.72,,0.75,,0.95,,,,,,,,,,,,
,7/25/2019,7/1/2019,0.787303654,0.79,,0.79,,0.8,,0.84,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.738461796,0.74,,0.69,,0.71,,0.72,,,,,,,,,,,,
,1/31/2019,12/31/2018,-0.409707436,0.75,,0.68,,0.85,,0.68,,,,,,,,,,,,
,10/25/2018,9/28/2018,0.699451358,0.7,,0.68,,0.78,,0.64,,,,,,,,,,,,
,7/25/2018,6/29/2018,0.476992632,0.78,,0.71,,0.58,,,,,,,,,,,,,,
,4/25/2018,3/29/2018,0.543173146,0.67,,0.59,,0.55,,,,,,,,,,,,,,
,1/31/2018,12/29/2017,4.182378679,,,0.51,,0.53,,0.57,,,,,,,,,,,,
,11/1/2017,9/29/2017,0.518469826,,,0.45,,0.52,,0.61,,,,,,,,,,,,
,7/26/2017,6/30/2017,0.480529406,,,0.48,,0.5,,0.55,,,,,,,,,,,,
,4/26/2017,3/31/2017,0.512656457,,,0.51,,0.5,,0.51,,,,,,,,,,,,
,2/1/2017,12/30/2016,0.604337106,,,0.52,,0.85,,1.1,,,,,,,,,,,,
,10/26/2016,9/30/2016,0.593858059,,,0.55,,0.83,,1.12,,,,,,,,,,,,
,7/27/2016,6/30/2016,0.722209767,,,0.7,,0.82,,1.08,,,,,,,,,,,,
,4/27/2016,3/31/2016,0.712357198,,,0.78,,1,,1.01,,,,,,,,,,,,
,,12/31/2015,0.943102743,,,0.97,,0.98,,1.03,,,,,,,,,,,,
,,9/30/2015,1.04352695,,,1.03,,1.04,,1.06,,,,,,,,,,,,
,,6/30/2015,1.04768004,,,1.03,,1.05,,1.18,,,,,,,,,,,,
,,3/31/2015,1.096493905,,,1.08,,1.09,,1.14,,,,,,,,,,,,
,,12/31/2014,1.19614357,,,1.15,,1.2,,1.36,,,,,,,,,,,,
,,9/30/2014,1.347827615,,,1.36,,1.37,,1.32,,,,,,,,,,,,
,,6/30/2014,1.311048198,,,1.3,,1.29,,1.22,,,,,,,,,,,,
,,3/31/2014,1.096246984,,,1.09,,1.1,,1.15,,,,,,,,,,,,
,,12/31/2013,1.134537302,,,1.13,,1.14,,1.13,,,,,,,,,,,,
,,9/30/2013,1.22185887,,,1.12,,1.06,,,,,,,,,,,,,,
,,6/28/2013,1.116117391,,,1.06,,1.05,,1.04,,,,,,,,,,,,
,,3/28/2013,1.002178726,,,0.9,,0.94,,0.96,,,,,,,,,,,,
,,12/31/2012,1.037512322,,,0.86,,0.89,,0.9,,,,,,,,,,,,
,,9/28/2012,0.95376346,,,0.9,,,,,,,,,,,,,,,,
,,6/29/2012,0.854618979,,,0.82,,,,,,,,,,,,,,,,
,,3/30/2012,0.915682574,,,0.91,,,,,,,,,,,,,,,,
,,12/30/2011,1.012929869,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.952375792,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.780354502,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.607667516,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.591403883,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.57424353,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.544896021,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.460963626,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.54,,,,,,,,,,,,,,,,,,,
