Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,
12/31/2020,1.12,3/8/2020,1.12,,0.91,,0.51,,,,,,
9/30/2020,1.96,,1.96,,2.55,,2.37,,,,,,
6/30/2020,1.02,,1.02,,0.95,,0.97,,,,,,
3/31/2020,0.58,,0.58,,0.28,,0.42,,,,,,
12/31/2019,0.48,,0.48,,0.59,,0.39,,0,,1.22,,
9/30/2019,2.1,,2.1,,2.03,,1.99,,1.83,,1.42,,
7/1/2019,0.76,,0.76,,1,,1.13,,0.79,,,,
3/29/2019,1.721428571,,0.41,,0.71,,0.4,,,,,,
12/31/2018,-0.035714286,,0.03,,0.11,,0.28,,0.24,,,,
9/28/2018,-0.240802676,,1.31,,1.5,,0.8,,,,,,
6/29/2018,0.229299363,,0.79,,0.49,,,,,,,,
3/29/2018,0.866459627,,0.14,,0.11,,,,,,,,
12/29/2017,-4.842271293,,0.26,,0.44,,0.36,,-1.05,,0.73,,
9/29/2017,0.531055901,,0.94,,0.66,,0.76,,0.41,,,,
6/30/2017,-1.984177215,,-0.09,,0.09,,0.07,,-0.4,,,,
3/31/2017,-0.515822785,,-0.28,,-0.19,,-0.17,,-0.47,,,,
12/30/2016,-3.123417722,,-0.29,,-0.18,,-0.12,,-0.27,,0.08,,
9/30/2016,1.268138801,,0.93,,0.84,,0.79,,0.76,,,,
6/30/2016,-0.612698413,,0.2,,0.26,,-0.06,,,,,,
3/31/2016,0.244444444,,0.06,,-0.08,,-0.11,,,,,,
12/31/2015,-20.06031746,,0.05,,-0.02,,0.5,,,,,,
9/30/2015,0.18373494,,0.76,,0.86,,,,,,,,
6/30/2015,-0.057057057,,-0.01,,0.15,,,,,,,,
3/31/2015,-0.37202381,,0.24,,0.2,,1.49,,,,,,
12/31/2014,0.206489676,,0.52,,1.01,,1.16,,1,,0.22,,0.57
9/30/2014,0.483965015,,0.52,,0.66,,0.89,,1.1,,0.13,,
6/30/2014,-0.296735905,,0.15,,0.21,,0.2,,-0.12,,,,
3/31/2014,-0.179012346,,-0.1,,-0.13,,0.25,,,,,,
12/31/2013,-0.972136223,,0.21,,0.24,,0.8,,,,,,
9/30/2013,0.373088685,,0.83,,1.03,,0.3,,,,,,
6/28/2013,0.388379205,,0.23,,0.13,,-0.27,,,,,,
3/28/2013,-1.021671827,,-0.29,,-0.28,,-0.14,,-0.12,,-0.16,,-0.29
12/31/2012,2.064257028,,-0.15,,0.16,,0.1,,0.53,,,,
9/28/2012,-0.013157895,,0.54,,,,,,,,,,
6/29/2012,1.082969432,,0.16,,,,,,,,,,
3/30/2012,-0.916666667,,-0.11,,,,,,,,,,
12/30/2011,-0.484716157,,nan,,,,,,,,,,
9/30/2011,-0.2375,,nan,,,,,,,,,,
6/30/2011,2.532786885,,nan,,,,,,,,,,
3/31/2011,-1.060728745,,nan,,,,,,,,,,
12/31/2010,-0.068548387,,nan,,,,,,,,,,
9/30/2010,0.873517787,,nan,,,,,,,,,,
6/30/2010,0.8125,,nan,,,,,,,,,,
3/31/2010,0.217898833,,nan,,,,,,,,,,
12/31/2009,0.099630996,,nan,,,,,,,,,,
9/30/2009,1,,nan,,,,,,,,,,
6/30/2009,1.574545455,,nan,,,,,,,,,,
3/31/2009,0.7,,nan,,,,,,,,,,
12/31/2008,0.97,,nan,,,,,,,,,,
9/29/2008,2.81,,nan,,,,,,,,,,
6/27/2008,0.48,,nan,,,,,,,,,,
3/28/2008,0.14,,nan,,,,,,,,,,
12/31/2007,0.35,,nan,,,,,,,,,,
9/28/2007,0.93,,nan,,,,,,,,,,
6/29/2007,0.51,,nan,,,,,,,,,,
3/30/2007,0.2,,nan,,,,,,,,,,
12/29/2006,-0.17,,nan,,,,,,,,,,
9/29/2006,1.32,,nan,,,,,,,,,,
6/30/2006,0.63,,nan,,,,,,,,,,
3/31/2006,0.06,,nan,,,,,,,,,,
12/30/2005,0.68,,nan,,,,,,,,,,
9/30/2005,-0.39,,nan,,,,,,,,,,
6/30/2005,0.22,,nan,,,,,,,,,,
