CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,
N,,12/31/2021,1.19,8/30/2020,0.97,7/30/2020,0.89,6/7/2020,0.96,4/29/2020,0.96,3/24/2020,,,,,,,,,,,,,
,,9/30/2021,1.14,,0.83,,0.71,,0.76,,0.76,,,,,,,,,,,,,,
,,6/30/2021,1.06,,0.8,,0.56,,0.63,,0.63,,,,,,,,,,,,,,
,,3/31/2021,0.96,,0.63,,0.54,,0.57,,0.57,,,,,,,,,,,,,,
,,12/31/2020,1.26,3/24/2020,1.08,3/24/2020,0.92,3/24/2020,0.84,3/24/2020,0.89,3/24/2020,0.98,2/19/2020,0.98,1/22/2020,0.97,1/21/2020,0.97,,0.75,,0.69,,0.681136364
,,9/30/2020,1.07,,0.74,,0.52,,0.47,,0.68,,0.77,,0.77,,0.78,,0.78,,0.54,,0.49,,0.386590909
,7/30/2020,6/30/2020,0.71,,-0.5,,-0.37,,0.57,,0.71,,0.71,,0.72,,0.72,,0.57,,0.44,,0.349772727,,
,4/29/2020,3/31/2020,-4.68,,0.45,,0.49,,0.49,,0.48,,0.48,,0.36,,0.31,,0.220909091,,,,,,
,2/19/2020,12/31/2019,1.04,,0.88,,0.87,,0.87,,0.75,,0.74,,0.85,0.91,,,,,,,,,
,10/24/2019,9/30/2019,0.656290297,,0.56,,0.55,,0.46,,0.42,0.37,0.5,,,,,,,,,,,,
,7/25/2019,7/1/2019,0.615290308,,0.47,,0.38,,0.44,,,,,,,,,,,,,,,,
,4/25/2019,3/29/2019,0.984447864,,0.21,,0.24,,0.38,,0.3,,,,,,,,,,,,,,
,2/20/2019,12/31/2018,0.508494325,,0.84,,0.89,,0.9,,0.65,,,,,,,,,,,,,,
,10/25/2018,9/28/2018,0.351304833,,0.43,,0.55,,,,,,,,,,,,,,,,,,
,7/27/2018,6/29/2018,0.393872321,,0.34,,0.45,,,,,,,,,,,,,,,,,,
,4/26/2018,3/29/2018,-0.05127486,,0.26,,0.41,,0.73,,,,,,,,,,,,,,,,
,2/27/2018,12/29/2017,1.396636458,,0.81,,0.77,,0.73,,0.71,0.65,0.68,0.49,,,,,,,,,,,
,10/24/2017,9/29/2017,0.443724179,,0.4,,0.59,,0.57,,0.56,0.63,0.46,,,,,,,,,,,,
,7/28/2017,6/30/2017,0.270743138,,0.46,,0.48,,0.49,,0.5,0.54,0.23,,,,,,,,,,,,
