Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,,,,
4/30/2021,1.39,3/23/2020,1.41,2/13/2020,1.45,1/23/2020,1.45,,1.38,,1.36,,1.37,1.38,1.518530184,1.47225,1.743529412,,,,,,
1/29/2021,1.21,,1.24,,1.27,,1.27,,1.26,,1.24,,1.25,1.24,1.316850394,1.279725,1.575882353,,,,,,
10/30/2020,1.1,,1.13,,1.13,,1.13,,1.06,,1.05,,1.06,1.032125984,1.01925,1.285294118,1.296470588,,,,,,
7/31/2020,0.84,,0.86,,0.87,,0.87,,0.85,,0.86,,0.85,0.68808399,0.690825,0.927647059,0.938823529,,,,,,
4/30/2020,1.3,,1.34,,1.39,,1.39,,1.32,,1.33,,1.28,1.3,1.56,1.55,1.45,1.44,1.45,1.44,1.45,1.46,1.39
1/31/2020,1.21,,1.18,,1.18,,1.17,,1.11,,1.13,1.41,1.4,1.33,1.32,1.33,1.3,1.31,1.3,1.25,,,
10/31/2019,1.029661017,,0.94,,0.87,,0.9,,1.15,1.16,1.19,1.18,1.16,1.17,1.14,1.11,,,,,,,
7/26/2019,0.423868313,,0.58,,0.61,,0.83,,0.84,0.85,1.05,1.04,1.05,1.06,1.02,0.95,,,,,,,
4/26/2019,1.590361446,,1.25,,1.26,,1.25,,1.26,1.27,1.22,1.18,1.07,,,,,,,,,,
1/25/2019,0.976470588,,1.15,,1.12,,1.09,,1.07,0.98,,,,,,,,,,,,,
10/26/2018,0.912878788,,0.99,,0.97,,0.94,,0.88,,,,,,,,,,,,,,
7/27/2018,1.05204461,,0.8,,0.78,,0.74,,,,,,,,,,,,,,,,
4/27/2018,0.992673993,,1.01,,1,,0.87,,0.86,,,,,,,,,,,,,,
1/26/2018,-1.888059701,,0.91,,0.83,,,,,,,,,,,,,,,,,,
10/27/2017,0.636363636,,0.69,,0.74,,0.7,,,,,,,,,,,,,,,,
7/28/2017,0.489208633,,0.55,,0.67,,0.66,,0.61,,,,,,,,,,,,,,
4/28/2017,0.683453237,,0.82,,0.77,,0.69,,,,,,,,,,,,,,,,
1/27/2017,0.519572954,,0.74,,0.64,,,,,,,,,,,,,,,,,,
10/31/2016,0.383802817,,0.54,,0.58,,0.63,,0.67,,,,,,,,,,,,,,
7/29/2016,0.226950355,,0.36,,0.46,,0.54,,0.57,,,,,,,,,,,,,,
4/29/2016,-0.028169014,,0.58,,0.75,,0.8,,0.84,,,,,,,,,,,,,,
1/29/2016,0.516891892,,0.68,,0.69,,0.7,,0.75,,,,,,,,,,,,,,
10/30/2015,0.385135135,,0.57,,0.69,,0.75,,0.76,,,,,,,,,,,,,,
7/31/2015,-0.098684211,,0.23,,0.6,,0.67,,0.66,0.67,,,,,,,,,,,,,
4/24/2015,0.430577721,,0.72,,0.73,,0.89,,0.9,0.89,0.91,0.63,,,,,,,,,,,
1/23/2015,0.557552822,,0.77,,0.8,,0.53,,,,,,,,,,,,,,,,
10/31/2014,0.493972179,,0.7,,0.69,,0.71,,0.73,0.4,,,,,,,,,,,,,
7/25/2014,0.268611364,,0.57,,0.63,,0.64,,0.65,0.79,,,,,,,,,,,,,
4/25/2014,0.585612366,,0.79,,0.8,,0.84,,0.86,0.56,,,,,,,,,,,,,
1/31/2014,0.554881571,,0.71,,0.73,,0.76,,0.48,,,,,,,,,,,,,,
10/25/2013,0.477800057,,0.63,,0.34,,,,,,,,,,,,,,,,,,
7/26/2013,0.226729647,,0.49,,0.53,,0.54,,,,,,,,,,,,,,,,
4/26/2013,0.472026073,,0.68,,0.65,,0.41,,,,,,,,,,,,,,,,
1/24/2013,0.433506992,,0.56,,0.54,,0.33,,,,,,,,,,,,,,,,
10/26/2012,0.297664313,,0.48,,0.25,,,,,,,,,,,,,,,,,,
7/26/2012,0.171875,,0.38,,,,,,,,,,,,,,,,,,,,
4/26/2012,0.473408436,,0.49,,,,,,,,,,,,,,,,,,,,
1/26/2012,0.320042815,,nan,,,,,,,,,,,,,,,,,,,,
10/27/2011,0.440425532,,nan,,,,,,,,,,,,,,,,,,,,
7/28/2011,0.344019729,,nan,,,,,,,,,,,,,,,,,,,,
4/29/2011,0.481169475,,nan,,,,,,,,,,,,,,,,,,,,
1/28/2011,0.424667651,,nan,,,,,,,,,,,,,,,,,,,,
10/29/2010,0.420219556,,nan,,,,,,,,,,,,,,,,,,,,
7/30/2010,0.378840502,,nan,,,,,,,,,,,,,,,,,,,,
4/30/2010,0.398296296,,nan,,,,,,,,,,,,,,,,,,,,
1/29/2010,0.299417152,,nan,,,,,,,,,,,,,,,,,,,,
10/30/2009,0.273416238,,nan,,,,,,,,,,,,,,,,,,,,
7/31/2009,0.152446149,,nan,,,,,,,,,,,,,,,,,,,,
4/30/2009,0.21,,nan,,,,,,,,,,,,,,,,,,,,
1/30/2009,-0.25,,nan,,,,,,,,,,,,,,,,,,,,
10/31/2008,0.13,,nan,,,,,,,,,,,,,,,,,,,,
7/31/2008,0.1,,nan,,,,,,,,,,,,,,,,,,,,
4/30/2008,0.26,,nan,,,,,,,,,,,,,,,,,,,,
1/31/2008,0.29,,nan,,,,,,,,,,,,,,,,,,,,
10/31/2007,0.23,,nan,,,,,,,,,,,,,,,,,,,,
7/31/2007,0.09,,nan,,,,,,,,,,,,,,,,,,,,
4/30/2007,0.23,,nan,,,,,,,,,,,,,,,,,,,,
1/31/2007,0.17,,nan,,,,,,,,,,,,,,,,,,,,
10/31/2006,0.22,,nan,,,,,,,,,,,,,,,,,,,,
7/31/2006,0.14,,nan,,,,,,,,,,,,,,,,,,,,
4/28/2006,0.15,,nan,,,,,,,,,,,,,,,,,,,,
1/31/2006,0.2,,nan,,,,,,,,,,,,,,,,,,,,
10/31/2005,0.18,,nan,,,,,,,,,,,,,,,,,,,,
7/29/2005,0.16,,nan,,,,,,,,,,,,,,,,,,,,
4/29/2005,0.16,,nan,,,,,,,,,,,,,,,,,,,,
1/31/2005,0.16,,nan,,,,,,,,,,,,,,,,,,,,
10/29/2004,0.15,,nan,,,,,,,,,,,,,,,,,,,,
7/30/2004,0.13,,nan,,,,,,,,,,,,,,,,,,,,
4/30/2004,0.1,,nan,,,,,,,,,,,,,,,,,,,,
1/30/2004,0.11,,nan,,,,,,,,,,,,,,,,,,,,
10/31/2003,0.13,,nan,,,,,,,,,,,,,,,,,,,,
7/31/2003,0.08,,nan,,,,,,,,,,,,,,,,,,,,
