CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,
As Adjusted,,6/30/2027,,1.38,1/17/2026,1.38,12/14/2025,1.38,11/3/2025,1.38,9/16/2025,0.59,8/13/2025,1.29,6/29/2025,1.25,5/16/2025
,,3/30/2027,,1.24,,1.24,,1.24,,1.35,,0.86,,1.2,,1.12,
,,12/31/2026,,0.87,,0.87,,0.87,,0.75,,1.28,,0.66,,0.66,
,,9/30/2026,,1.61,,1.61,,1.61,,1.45,,1.02,,1.31,,1.37,
,,6/30/2026,,1.36,6/29/2025,1.35,6/29/2025,1.29,6/29/2025,1.3,6/29/2025,1.31,6/29/2025,1.29,6/29/2025,1.25,5/16/2025
,,3/30/2026,,1.12,,1.12,,1.15,,1.2,,1.19,,1.2,,1.12,
,,12/31/2025,,0.49,,0.49,,0.52,,0.55,,0.54,,0.66,,0.66,
,10/30/2025,9/30/2025,1.32,1.51,,1.08,,1.12,,1.31,,1.37,,,,,
,8/5/2025,6/30/2025,1.57,1.27,9/26/2024,0.99,9/26/2024,1.03,9/26/2024,1.08,9/26/2024,,,,,,
,5/8/2025,3/30/2025,0.75,1.1,,0.9,,0.9,,0.91,,,,,,,
,2/4/2025,12/31/2024,0.81,0.96,,0.65,,0.62,,0.61,,,,,,,
,11/4/2024,9/30/2024,1.78,1.45,,1.11,,1.13,,1.17,,,,,,,
,8/6/2024,6/30/2024,0.68,0.9,9/27/2023,0.82,9/27/2023,0.81,9/27/2023,0.9,9/27/2023,,,,,,
,5/8/2024,3/30/2024,1.4,1.09,,1,,1,,1.07,,,,,,,
,2/7/2024,12/31/2023,0.23,0.34,,0.06,,0.11,,0.15,,,,,,,
,11/2/2023,9/30/2023,0.82,1.09,,1.04,,1.05,,1.12,,,,,,,
,8/8/2023,6/30/2023,0.74,0.88,,0.72,,0.67,,0.84,,,,,,,
,5/9/2023,3/30/2023,-0.1,0.94,,0.92,,0.94,,0.98,,,,,,,
,2/8/2023,12/31/2022,0.58,0.48,,0.51,,0.54,,0.52,,,,,,,
,11/1/2022,9/30/2022,1.1,1.21,,1.19,,1.19,,1.25,,,,,,,
,8/10/2022,6/30/2022,0.55,0.74,,0.77,,0.78,,0.78,,,,,,,
,5/14/2022,3/31/2022,0.5,0.81,,0.89,,0.89,,0.9,,,,,,,
,2/9/2022,12/31/2021,-0.15,0.13,,0.01,,0.01,,0.02,,,,,,,
,11/3/2021,9/30/2021,1.21,1.11,,1.02,,1.01,,1,,,,,,,
,8/4/2021,6/30/2021,0.43,0.65,,0.58,,0.58,,0.6,,,,,,,
,5/5/2021,3/31/2021,0.96,0.88,,0.57,,0.54,,0.54,,,,,,,
,2/9/2021,12/31/2020,0.37,0.16,,0.37,,,,,,,,,,,
,11/3/2020,9/30/2020,1.83,1.18,,1.83,,,,,,,,,,,
,8/4/2020,6/30/2020,0.2,0.62,,0.2,,,,,,,,,,,
,5/6/2020,3/31/2020,0.13,0.93,,0.13,,,,,,,,,,,
,2/5/2020,12/31/2019,0.48,0.1,,0.48,,,,,,,,,,,
,11/6/2019,9/30/2019,0.8,0.83,,0.8,,,,,,,,,,,
,8/7/2019,6/28/2019,0.73,0.62,,0.73,,,,,,,,,,,
,5/8/2019,3/29/2019,0.85,0.76,,0.85,,,,,,,,,,,
,,12/31/2018,0.01,,,0.01,,,,,,,,,,,
,,9/28/2018,0.97,,,0.97,,,,,,,,,,,
,,6/29/2018,0.76,,,0.76,,,,,,,,,,,
,,3/30/2018,0.74,,,0.74,,,,,,,,,,,
,,12/30/2017,1.4,,,1.4,,,,,,,,,,,
,,9/30/2017,0.63,,,0.63,,,,,,,,,,,
,,6/29/2017,0.55,,,0.55,,,,,,,,,,,
,,3/30/2017,0.55,,,0.55,,,,,,,,,,,
,,12/30/2016,0.55,,,0.55,,,,,,,,,,,
,,9/30/2016,0.55,,,0.55,,,,,,,,,,,
,,6/29/2016,0.43,,,0.43,,,,,,,,,,,
,,3/30/2016,0.43,,,0.43,,,,,,,,,,,
,,12/30/2015,0.43,,,0.43,,,,,,,,,,,
,,9/30/2015,0.42,,,0.42,,,,,,,,,,,
,,6/29/2015,0.38,,,0.38,,,,,,,,,,,
,,3/30/2015,0.38,,,0.38,,,,,,,,,,,
,,12/30/2014,0.37,,,0.37,,,,,,,,,,,
,,9/30/2014,0.37,,,0.37,,,,,,,,,,,
