CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,1/30/2024,,1.09,11/19/2022,1.09,10/13/2022,1.85,9/11/2022,1.85,8/15/2022,2.04,7/6/2022,3.2,6/4/2022,3.2,5/19/2022,,4/16/2022,1.99,3/12/2022,1.99,2/9/2022,1.7,1/7/2022,1.7,12/5/2021,1.7,12/1/2021,1.7,10/16/2021,1.57,9/12/2021,1.57,8/15/2021,1.57,7/9/2021,1.54,6/4/2021,1.65,5/17/2021,1.65,4/17/2021,1.61,3/13/2021,1.63,2/12/2021,1.63,1/7/2021,1.62,12/7/2020,1.62,11/16/2020,1.62,10/16/2020,1.62,9/19/2020,1.77,8/12/2020,1.73,7/20/2020,1.75,6/10/2020,1.75,5/3/2020
,,10/30/2023,,0.26,,0.26,,1.12,,1.12,,1.27,,2.14,,2.14,,,,1.22,,1.22,,1.16,,1.16,,1.16,,1.16,,1.11,,1.11,,1.11,,1.02,,0.99,,0.99,,1.1,,0.97,,0.97,,0.75,,0.75,,0.75,,0.75,,1,,0.93,,0.73,,0.73,
,,7/30/2023,,0.26,,0.26,,0.46,,0.46,,0.51,,0.84,,0.84,,,,0.85,,0.85,,0.59,,0.59,,0.75,,0.75,,0.66,,0.66,,0.66,,0.77,,0.56,,0.56,,0.55,,0.56,,0.52,,0.5,,0.5,,0.5,,0.5,,0.38,,0.54,,-0.04,,-0.04,
,,4/30/2023,,-0.01,,-0.01,,0.07,,0.07,,0.07,,0.31,,0.31,,,,0.42,,0.42,,0.18,,0.18,,0.18,,0.18,,0.22,,0.22,,0.22,,-0.02,,-0.01,,-0.01,,-0.02,,-0.01,,-0.01,,-0.15,,-0.15,,-0.15,,-0.15,,-0.44,,-0.44,,-0.3,,-0.3,
,,1/30/2023,,1.08,,1.08,,1.86,,1.9,,1.94,,2.47,,2.49,,2.49,4/16/2022,1.99,3/12/2022,1.99,2/9/2022,1.7,1/7/2022,1.7,12/5/2021,1.7,12/1/2021,1.7,10/16/2021,1.57,9/12/2021,1.57,8/15/2021,1.57,7/9/2021,1.54,6/4/2021,1.65,5/17/2021,1.65,4/17/2021,1.61,3/13/2021,1.63,2/12/2021,1.63,1/7/2021,1.62,12/7/2020,1.62,11/16/2020,1.62,10/16/2020,1.62,9/19/2020,1.77,8/12/2020,1.73,7/20/2020,1.75,6/10/2020,1.75,5/3/2020
,,10/30/2022,,0.16,,0.16,,1.13,,1.16,,1.19,,1.52,,1.54,,1.54,,1.22,,1.22,,1.16,,1.16,,1.16,,1.16,,1.11,,1.11,,1.11,,1.02,,0.99,,0.99,,1.1,,0.97,,0.97,,0.75,,0.75,,0.75,,0.75,,1,,0.93,,0.73,,0.73,
,9/8/2022,7/30/2022,0.16,0.16,,0.47,,0.5,,0.68,,0.7,,0.7,,0.85,,0.85,,0.59,,0.59,,0.75,,0.75,,0.66,,0.66,,0.66,,0.77,,0.56,,0.56,,0.55,,0.56,,0.52,,0.5,,0.5,,0.5,,0.5,,0.38,,0.54,,-0.04,,-0.04,,,,,
,6/2/2022,4/30/2022,-0.02,-0.02,,0.07,,0.07,,0.42,,0.42,,0.18,,0.18,,0.18,,0.18,,0.22,,0.22,,0.22,,-0.02,,-0.01,,-0.01,,-0.02,,-0.01,,-0.01,,-0.15,,-0.15,,-0.15,,-0.15,,-0.44,,-0.44,,-0.3,,-0.3,,,,,,,,,,,
,3/10/2022,1/29/2022,1.7,1.7,,1.76,,1.76,,1.6,,1.6,,1.62,,1.58,,1.59,,1.59,,1.65,,1.65,,1.65,4/17/2021,1.61,3/13/2021,1.63,2/12/2021,1.63,1/7/2021,1.62,12/7/2020,1.62,11/16/2020,1.62,10/16/2020,1.62,9/19/2020,1.77,8/12/2020,1.73,7/20/2020,1.75,6/10/2020,1.75,5/3/2020,,,,,,,,,,,,,,,,
,12/2/2021,10/30/2021,1.25,1.25,,1.09,,1.08,,1.04,,1,,1,,1.03,,0.99,,0.99,,1.1,,0.97,,0.97,,0.75,,0.75,,0.75,,0.75,,1,,0.93,,0.73,,0.73,,,,,,,,,,,,,,,,,,,,,,,
,9/9/2021,7/31/2021,0.94,0.94,,0.76,,0.76,,0.59,,0.56,,0.56,,0.55,,0.56,,0.52,,0.5,,0.5,,0.5,,0.5,,0.38,,0.54,,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/3/2021,4/30/2021,1.03,1.03,,-0.01,,-0.01,,-0.02,,-0.01,,-0.01,,-0.15,,-0.15,,-0.15,,-0.15,,-0.44,,-0.44,,-0.3,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/11/2021,1/29/2021,1.68,1.68,,1.63,,1.56,,1.58,,1.58,5/3/2020,1.59,5/3/2020,1.59,5/3/2020,1.51,5/3/2020,1.51,5/3/2020,1.51,5/3/2020,1.47,5/3/2020,1.5,3/22/2020,1.4,2/22/2020,1.4,1/23/2020,1.4,,1.34,,1.21,1.24,1.17,1.24,1.256540541,,,,,,,,,,,,,,,,,,,,,,,,,
,12/3/2020,10/30/2020,1.16,1.16,,0.74,,0.74,,0.77,,0.73,,0.73,,0.73,,0.68,,0.76,,0.79,,0.79,,0.79,,0.76,,0.62,0.66,0.58,0.63,0.606972973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
