CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,
Y,,12/31/2021,0.24,1/16/2021,0.24,1/14/2021,,,,,,,,,
,,9/30/2021,0.28,,0.28,,0.24,,,,,,,,
,,6/30/2021,0.25,,0.25,,0.23,,0.25,,,,,,
,,3/31/2021,0.22,,0.22,,0.21,,0.22,,,,,,
,,12/31/2020,0.25,,0.25,,0.19,,0.2,,0.18,,0.2,,0.19
,10/28/2020,9/30/2020,0.37,,0.21,,0.23,,0.21,,,,,,
,7/29/2020,6/30/2020,0.204480664,,0.17,,0.18,,0.21,,0.22,,0.21,,
,4/27/2020,3/31/2020,0.177094063,,0.19,,0.2,,,,,,,,
,1/29/2020,12/31/2019,0.147834008,,0.16,,0.15,,0.17,,,,,,
,10/30/2019,9/30/2019,0.215053763,,0.18,,,,,,,,,,
,7/31/2019,6/28/2019,0.213624141,,0.18,,0.19,,,,,,,,
,5/6/2019,3/29/2019,0.170616469,,0.17,,0.16,,0.18,,,,,,
,1/30/2019,12/31/2018,0.146201287,,0.13,,0.14,,0.18,,0.17,,0.18,,
,11/1/2018,9/28/2018,0.236193279,,0.17,,0.2,,0.19,,0.21,,,,
,8/1/2018,6/29/2018,0.252760626,,0.22,,0.21,,0.2,,0.21,,,,
,4/30/2018,3/29/2018,0.231247079,,0.22,,0.21,,0.2,,0.21,,,,
,1/31/2018,12/29/2017,0.163415443,,0.16,,0.17,,,,,,,,
,11/1/2017,9/29/2017,0.211568352,,0.18,,0.2,,,,,,,,
,8/2/2017,6/30/2017,0.192745441,,0.18,,0.19,,0.2,,,,,,
,5/1/2017,3/31/2017,0.211746359,,0.18,,0.19,,0.2,,0.19,,,,
,,12/30/2016,0.206598931,,0.15,,0.14,,0.15,,0.16,,0.17,,
,,9/30/2016,0.243830013,,0.18,,0.19,,0.18,,,,,,
,,6/30/2016,0.196264799,,0.18,,0.19,,,,,,,,
,,3/31/2016,0.196139278,,0.15,,0.16,,,,,,,,
,,12/31/2015,0.136709477,,0.14,,0.15,,0.16,,,,,,
,,9/30/2015,0.194250194,,0.16,,0.18,,0.17,,,,,,
,,6/30/2015,0.172333354,,0.16,,0.17,,0.18,,,,,,
,,3/31/2015,0.136739719,,0.15,,0.16,,0.14,,,,,,
,,12/31/2014,0.126845463,,0.14,,0.13,,0.16,,0.15,,0.14,,0.14
,,9/30/2014,0.158696851,,0.15,,0.16,,0.14,,0.15,,,,
,,6/30/2014,0.169039773,,0.15,,0.17,,0.18,,0.17,,0.14,,0.14
,,3/31/2014,0.144119772,,0.14,,0.16,,0.18,,0.16,,0.14,,0.13
,,12/31/2013,0.095003151,,0.12,,0.11,,0.11,,,,,,
,,9/30/2013,0.078391233,,0.11,,0.12,,0.11,,0.11,,,,
,,6/28/2013,0.166558792,,0.11,,0.11,,,,,,,,
,,3/28/2013,0.153871117,,0.1,,0.11,,0.1,,,,,,
,,12/31/2012,0.133284902,,0.1,,0.1,,,,,,,,
,,9/28/2012,0.092796112,,0.1,,0.09,,,,,,,,
,,6/29/2012,0.094481229,,0.09,,,,,,,,,,
,,3/30/2012,0.0875313,,0.07,,,,,,,,,,
,,12/30/2011,0.08584567,,nan,,,,,,,,,,
,,9/30/2011,0.10641749,,nan,,,,,,,,,,
,,6/30/2011,0.086371261,,nan,,,,,,,,,,
,,3/31/2011,0.079193155,,nan,,,,,,,,,,
,,12/31/2010,0.079174334,,nan,,,,,,,,,,
,,9/30/2010,0.095040673,,nan,,,,,,,,,,
,,6/30/2010,0.061861512,,nan,,,,,,,,,,
,,3/31/2010,0.052462899,,nan,,,,,,,,,,
,,12/31/2009,0.037250804,,nan,,,,,,,,,,
,,9/30/2009,0.065211542,,nan,,,,,,,,,,
,,6/30/2009,0.075061877,,nan,,,,,,,,,,
,,3/31/2009,0.044204697,,nan,,,,,,,,,,
,,12/31/2008,0.04,,nan,,,,,,,,,,
,,9/30/2008,0.05,,nan,,,,,,,,,,
,,6/30/2008,0.05,,nan,,,,,,,,,,
,,3/31/2008,0.05,,nan,,,,,,,,,,
,,12/31/2007,0.04,,nan,,,,,,,,,,
,,9/28/2007,0.06,,nan,,,,,,,,,,
,,6/29/2007,0.04,,nan,,,,,,,,,,
,,3/30/2007,0.04,,nan,,,,,,,,,,
,,12/29/2006,0.03,,nan,,,,,,,,,,
,,9/29/2006,0.04,,nan,,,,,,,,,,
,,6/30/2006,0.05,,nan,,,,,,,,,,
,,3/31/2006,0.05,,nan,,,,,,,,,,
,,12/30/2005,0.04,,nan,,,,,,,,,,
,,9/30/2005,0.04,,nan,,,,,,,,,,
,,6/30/2005,0.04,,nan,,,,,,,,,,
,,3/31/2005,-0.02,,nan,,,,,,,,,,
,,12/31/2004,0.03,,nan,,,,,,,,,,
,,9/30/2004,0.03,,nan,,,,,,,,,,
,,6/30/2004,0.03,,nan,,,,,,,,,,
,,3/31/2004,0.03,,nan,,,,,,,,,,
,,12/31/2003,0.05,,nan,,,,,,,,,,
,,9/30/2003,0.02,,nan,,,,,,,,,,
,,6/30/2003,0.02,,nan,,,,,,,,,,
,,3/31/2003,0.02,,nan,,,,,,,,,,
,,12/31/2002,0.01,,nan,,,,,,,,,,
,,9/30/2002,0,,nan,,,,,,,,,,
,,6/28/2002,-0.13,,nan,,,,,,,,,,
,,3/28/2002,-0.02,,nan,,,,,,,,,,
,,12/31/2001,-0.34,,nan,,,,,,,,,,
,,9/28/2001,-0.69,,nan,,,,,,,,,,
,,6/29/2001,-0.17,,nan,,,,,,,,,,
,,3/30/2001,-0.18,,nan,,,,,,,,,,
,,12/29/2000,-0.27,,nan,,,,,,,,,,
,,9/29/2000,-0.21,,nan,,,,,,,,,,
,,6/30/2000,-0.16,,nan,,,,,,,,,,
,,3/31/2000,-0.09,,nan,,,,,,,,,,
,,12/31/1999,-0.07,,nan,,,,,,,,,,
