Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,
12/31/2020,0.38,1/12/2020,0.38,9/14/2019,0.36,,0.36,,0.381754386,,,
9/30/2020,0.3,,0.34,,0.34,,0.34,,0.336842105,,,
6/30/2020,0.34,,0.34,,0.3,,0.3,,0.31,0.314385965,,
3/31/2020,0.3,,0.3,,0.28,,0.28,,0.258245614,,,
12/31/2019,0.31,,0.3,,0.31,,0.31,,0.34,0.33,0.32,
9/30/2019,0.24,,0.27,,0.28,,0.28,,0.3,0.29,0.24,0.23
6/28/2019,0.331216281,,0.25,,0.26,,0.27,0.28,0.27,0.25,0.21,
3/29/2019,0.221657977,,0.23,,0.21,,0.2,0.19,,,,
12/31/2018,0.381519864,,0.25,,0.26,,0.24,,,,,
9/28/2018,0.218148079,,0.21,,0.2,,,,,,,
6/29/2018,-0.040453677,,0.19,,,,,,,,,
3/29/2018,0.074589762,,0.15,,0.14,,,,,,,
12/29/2017,0.302851559,,0.22,,0.25,,0.24,,,,,
9/29/2017,0.074451429,,0.22,,0.2,,,,,,,
6/30/2017,0.075932701,,0.17,,0.19,,0.2,,,,,
3/31/2017,0.016849731,,0.14,,0.16,,,,,,,
12/30/2016,0.128195568,,0.18,,0.19,,0.17,,,,,
9/30/2016,0.159181172,,0.17,,0.16,,0.17,0.15,,,,
6/30/2016,0.101339201,,0.15,,0.14,,0.15,,,,,
3/31/2016,0.053977912,,0.12,,0.13,,,,,,,
12/31/2015,0.100160716,,0.16,,0.15,,0.22,0.25,,,,
9/30/2015,0.078162019,,0.15,,0.2,,0.22,,,,,
6/30/2015,0.060939398,,0.13,,0.19,,0.18,,,,,
3/31/2015,0.039740928,,0.11,,0.16,,0.15,0.15,,,,
12/31/2014,-0.027254409,,0.16,,0.17,,0.34,0.12,,,,
9/30/2014,0.078768715,,0.13,,0.14,,0.26,0.3,0.11,,,
6/30/2014,0.068541979,,0.12,,0.2,,0.28,0.16,,,,
3/31/2014,0.038130437,,0.15,,0.16,,0.23,0.23,,,,
12/31/2013,0.1255546,,0.24,,0.25,,0.29,0.2,,,,
9/30/2013,0.1290612,,0.23,,0.19,,,,,,,
6/28/2013,0.117048403,,0.21,,0.22,,0.17,,,,,
3/28/2013,0.078535564,,0.18,,0.19,,0.14,0.24,,,,
12/31/2012,0.225585805,,0.25,,0.2,,0.14,,,,,
9/28/2012,0.118396737,,0.18,,,,,,,,,
6/29/2012,0.146914013,,0.14,,,,,,,,,
3/30/2012,0.079513638,,0.11,,,,,,,,,
12/30/2011,0.127377383,,nan,,,,,,,,,
9/30/2011,0.165939518,,nan,,,,,,,,,
6/30/2011,0.143254151,,nan,,,,,,,,,
3/31/2011,0.112991229,,nan,,,,,,,,,
12/31/2010,0.14471619,,nan,,,,,,,,,
9/30/2010,0.129270091,,nan,,,,,,,,,
6/30/2010,0.107087873,,nan,,,,,,,,,
3/31/2010,0.089659415,,nan,,,,,,,,,
12/31/2009,0.112535148,,nan,,,,,,,,,
9/30/2009,0.100853281,,nan,,,,,,,,,
6/30/2009,0.080542613,,nan,,,,,,,,,
3/31/2009,0.069901366,,nan,,,,,,,,,
12/31/2008,0.09,,nan,,,,,,,,,
9/30/2008,0.08,,nan,,,,,,,,,
6/30/2008,0.063333333,,nan,,,,,,,,,
3/31/2008,0.04,,nan,,,,,,,,,
12/31/2007,0.05,,nan,,,,,,,,,
9/28/2007,0.053333333,,nan,,,,,,,,,
6/29/2007,0.05,,nan,,,,,,,,,
3/30/2007,0.036666667,,nan,,,,,,,,,
12/29/2006,0.023333333,,nan,,,,,,,,,
9/29/2006,0.01,,nan,,,,,,,,,
6/29/2006,0.023333333,,nan,,,,,,,,,
3/30/2006,0.02,,nan,,,,,,,,,
12/30/2005,0.04,,nan,,,,,,,,,
9/29/2005,0.053333333,,nan,,,,,,,,,
6/29/2005,0.02,,nan,,,,,,,,,
3/30/2005,0.006666667,,nan,,,,,,,,,
12/31/2004,0.08,,nan,,,,,,,,,
9/30/2004,0.023333333,,nan,,,,,,,,,
6/30/2004,0.016666667,,nan,,,,,,,,,
3/31/2004,-0.003333333,,nan,,,,,,,,,
12/31/2003,0.04,,nan,,,,,,,,,
9/30/2003,0.02,,nan,,,,,,,,,
6/30/2003,-0.016666667,,nan,,,,,,,,,
3/31/2003,-0.006666667,,nan,,,,,,,,,
12/31/2002,0.003333333,,nan,,,,,,,,,
9/30/2002,0.006666667,,nan,,,,,,,,,
6/28/2002,0.02,,nan,,,,,,,,,
3/28/2002,-0.013333333,,nan,,,,,,,,,
12/31/2001,-0.173333333,,nan,,,,,,,,,
9/28/2001,-0.093333333,,nan,,,,,,,,,
6/29/2001,-0.103333333,,nan,,,,,,,,,
