CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2026,,0.24,7/25/2025,0.24,7/10/2025,0.24,6/2/2025,0.24,4/26/2025,0.23,3/29/2025,0.24,2/15/2025,0.22,1/2/2025,0.22,11/30/2024,0.22,10/25/2024,0.22,9/8/2024,0.22,7/27/2024,0.22,6/15/2024,0.22,4/27/2024,0.21,4/5/2024,0.21,2/17/2024,0.18,1/14/2024,0.18,12/6/2023,0.18,10/28/2023,0.2,10/7/2023,0.19,8/30/2023,0.19,7/27/2023,0.19,6/19/2023,0.19,5/8/2023,,3/24/2023,0.17,2/16/2023,0.18,1/27/2023,0.19,12/24/2022,0.19,11/22/2022,0.2,10/22/2022,0.21,9/26/2022,0.21,8/26/2022,0.22,7/23/2022,0.22,6/24/2022,0.22,5/21/2022,0.22,4/21/2022,0.22,3/12/2022,,2/9/2022,0.25,1/29/2022,0.25,12/28/2021,0.25,11/23/2021,0.25,10/22/2021,0.32,9/24/2021,0.32,8/26/2021,0.33,7/25/2021,0.33,7/13/2021,0.33,6/14/2021,0.33,5/19/2021,0.33,4/21/2021,0.33,3/13/2021
,,9/30/2026,,0.22,,0.21,,0.21,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.22,,0.22,,0.21,,0.21,,0.2,,0.2,,0.18,,0.18,,0.18,,0.2,,0.19,,0.19,,0.19,,0.19,,,,0.17,,0.17,,0.17,,0.17,,0.19,,0.2,,0.2,,0.21,,0.22,,0.22,,0.22,,0.22,,,,0.24,,0.24,,0.24,,0.24,,0.31,,0.31,,0.32,,0.32,,0.32,,0.32,,0.32,,0.32,
,,6/30/2026,,0.23,,0.22,,0.22,,0.21,,0.21,,0.22,,0.21,,0.21,,0.21,,0.22,,0.22,,0.21,,0.21,,0.19,,0.2,,0.17,,0.17,,0.17,,0.18,,0.18,,0.18,,0.19,,0.19,,,,0.16,,0.16,,0.16,,0.16,,0.17,,0.19,,0.19,,0.2,,0.21,,0.21,,0.21,,0.21,,,,0.21,,0.21,,0.21,,0.21,,0.3,,0.3,,0.32,,0.32,,0.32,,0.32,,0.31,,0.31,
,,3/30/2026,,0.23,,0.23,,0.23,,0.21,,0.21,,0.22,,0.21,,0.21,,0.21,,0.22,,0.22,,0.22,,0.22,,0.19,,0.19,,0.17,,0.17,,0.17,,0.18,,0.17,,0.18,,0.19,,0.19,,,,0.14,,0.14,,0.14,,0.15,,0.15,,0.18,,0.18,,0.19,,0.2,,0.2,,0.2,,0.2,,,,0.18,,0.18,,0.18,,0.18,,0.29,,0.29,,0.31,,0.31,,0.31,,0.31,,0.3,,0.3,
,,12/31/2025,,0.21,1/2/2025,0.22,1/2/2025,0.22,1/2/2025,0.22,1/2/2025,0.2,1/2/2025,0.21,1/2/2025,0.22,1/2/2025,0.22,11/30/2024,0.22,10/25/2024,0.22,9/8/2024,0.22,7/27/2024,0.22,6/15/2024,0.22,4/27/2024,0.21,4/5/2024,0.21,2/17/2024,0.18,1/14/2024,0.18,12/6/2023,0.18,10/28/2023,0.2,10/7/2023,0.19,8/30/2023,0.19,7/27/2023,0.19,6/19/2023,0.19,5/8/2023,,3/24/2023,0.17,2/16/2023,0.18,1/27/2023,0.19,12/24/2022,0.19,11/22/2022,0.2,10/22/2022,0.21,9/26/2022,0.21,8/26/2022,0.22,7/23/2022,0.22,6/24/2022,0.22,5/21/2022,0.22,4/21/2022,0.22,3/12/2022,,2/9/2022,0.25,1/29/2022,0.25,12/28/2021,0.25,11/23/2021,0.25,10/22/2021,0.32,9/24/2021,0.32,8/26/2021,0.33,7/25/2021,0.33,7/13/2021,0.33,6/14/2021,0.33,5/19/2021,0.33,4/21/2021,0.33,3/13/2021
,,9/30/2025,,0.19,,0.19,,0.19,,0.19,,0.18,,0.18,,0.2,,0.2,,0.2,,0.22,,0.22,,0.21,,0.21,,0.2,,0.2,,0.18,,0.18,,0.18,,0.2,,0.19,,0.19,,0.19,,0.19,,,,0.17,,0.17,,0.17,,0.17,,0.19,,0.2,,0.2,,0.21,,0.22,,0.22,,0.22,,0.22,,,,0.24,,0.24,,0.24,,0.24,,0.31,,0.31,,0.32,,0.32,,0.32,,0.32,,0.32,,0.32,
,7/23/2025,6/30/2025,-0.44,0.21,,0.2,,0.2,,0.2,,0.18,,0.19,,0.21,,0.21,,0.21,,0.22,,0.22,,0.21,,0.21,,0.19,,0.2,,0.17,,0.17,,0.17,,0.18,,0.18,,0.18,,0.19,,0.19,,,,0.16,,0.16,,0.16,,0.16,,0.17,,0.19,,0.19,,0.2,,0.21,,0.21,,0.21,,0.21,,,,0.21,,0.21,,0.21,,0.21,,0.3,,0.3,,0.32,,0.32,,0.32,,0.32,,0.31,,0.31,
,4/23/2025,3/30/2025,0.23,0.23,,0.17,,0.18,,0.21,,0.21,,0.21,,0.22,,0.22,,0.22,,0.22,,0.19,,0.19,,0.17,,0.17,,0.17,,0.18,,0.17,,0.18,,0.19,,0.19,,,,0.14,,0.14,,0.14,,0.15,,0.15,,0.18,,0.18,,0.19,,0.2,,0.2,,0.2,,0.2,,,,0.18,,0.18,,0.18,,0.18,,0.29,,0.29,,0.31,,0.31,,0.31,,0.31,,0.3,,0.3,,,,,,,
,2/12/2025,12/31/2024,0.16,0.16,4/5/2024,0.2,4/5/2024,0.2,4/5/2024,0.2,4/5/2024,0.21,4/5/2024,0.21,4/5/2024,0.21,4/5/2024,0.21,4/5/2024,0.21,4/5/2024,0.21,2/17/2024,0.18,1/14/2024,0.18,12/6/2023,0.18,10/28/2023,0.2,10/7/2023,0.19,8/30/2023,0.19,7/27/2023,0.19,6/19/2023,0.19,5/8/2023,,3/24/2023,0.17,2/16/2023,0.18,1/27/2023,0.19,12/24/2022,0.19,11/22/2022,0.2,10/22/2022,0.21,9/26/2022,0.21,8/26/2022,0.22,7/23/2022,0.22,6/24/2022,0.22,5/21/2022,0.22,4/21/2022,0.22,3/12/2022,,2/9/2022,0.25,1/29/2022,0.25,12/28/2021,0.25,11/23/2021,0.25,10/22/2021,0.32,9/24/2021,0.32,8/26/2021,0.33,7/25/2021,0.33,7/13/2021,0.33,6/14/2021,0.33,5/19/2021,0.33,4/21/2021,0.33,3/13/2021,,,,,,,,,,
,10/23/2024,9/30/2024,0.19,0.19,,0.2,,0.2,,0.2,,0.2,,0.2,,0.2,,0.18,,0.18,,0.18,,0.2,,0.19,,0.19,,0.19,,0.19,,,,0.17,,0.17,,0.17,,0.17,,0.19,,0.2,,0.2,,0.21,,0.22,,0.22,,0.22,,0.22,,,,0.24,,0.24,,0.24,,0.24,,0.31,,0.31,,0.32,,0.32,,0.32,,0.32,,0.32,,0.32,,,,,,,,,,,,,,,,,
