CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,11/30/2025,,0.15,5/17/2024,0.13,3/30/2024,0.06,3/16/2024,0.06,2/1/2024,0.05,12/30/2023,0.01,11/7/2023,-0.03,9/30/2023,-0.03,8/13/2023,-0.03,7/6/2023,-0.08,5/15/2023,-0.09,4/1/2023,,3/3/2023,-0.12,1/27/2023,-0.11,12/24/2022,-0.01,11/7/2022,-0.02,10/1/2022,0.01,9/1/2022,0.06,7/29/2022,0.22,6/26/2022,0.23,5/31/2022,0.21,4/29/2022,0.26,3/26/2022,0.26,2/28/2022,,1/21/2022,0.11,12/21/2021,0.18,11/21/2021,0.06,10/16/2021,0.14,9/16/2021,0.14,8/15/2021,0.14,7/11/2021,0.12,6/11/2021,0.18,5/11/2021,0.12,4/9/2021,0.12,3/21/2021
,,8/30/2025,,1.26,,1.24,,1.08,,1.08,,1.06,,1.01,,1.05,,1.06,,1.05,,1.05,,1.09,,,,0.89,,0.9,,1,,0.96,,1.04,,1.18,,1.1,,1.1,,1.13,,1.07,,1.07,,,,0.74,,0.86,,0.9,,0.9,,0.9,,0.91,,0.84,,0.8,,0.72,,0.72,
,,5/30/2025,,0.13,,0.13,,0.01,,0.01,,0.02,,0.03,,-0.03,,-0.03,,-0.03,,-0.04,,-0.01,,,,-0.28,,-0.26,,-0.12,,-0.03,,0.01,,0.02,,0.12,,0.13,,0.19,,0.28,,0.28,,,,-0.5,,-0.23,,-0.18,,0.02,,0.07,,0.04,,-0.01,,0.01,,-0.01,,-0.01,
,,2/28/2025,,-0.06,,-0.06,,-0.18,,-0.18,,-0.19,,-0.1,,-0.14,,-0.12,,-0.12,,-0.11,,-0.12,,,,-0.6,,-0.57,,-0.36,,-0.21,,-0.19,,-0.2,,-0.01,,0.01,,0.06,,0.21,,0.21,,,,-0.99,,-0.73,,-0.67,,-0.4,,-0.34,,-0.21,,-0.23,,-0.21,,-0.26,,-0.26,
,,11/30/2024,,0.04,3/16/2024,0.03,3/16/2024,0.06,3/16/2024,0.06,2/1/2024,0.05,12/30/2023,0.01,11/7/2023,-0.03,9/30/2023,-0.03,8/13/2023,-0.03,7/6/2023,-0.08,5/15/2023,-0.09,4/1/2023,,3/3/2023,-0.12,1/27/2023,-0.11,12/24/2022,-0.01,11/7/2022,-0.02,10/1/2022,0.01,9/1/2022,0.06,7/29/2022,0.22,6/26/2022,0.23,5/31/2022,0.21,4/29/2022,0.26,3/26/2022,0.26,2/28/2022,,1/21/2022,0.11,12/21/2021,0.18,11/21/2021,0.06,10/16/2021,0.14,9/16/2021,0.14,8/15/2021,0.14,7/11/2021,0.12,6/11/2021,0.18,5/11/2021,0.12,4/9/2021,0.12,3/21/2021
,,8/30/2024,,1.1,,1.09,,1.08,,1.08,,1.06,,1.01,,1.05,,1.06,,1.05,,1.05,,1.09,,,,0.89,,0.9,,1,,0.96,,1.04,,1.18,,1.1,,1.1,,1.13,,1.07,,1.07,,,,0.74,,0.86,,0.9,,0.9,,0.9,,0.91,,0.84,,0.8,,0.72,,0.72,
,,5/30/2024,,-0.02,,-0.01,,0.01,,0.01,,0.02,,0.03,,-0.03,,-0.03,,-0.03,,-0.04,,-0.01,,,,-0.28,,-0.26,,-0.12,,-0.03,,0.01,,0.02,,0.12,,0.13,,0.19,,0.28,,0.28,,,,-0.5,,-0.23,,-0.18,,0.02,,0.07,,0.04,,-0.01,,0.01,,-0.01,,-0.01,
,3/27/2024,2/28/2024,-0.17,-0.14,,-0.18,,-0.18,,-0.19,,-0.1,,-0.14,,-0.12,,-0.12,,-0.11,,-0.12,,,,-0.6,,-0.57,,-0.36,,-0.21,,-0.19,,-0.2,,-0.01,,0.01,,0.06,,0.21,,0.21,,,,-0.99,,-0.73,,-0.67,,-0.4,,-0.34,,-0.21,,-0.23,,-0.21,,-0.26,,-0.26,,,
,12/21/2023,11/30/2023,-0.04,-0.07,,-0.14,,-0.11,,-0.09,,-0.08,,-0.16,,-0.15,,-0.13,,-0.12,,-0.11,12/24/2022,-0.01,11/7/2022,-0.02,10/1/2022,0.01,9/1/2022,0.06,7/29/2022,0.22,6/26/2022,0.23,5/31/2022,0.21,4/29/2022,0.26,3/26/2022,0.26,2/28/2022,,1/21/2022,0.11,12/21/2021,0.18,11/21/2021,0.06,10/16/2021,0.14,9/16/2021,0.14,8/15/2021,0.14,7/11/2021,0.12,6/11/2021,0.18,5/11/2021,0.12,4/9/2021,0.12,3/21/2021,,,,,,,,
,9/29/2023,8/30/2023,0.79,0.86,,0.77,,0.76,,0.77,,0.79,,0.89,,0.89,,0.9,,1,,0.96,,1.04,,1.18,,1.1,,1.1,,1.13,,1.07,,1.07,,,,0.74,,0.86,,0.9,,0.9,,0.9,,0.91,,0.84,,0.8,,0.72,,0.72,,,,,,,,,,,,,
