Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,12/31/2020,0.46,0.46,0.47,0.45073170700000004,,,,,,
,9/30/2020,0.45,0.45,0.46,0.44,,,,,,
,6/30/2020,0.45,0.45,0.45073170700000004,,,,,,,
,3/31/2020,0.43,0.43,0.44,0.418536585,,,,,,
,12/31/2019,0.43,0.43,0.42,0.41,0.4,0.39,,,,
,9/30/2019,0.42,0.42,0.41,0.4,0.39,0.38,,,,
,6/28/2019,0.457627794,0.42,0.41,0.39,0.38,,,,,
,3/29/2019,0.41550494200000004,0.39,0.37,0.36,,,,,,
,12/31/2018,0.425930785,0.39,0.37,0.35,0.36,0.37,0.38,0.35,0.3,0.29
,9/28/2018,0.502271127,0.36,0.35,0.37,0.34,0.29,0.28,,,
,6/29/2018,0.492129983,0.36,0.35,0.36,0.37,0.34,0.28,,,
,3/29/2018,0.378491784,0.35,0.36,0.33,0.28,,,,,
,12/29/2017,0.073333656,0.28,0.27,0.26,0.25,,,,,
,9/29/2017,0.306906136,0.26,0.25,,,,,,,
,6/30/2017,0.300712348,0.25,0.24,,,,,,,
,3/31/2017,0.22328091,0.24,,,,,,,,
,12/30/2016,0.266958908,0.22,0.21,,,,,,,
,9/30/2016,0.14435414400000002,0.17,,,,,,,,
,6/30/2016,0.261550772,0.2,,,,,,,,
,3/31/2016,0.171203042,0.22,,,,,,,,
,12/31/2015,0.241851142,0.26,,,,,,,,
,9/30/2015,1.7806689619999998,0.21,,,,,,,,
,6/30/2015,0.276446222,0.23,,,,,,,,
,3/31/2015,0.319537043,0.21,,,,,,,,
,12/31/2014,0.187018479,0.15,,,,,,,,
,9/30/2014,0.174132445,0.1,,,,,,,,
,6/30/2014,0.117468517,0.14,,,,,,,,
,3/31/2014,0.152550946,0.1,,,,,,,,
,12/31/2013,-0.01,-0.03,,,,,,,,
,9/30/2013,0.04,-0.13,,,,,,,,
,6/28/2013,0.04,-0.15,,,,,,,,
,3/28/2013,-0.31,-0.14,,,,,,,,
,12/31/2012,-1.91,,,,,,,,,
,9/28/2012,-1.22,,,,,,,,,
,6/29/2012,-1.36,,,,,,,,,
,3/30/2012,-0.1,,,,,,,,,
,12/30/2011,-0.68,,,,,,,,,
,9/30/2011,-0.82,,,,,,,,,
,6/30/2011,-0.75,,,,,,,,,
,3/31/2011,-0.17,,,,,,,,,
,12/31/2010,-0.96,,,,,,,,,
,9/30/2010,-0.26,,,,,,,,,
,6/30/2010,0.13,,,,,,,,,
,3/31/2010,-1.2,,,,,,,,,
,12/31/2009,-2.28,,,,,,,,,
,9/30/2009,-4.17,,,,,,,,,
,6/30/2009,-2.74,,,,,,,,,
,3/31/2009,-1.49,,,,,,,,,
,12/31/2008,-2.17,,,,,,,,,
,9/30/2008,-0.91,,,,,,,,,
,6/30/2008,-0.79,,,,,,,,,
,3/31/2008,-0.41,,,,,,,,,
,12/31/2007,-17.99,,,,,,,,,
,9/28/2007,-4.61,,,,,,,,,
,6/29/2007,0.93,,,,,,,,,
,3/30/2007,1.12,,,,,,,,,
,12/29/2006,1.34,,,,,,,,,
,9/29/2006,1.55,,,,,,,,,
,6/30/2006,1.74,,,,,,,,,
,3/31/2006,1.87,,,,,,,,,
,12/30/2005,1.12,,,,,,,,,
,9/30/2005,1.55,,,,,,,,,
,6/30/2005,1.87,,,,,,,,,
,3/31/2005,1.9,,,,,,,,,
,12/31/2004,1.27,,,,,,,,,
,9/30/2004,1.36,,,,,,,,,
,6/30/2004,1.56,,,,,,,,,
,3/31/2004,1.31,,,,,,,,,
,12/31/2003,1.05,,,,,,,,,
,9/30/2003,1.06,,,,,,,,,
,6/30/2003,1.46,,,,,,,,,
,3/31/2003,1.42,,,,,,,,,
,12/31/2002,1.18,,,,,,,,,
,9/30/2002,1.47,,,,,,,,,
,6/28/2002,1.61,,,,,,,,,
,3/28/2002,1.58,,,,,,,,,
,12/31/2001,1.47,,,,,,,,,
,9/28/2001,1.47,,,,,,,,,
,6/29/2001,1.49,,,,,,,,,
,3/30/2001,1.46,,,,,,,,,
,12/29/2000,1.26,,,,,,,,,
,9/29/2000,1.36,,,,,,,,,
,6/30/2000,1.27,,,,,,,,,
,3/31/2000,1.19,,,,,,,,,
,12/31/1999,1.2,,,,,,,,,
,9/30/1999,1.11,,,,,,,,,
,6/30/1999,1.02,,,,,,,,,
,3/31/1999,0.91,,,,,,,,,
,12/31/1998,0.83,,,,,,,,,
,9/30/1998,0.86,,,,,,,,,
,6/30/1998,0.82,,,,,,,,,
,3/31/1998,0.81,,,,,,,,,
,12/31/1997,0.73,,,,,,,,,
,9/30/1997,0.72,,,,,,,,,
,6/30/1997,0.67,,,,,,,,,
,3/31/1997,0.605,,,,,,,,,
,12/31/1996,0.6,,,,,,,,,
,9/30/1996,0.555,,,,,,,,,
,6/28/1996,0.525,,,,,,,,,
