CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,12/31/2024,,3.21,5/7/2023,,4/4/2023,2.88,2/23/2023,2.95,1/22/2023,2.93,12/15/2022,3.01,11/5/2022,3,9/17/2022,2.89,8/14/2022,2.9,7/14/2022,2.9,6/12/2022,2.9,5/11/2022,2.9,5/4/2022,,3/26/2022,2.47,2/23/2022,2.3,2/22/2022,2.29,,2.07
,,9/30/2024,,3.21,,,,3.09,,3.05,,3.05,,3.05,,3.01,,2.93,,2.9,,2.92,,2.92,,2.92,,,,2.51,,2.37,,2.27,,2.06
,,6/30/2024,,3.11,,,,2.94,,2.89,,2.9,,2.97,,2.88,,2.82,,2.8,,2.82,,2.82,,2.82,,,,2.37,,2.26,,2.18,,2.02
,,3/30/2024,,2.85,,,,2.63,,2.62,,2.65,,2.73,,2.65,,2.62,,2.65,,2.63,,2.67,,2.67,,,,2.21,,2.15,,2.04,,1.93
,,12/31/2023,,2.93,4/4/2023,2.91,4/4/2023,2.88,2/23/2023,2.95,1/22/2023,2.93,12/15/2022,3.01,11/5/2022,3,9/17/2022,2.89,8/14/2022,2.9,7/14/2022,2.9,6/12/2022,2.9,5/11/2022,2.9,5/4/2022,,3/26/2022,2.47,2/23/2022,2.3,2/22/2022,2.29,,2.07
,,9/30/2023,,2.93,,2.93,,3.09,,3.05,,3.05,,3.05,,3.01,,2.93,,2.9,,2.92,,2.92,,2.92,,,,2.51,,2.37,,2.27,,2.06
,,6/30/2023,,2.89,,2.9,,2.94,,2.89,,2.9,,2.97,,2.88,,2.82,,2.8,,2.82,,2.82,,2.82,,,,2.37,,2.26,,2.18,,2.02
,5/3/2023,3/30/2023,2.65,2.65,,2.69,,2.63,,2.62,,2.65,,2.73,,2.65,,2.62,,2.65,,2.63,,2.67,,2.67,,,,2.21,,2.15,,2.04,,1.93
,2/21/2023,12/30/2022,2.06,2.06,,2.66,,2.65,,2.7,,2.67,,2.64,,2.65,,2.67,,2.73,,2.73,,2.69,,2.47,2/23/2022,2.3,2/22/2022,2.29,,2.07,,,,
,11/1/2022,9/30/2022,15.38,15.38,,2.68,,2.65,,2.64,,2.65,,2.67,,2.67,,2.68,,2.51,,2.37,,2.27,,2.06,,,,,,,,,,
,8/4/2022,6/30/2022,3.42,3.42,,2.53,,2.55,,2.55,,2.55,,2.56,,2.37,,2.26,,2.18,,2.02,,,,,,,,,,,,,,
,5/3/2022,3/31/2022,2.63,2.63,,2.32,,2.32,,2.21,,2.15,,2.04,,1.93,,,,,,,,,,,,,,,,,,,,
,2/22/2022,12/31/2021,3.17,3.17,,2.1,,2.08,,1.97,,1.98,,,,,,,,,,,,,,,,,,,,,,,,
,11/1/2021,9/30/2021,2.515994903,2.52,,2.13,,2.09,,1.93,,1.82,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2021,6/30/2021,1.972121426,1.97,,1.87,,1.84,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/28/2021,3/31/2021,2.206588881,2.21,,1.77,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/24/2021,12/31/2020,1.672112573,1.67,,1.94,,1.92,,1.97,,2.05,,2.06,,1.99,,,,,,,,,,,,,,,,,,,,
,11/4/2020,9/30/2020,1.413878804,1.41,,1.69,,1.74,,1.83,,1.95,,1.94,,,,,,,,,,,,,,,,,,,,,,
,8/5/2020,6/30/2020,1.409709294,1.41,,1.62,,1.6,,1.7,,1.88,,1.89,,,,,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,1.793077381,1.79,,1.71,,1.77,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/25/2020,12/31/2019,1.874677817,1.87,,2.01,,2.02,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/29/2019,9/30/2019,1.93207759,1.93,,1.91,,1.9,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/2019,6/28/2019,1.756420104,1.76,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/1/2019,3/29/2019,1.730415883,1.73,,1.72,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/26/2019,12/31/2018,3.041371911,2.17,,2.11,,2.03,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/30/2018,9/28/2018,1.850775461,1.85,,1.85,,1.87,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/1/2018,6/29/2018,1.999150519,2,,1.83,,1.81,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/25/2018,3/29/2018,1.652726417,1.65,,1.67,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,1.917597493,,,1.98,,2.05,,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,1.605354683,,,1.88,,1.89,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,1.58035699,,,1.8,,1.81,,1.8,,1.9,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,1.615054949,,,1.65,,1.74,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,2.029848342,,,1.89,,1.88,,1.93,,1.92,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,1.777167411,,,1.77,,1.8,,1.78,,1.67,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,1.613649425,,,1.67,,1.68,,1.67,,1.48,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,1.388179465,,,1.48,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,1.743811831,,,1.71,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,1.576151537,,,1.53,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,1.52217871,,,1.41,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,1.226382336,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,1.638925764,,,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,1.337620597,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,1.260831154,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,1.007192912,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,1.410600817,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,1.338948916,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,1.202945895,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.938683237,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,1.218400763,,,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,1.1791788,,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.771409419,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.731225389,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.9582,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.6905,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.7718,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.869,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.71,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,1.08,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.36,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.21,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.7,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,1.03,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.79,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.95,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.720528341,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.423938064,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.403480552,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,2.632398717,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.600850143,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.511961666,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.084793758,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,-0.025728451,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,-0.475568279,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,-0.041840054,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.551130464,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.49,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.51,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.62,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.47,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.38,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.46,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.38,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.37,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.17,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.3,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.39,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.33,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.26,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
