CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2023,,0.38,12/11/2022,0.37,11/4/2022,0.37,10/19/2022,0.4,9/15/2022,0.4,8/13/2022,0.41,7/15/2022,0.41,6/14/2022,0.41,5/12/2022,,4/22/2022,0.48,3/20/2022,0.42,2/19/2022,0.4,1/17/2022,0.4,12/11/2021,0.43,11/6/2021,0.49,10/18/2021,0.49,9/16/2021,0.48,8/11/2021,0.48,7/6/2021,0.48,5/31/2021,0.48,5/30/2021,,,,,,,,
,,9/30/2023,,0.35,,0.35,,0.35,,0.37,,0.37,,0.38,,0.38,,0.38,,,,0.37,,0.36,,0.35,,0.35,,0.39,,0.44,,0.44,,0.43,,0.42,,0.42,,0.42,,,,,,,,,
,,6/30/2023,,0.28,,0.28,,0.29,,0.3,,0.3,,0.31,,0.31,,0.31,,,,0.24,,0.26,,0.27,,0.27,,0.34,,0.42,,0.42,,0.41,,0.38,,0.38,,0.38,,,,,,,,,
,,3/30/2023,,0.22,,0.22,,0.22,,0.23,,0.23,,0.24,,0.25,,0.25,,,,0.14,,0.2,,0.21,,0.21,,0.28,,0.38,,0.38,,0.37,,0.34,,0.34,,0.34,,,,,,,,,
,,12/31/2022,,0.25,,0.28,,0.28,,0.28,,0.28,,0.25,,0.25,,0.25,,0.4,,0.48,3/20/2022,0.42,2/19/2022,0.4,1/17/2022,0.4,12/11/2021,0.43,11/6/2021,0.49,10/18/2021,0.49,9/16/2021,0.48,8/11/2021,0.48,7/6/2021,0.48,5/31/2021,0.48,5/30/2021,,,,,,,,
,11/3/2022,9/30/2022,0.34,0.4,,0.19,,0.19,,0.19,,0.17,,0.17,,0.17,,0.3,,0.37,,0.36,,0.35,,0.35,,0.39,,0.44,,0.44,,0.43,,0.42,,0.42,,0.42,,,,,,,,,,,
,8/4/2022,6/30/2022,0.08,0.18,,0.06,,0.06,,0.06,,0.16,,0.24,,0.26,,0.27,,0.27,,0.34,,0.42,,0.42,,0.41,,0.38,,0.38,,0.38,,,,,,,,,,,,,,,,,
,5/5/2022,3/31/2022,-0.06,0.01,,0.02,,0.14,,0.2,,0.21,,0.21,,0.28,,0.38,,0.38,,0.37,,0.34,,0.34,,0.34,,,,,,,,,,,,,,,,,,,,,,,
,2/17/2022,12/31/2021,0.05,0.16,,0.15,,0.15,,0.22,,0.33,,0.33,,0.33,,0.35,,0.34,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,4.91,4/20/2020,4.91,11/20/2019
,11/4/2021,9/30/2021,0.16,0.23,,0.34,,0.34,,0.33,,0.34,,0.34,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,,3.06,,,,,,,
,8/9/2021,6/30/2021,0.4,0.23,,0.33,,0.33,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,2.77,,2.77,,,,,,,,,,,,,
,5/6/2021,3/31/2021,0.7,0.41,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/18/2021,12/31/2020,0.38,0.38,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/5/2020,9/30/2020,0.21,0.29,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/11/2020,6/30/2020,0.13,0.16,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/12/2020,3/31/2020,-0.03,0.05,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/10/2020,12/31/2019,0.36,0.09,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/7/2019,9/30/2019,0.08,0.15,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/8/2019,6/28/2019,-1.47,0.15,,-1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.14,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,-0.19,,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,0.17,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.17,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.17,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.16,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
