Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,12/31/2021,0.44,4/16/2020,0.44,3/14/2020,,,,,,,,,,,,,,,,,
,9/30/2021,0.44,,0.44,,,,,,,,,,,,,,,,,,
,6/30/2021,0.39,,0.39,,,,,,,,,,,,,,,,,,
,3/31/2021,0.28,,0.28,,,,,,,,,,,,,,,,,,
,12/31/2020,0.41,3/14/2020,0.44,3/14/2020,0.45,3/8/2020,0.45,,0.4,,0.46,,0.42,,,,,,,,
,9/30/2020,0.39,,0.46,,0.46,,0.46,,0.45,,0.47,,0.46,,,,,,,,
,6/30/2020,0.36,,0.44,,0.42,,0.42,,0.38,,0.47,,,,,,,,,,
4/16/2020,3/31/2020,0.41,,0.4,,0.4,,0.4,,0.39,,0.41,,0.38,,,,,,,,
2/5/2020,12/31/2019,0.42,,0.43,,0.39,,0.45,,0.41,,0.4,,0.38,,0.37,,,,,,
10/17/2019,9/30/2019,0.44,,0.43,,0.42,,0.44,,0.45,,0.44,,0.42,,0.41,,,,,,
7/18/2019,6/28/2019,0.388819033,,0.44,,0.37,,0.44,,0.47,,0.45,,0.43,,,,,,,,
4/17/2019,3/29/2019,0.37019526,,0.37,,0.36,,0.37,,0.38,,0.37,,0.36,,0.4,,,,,,
2/5/2019,12/31/2018,0.385174678,,0.36,,0.38,,0.36,,0.29,,0.3,,0.32,,,,,,,,
10/17/2018,9/28/2018,0.097646483,,0.41,,0.38,,0.36,,0.37,,0.34,,,,,,,,,,
7/18/2018,6/29/2018,0.211234903,,0.39,,0.4,,0.37,,,,,,,,,,,,,,
4/17/2018,3/29/2018,0.258867516,,0.37,,0.33,,0.34,,0.33,,,,,,,,,,,,
2/5/2018,12/29/2017,0.248195717,,0.24,,0.26,,0.29,,0.28,,0.25,,0.325,,0.295,,,,,,
10/16/2017,9/29/2017,0.273885118,,0.35,,0.33,,0.34,,0.33,,0.36,,0.375,,0.385,,,,,,
7/20/2017,6/30/2017,0.364769594,,0.35,,0.36,,0.41,,0.36,,0.365,,0.29,,,,,,,,
4/19/2017,3/31/2017,0.300828859,,0.26,,0.28,,0.29,,0.315,,0.305,,0.245,,0.25,,,,,,
,12/30/2016,0.210231076,,0.25,,0.24,,0.25,,0.26,,0.255,,0.29,,0.33,,,,,,
,9/30/2016,0.302537794,,0.33,,0.325,,0.33,,0.335,,0.345,,0.385,,,,,,,,
,6/30/2016,0.32356433,,0.325,,0.32,,0.325,,0.33,,0.35,,,,,,,,,,
,3/31/2016,0.275542287,,0.205,,0.2,,0.195,,,,,,,,,,,,,,
,12/31/2015,0.189537044,,0.23,,0.24,,0.255,,0.265,,0.27,,0.275,,0.27,,,,,,
,9/30/2015,0.287999526,,0.315,,0.395,,0.405,,0.4,,0.385,,0.39,,0.385,,,,,,
,6/30/2015,0.273518469,,0.365,,0.36,,0.37,,0.365,,0.37,,0.345,,0.34,,,,,,
,3/31/2015,0.14669945,,0.21,,0.215,,0.245,,0.235,,0.24,,,,,,,,,,
,12/31/2014,0.20846421,,0.215,,0.22,,0.25,,0.245,,0.25,,0.245,,0.25,,0.255,,0.265,,0.34
,9/30/2014,0.355812479,,0.35,,0.345,,0.35,,0.335,,0.34,,0.295,,,,,,,,
,6/30/2014,0.306737087,,0.29,,0.305,,0.31,,0.315,,0.22,,,,,,,,,,
,3/31/2014,0.161616759,,0.205,,0.2,,0.19,,0.2,,0.225,,0.23,,0.215,,,,,,
,12/31/2013,0.220540842,,0.215,,0.22,,0.235,,0.305,,,,,,,,,,,,
,9/30/2013,0.313184951,,0.305,,0.32,,0.33,,0.275,,,,,,,,,,,,
,6/28/2013,0.217621802,,0.265,,0.285,,0.315,,0.305,,0.24,,,,,,,,,,
