CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusted,,12/31/2023,,0.49,1/2/2023,0.48,11/30/2022,0.48,10/29/2022,0.48,10/5/2022,0.48,9/2/2022,0.49,7/30/2022,0.49,6/24/2022,0.49,5/21/2022,0.49,4/26/2022,,4/1/2022,0.45,2/28/2022,0.44,1/26/2022,0.44,1/2/2022,0.44,12/1/2021,0.43,10/26/2021,0.43,9/29/2021,0.42,8/29/2021,0.41,7/26/2021,0.41,6/23/2021,0.41,5/25/2021,0.41,4/26/2021,0.37,3/26/2021,0.37,2/28/2021,0.35,1/26/2021,0.34,1/9/2021,0.34,1/8/2021
,,9/30/2023,,0.61,,0.62,,0.63,,0.67,,0.67,,0.67,,0.69,,0.69,,0.69,,,,0.61,,0.61,,0.6,,0.6,,0.56,,0.56,,0.57,,0.55,,0.55,,0.55,,0.55,,0.5,,0.5,,0.48,,0.48,,0.48,
,,6/30/2023,,0.57,,0.57,,0.57,,0.58,,0.58,,0.58,,0.57,,0.57,,0.57,,,,0.54,,0.53,,0.52,,0.52,,0.51,,0.51,,0.5,,0.45,,0.45,,0.45,,0.45,,0.39,,0.39,,0.37,,0.37,,0.37,
,,3/30/2023,,0.83,,0.83,,0.83,,0.84,,0.84,,0.84,,0.86,,0.86,,0.86,,,,0.74,,0.74,,0.74,,0.73,,0.71,,0.71,,0.72,,0.7,,0.71,,0.71,,0.71,,0.56,,0.56,,0.54,,0.53,,0.53,
,,12/31/2022,,0.46,,0.46,,0.46,,0.43,,0.43,,0.44,,0.44,,0.44,,0.44,,0.44,,0.45,2/28/2022,0.44,1/26/2022,0.44,1/2/2022,0.44,12/1/2021,0.43,10/26/2021,0.43,9/29/2021,0.42,8/29/2021,0.41,7/26/2021,0.41,6/23/2021,0.41,5/25/2021,0.41,4/26/2021,0.37,3/26/2021,0.37,2/28/2021,0.35,1/26/2021,0.34,1/9/2021,0.34,1/8/2021
,10/24/2022,9/30/2022,0.57,0.5,,0.61,,0.6,,0.6,,0.61,,0.61,,0.61,,0.62,,0.61,,0.61,,0.6,,0.6,,0.56,,0.56,,0.57,,0.55,,0.55,,0.55,,0.55,,0.5,,0.5,,0.48,,0.48,,0.48,,,,,
,7/25/2022,6/30/2022,0.51,0.51,,0.49,,0.49,,0.5,,0.54,,0.54,,0.53,,0.52,,0.52,,0.51,,0.51,,0.5,,0.45,,0.45,,0.45,,0.45,,0.39,,0.39,,0.37,,0.37,,0.37,,,,,,,,,,,
,4/26/2022,3/30/2022,0.77,0.78,,0.75,,0.74,,0.74,,0.74,,0.73,,0.71,,0.71,,0.72,,0.7,,0.71,,0.71,,0.71,,0.56,,0.56,,0.54,,0.53,,0.53,,,,,,,,,,,,,,,,,
,1/24/2022,12/31/2021,0.36,0.42,,0.39,,0.39,,0.38,,0.38,,0.38,,0.37,,0.37,,0.37,,0.37,,0.37,3/26/2021,0.37,2/28/2021,0.35,1/26/2021,0.34,1/9/2021,0.34,1/8/2021,,,,,,,,,,,,,,,,,,,,,,
,10/25/2021,9/30/2021,0.52,0.58,,0.52,,0.52,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.48,,0.48,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/26/2021,6/30/2021,0.49,0.49,,0.4,,0.4,,0.39,,0.39,,0.39,,0.37,,0.37,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/26/2021,3/31/2021,0.7,0.7,,0.56,,0.56,,0.54,,0.53,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/25/2021,12/31/2020,0.34,0.32,,0.29,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/26/2020,9/30/2020,0.47,0.52,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2020,6/30/2020,0.34,0.34,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
