Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,
12/31/2020,0.86,12/31/2019,0.794842407,9/22/2019,0.794842407,,0.723404255,,0.713055556
9/30/2020,0.85,,0.784383954,,0.784383954,,0.680851064,,0.671111111
6/30/2020,0.8,,1.087679083,,1.087679083,,0.70212766,,0.692083333
3/31/2020,0.7,,1.004011461,,1.004011461,,0.712765957,,0.702569444
12/31/2019,0.82,,0.81,,0.76,,0.76,,0.68
9/30/2019,0.96,,0.82,,0.75,,0.75,,0.64
6/28/2019,1.038028476,,0.76,,0.66,,,,
3/29/2019,0.957858728,,0.67,,,,,,
12/31/2018,1.147337364,,0.74,,0.37,,0.59,0.36,
9/28/2018,0.915786021,,0.36,,0.58,,0.76,,
6/29/2018,2.560660759,,0.58,,0.56,,,,
3/29/2018,1.685628523,,0.67,,,,,,
12/29/2017,0.771559901,,0.61,,0.68,,,,
9/29/2017,0.661392059,,0.67,,0.66,,,,
6/30/2017,0.902633883,,0.67,,0.68,,,,
3/31/2017,0.969082764,,0.61,,,,,,
12/30/2016,0.472384522,,0.32,,0.55,,,,
9/30/2016,0.724863057,,0.57,,0.55,,0.49,,
6/30/2016,0.578941557,,0.49,,0.47,,0.41,,
3/31/2016,0.537165401,,0.41,,0.32,,,,
12/31/2015,0.550155004,,0.32,,0.39,,,,
9/30/2015,0.831195238,,0.34,,1.19,,,,
6/30/2015,0.41171901,,0.25,,1.18,,1.17,,
3/31/2015,0.73160894,,0.26,,1.13,,1.14,1.22,
12/31/2014,3.040130312,,1.17,,1.25,,0.34,1.2,
9/30/2014,0.417286968,,1.2,,1.28,,0.32,1.22,
6/30/2014,0.363939405,,1.22,,1.28,,1.27,1.23,
3/31/2014,0.368680687,,1.22,,1.23,,1.2,,
12/31/2013,0.681098571,,1.21,,1.24,,1.2,,
9/30/2013,0.367808107,,1.21,,1.21,,,,
6/28/2013,0.355986923,,1.21,,1.2,,,,
3/28/2013,0.349842284,,1.22,,1.2,,1.19,,
12/31/2012,0.400640368,,1.18,,1.2,,,,
9/28/2012,0.212402464,,1.19,,,,,,
6/29/2012,0.05796744,,1.07,,,,,,
3/30/2012,0.143022153,,nan,,,,,,
12/30/2011,0.363542484,,nan,,,,,,
9/30/2011,0.627498781,,nan,,,,,,
6/30/2011,0.458499617,,nan,,,,,,
3/31/2011,0.668038077,,nan,,,,,,
12/31/2010,0.338506932,,nan,,,,,,
9/30/2010,0.388358933,,nan,,,,,,
6/30/2010,0.37411326,,nan,,,,,,
3/31/2010,0.47793519,,nan,,,,,,
12/31/2009,0.401425662,,nan,,,,,,
9/30/2009,0.366682813,,nan,,,,,,
6/30/2009,0.394731745,,nan,,,,,,
3/31/2009,1.587180986,,nan,,,,,,
12/31/2008,0.466041586,,nan,,,,,,
9/30/2008,0.258502083,,nan,,,,,,
6/30/2008,0.223993411,,nan,,,,,,
3/31/2008,0.181734452,,nan,,,,,,
12/31/2007,0.174636368,,nan,,,,,,
10/1/2007,0.197400074,,nan,,,,,,
6/29/2007,0.174392325,,nan,,,,,,
4/2/2007,0.27307515,,nan,,,,,,
1/3/2007,0.171328349,,nan,,,,,,
10/2/2006,0.161025973,,nan,,,,,,
7/3/2006,0.203613621,,nan,,,,,,
4/3/2006,0.233185922,,nan,,,,,,
1/3/2006,0.224589416,,nan,,,,,,
9/30/2005,0.647480708,,nan,,,,,,
6/30/2005,0.262018249,,nan,,,,,,
3/31/2005,0.332727603,,nan,,,,,,
12/31/2004,0.77,,nan,,,,,,
9/30/2004,0.13,,nan,,,,,,
6/30/2004,0.24,,nan,,,,,,
3/31/2004,0.19,,nan,,,,,,
12/31/2003,0.31,,nan,,,,,,
9/30/2003,0.36,,nan,,,,,,
6/30/2003,0.6,,nan,,,,,,
3/31/2003,0.27,,nan,,,,,,
12/31/2002,0.44,,nan,,,,,,
9/30/2002,0.45,,nan,,,,,,
6/28/2002,0.44,,nan,,,,,,
3/28/2002,0.6,,nan,,,,,,
12/31/2001,0.46,,nan,,,,,,
9/28/2001,0.45,,nan,,,,,,
6/29/2001,0.48,,nan,,,,,,
3/30/2001,0.44,,nan,,,,,,
12/29/2000,0.7,,nan,,,,,,
9/29/2000,0.44,,nan,,,,,,
6/30/2000,0.44,,nan,,,,,,
3/31/2000,0.4,,nan,,,,,,
12/31/1999,0.41,,nan,,,,,,
9/30/1999,0.4,,nan,,,,,,
6/30/1999,0.4,,nan,,,,,,
3/31/1999,0.4,,nan,,,,,,
12/31/1998,0.35,,nan,,,,,,
9/30/1998,0.41,,nan,,,,,,
6/30/1998,0.38,,nan,,,,,,
3/31/1998,0.38,,nan,,,,,,
12/31/1997,0.26,,nan,,,,,,
9/30/1997,0.33,,nan,,,,,,
6/30/1997,0.36,,nan,,,,,,
3/31/1997,0.31,,nan,,,,,,
12/31/1996,0.31,,nan,,,,,,
9/30/1996,0.32,,nan,,,,,,
6/28/1996,0.32,,nan,,,,,,
3/29/1996,0.29,,nan,,,,,,
12/29/1995,0.23,,nan,,,,,,
9/29/1995,0.31,,nan,,,,,,
6/30/1995,0.28,,nan,,,,,,
