Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,,,,,,
,12/31/2021,0.86,5/18/2020,0.89,4/17/2020,0.89,3/27/2020,,,,,,,,,,,,,,,,
,9/30/2021,0.8,,0.89,,0.89,,,,,,,,,,,,,,,,,
,6/30/2021,0.64,,0.79,,0.79,,,,,,,,,,,,,,,,,
,3/31/2021,0.6,,0.75,,0.75,,,,,,,,,,,,,,,,,
,12/31/2020,0.4,3/27/2020,0.63,3/27/2020,0.95,3/27/2020,1.01,2/27/2020,1.01,1/24/2020,1.01,1/23/2020,1.01,,1.02,,1.04,1.07,1.08,1.09,1.1,1.080103359
,9/30/2020,0.39,,0.46,,0.94,,1.01,,1.01,,1,,1,,1.03,,1.05,1.06,1.08,1.080103359,,
,6/30/2020,0.09,,0.36,,0.89,,0.95,,0.95,,0.95,,0.95,,0.97,,0.98,1,1.02,1.03,1.080103359,
4/17/2020,3/31/2020,0.03,,0.87,,0.9,,0.91,,0.9,,0.9,,0.89,,0.91,0.92,0.93,0.96,1.080103359,,,
1/17/2020,12/31/2019,0.978235968,,0.95,,0.96,,0.97,1,1.01,1.02,1,1.02,1,0.99,1,,,,,,,
10/18/2019,9/30/2019,0.966226795,,0.96,,0.97,,0.99,1,0.99,1,1.01,1,0.99,0.98,0.96,,,,,,,
7/19/2019,6/28/2019,0.947084693,,0.94,,0.95,,0.96,0.95,0.94,0.93,,,,,,,,,,,,
4/18/2019,3/29/2019,0.916756757,,0.89,,0.88,,0.86,0.84,,,,,,,,,,,,,,
1/18/2019,12/31/2018,0.959283735,,0.94,,0.92,,0.93,0.91,0.9,0.84,0.76,0.75,0.76,,,,,,,,,
10/19/2018,9/28/2018,0.912897822,,0.9,,0.89,,0.87,0.86,0.82,0.72,,,,,,,,,,,,
7/20/2018,6/29/2018,0.874230712,,0.85,,0.84,,0.83,0.79,0.7,0.69,,,,,,,,,,,,
4/20/2018,3/29/2018,0.778663397,,0.76,,0.75,,0.72,0.63,,,,,,,,,,,,,,
1/19/2018,12/29/2017,1.34872418,,0.67,,0.66,,0.64,,,,,,,,,,,,,,,
10/20/2017,9/29/2017,0.679012346,,0.64,,0.61,,,,,,,,,,,,,,,,,
7/21/2017,6/30/2017,0.626724478,,0.59,,,,,,,,,,,,,,,,,,,
4/20/2017,3/31/2017,0.612107366,,0.51,,,,,,,,,,,,,,,,,,,
1/20/2017,12/30/2016,0.548744892,,0.52,,,,,,,,,,,,,,,,,,,
10/21/2016,9/30/2016,0.556491072,,0.48,,,,,,,,,,,,,,,,,,,
7/21/2016,6/30/2016,0.458174855,,0.44,,,,,,,,,,,,,,,,,,,
4/21/2016,3/31/2016,0.407204359,,0.39,,,,,,,,,,,,,,,,,,,
,12/31/2015,0.416745239,,0.42,,,,,,,,,,,,,,,,,,,
,9/30/2015,0.399326463,,0.4,,,,,,,,,,,,,,,,,,,
,6/30/2015,0.351910917,,0.36,,,,,,,,,,,,,,,,,,,
,3/31/2015,0.380139119,,0.34,,,,,,,,,,,,,,,,,,,
,12/31/2014,0.36,,0.34,,,,,,,,,,,,,,,,,,,
,9/30/2014,0.34,,0.35,,,,,,,,,,,,,,,,,,,
,6/30/2014,0.56,,,,,,,,,,,,,,,,,,,,,
