CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Non-GAAP,,6/30/2027,,3.13,12/15/2025,3.13,11/4/2025,3.11,9/14/2025,3.11,8/5/2025,2.69,7/11/2025,2.69,6/3/2025,2.69,4/26/2025,
,,3/30/2027,,3.03,,3.03,,3.01,,3.01,,2.64,,2.64,,2.64,,
,,12/31/2026,,2.98,,2.98,,2.98,,2.98,,2.61,,2.61,,2.61,,
,,9/30/2026,,2.84,,2.83,,2.78,,2.78,,2.44,,2.44,,2.44,,
,,6/30/2026,,2.88,7/11/2025,2.87,7/11/2025,2.84,7/11/2025,2.84,7/11/2025,2.69,7/11/2025,2.69,6/3/2025,2.69,4/26/2025,
,,3/30/2026,,2.77,,2.77,,2.74,,2.74,,2.64,,2.64,,2.64,,
,,12/31/2025,,2.72,,2.71,,2.69,,2.69,,2.61,,2.61,,2.61,,
,10/30/2025,9/30/2025,2.37,2.55,,2.5,,2.5,,2.44,,2.44,,2.44,,,,
,7/31/2025,6/30/2025,2.58,2.55,9/23/2024,2.46,9/23/2024,2.46,9/23/2024,2.45,9/23/2024,,,,,,,
,4/23/2025,3/30/2025,2.48,2.37,,2.36,,2.38,,2.4,,,,,,,,
,1/30/2025,12/31/2024,2.34,2.43,,2.32,,2.32,,2.32,,,,,,,,
,10/24/2024,9/30/2024,2.11,2.2,,2.04,,2.03,,2,,,,,,,,
,8/1/2024,6/30/2024,1.98,2.08,9/25/2023,2.06,9/25/2023,2.04,9/25/2023,1.96,9/25/2023,,,,,,,
,4/25/2024,3/30/2024,2.04,2.13,,1.9,,1.89,,1.85,,,,,,,,
,1/24/2024,12/31/2023,1.42,1.88,,1.78,,1.76,,1.76,,,,,,,,
,10/26/2023,9/30/2023,1.49,1.64,,1.66,,1.65,,1.7,,,,,,,,
,8/6/2023,6/30/2023,1.56,1.6,,1.69,,1.69,,1.69,,,,,,,,
,4/27/2023,3/30/2023,1.58,1.68,,1.6,,1.6,,1.61,,,,,,,,
,1/26/2023,12/31/2022,1.53,1.66,,1.6,,1.6,,1.6,,,,,,,,
,10/27/2022,9/30/2022,1.43,1.51,,1.51,,1.51,,1.51,,,,,,,,
,8/11/2022,6/30/2022,1.33,1.49,,1.45,,1.45,,1.66,,,,,,,,
,4/28/2022,3/31/2022,1.22,1.32,,1.42,,1.43,,1.59,,,,,,,,
,1/27/2022,12/31/2021,1.37,1.47,,1.52,,1.53,,1.53,,,,,,,,
,10/28/2021,9/30/2021,1.39,1.51,,1.36,,1.35,,1.27,,,,,,,,
,8/5/2021,6/30/2021,1.33,1.35,,1.28,,1.27,,1.26,,,,,,,,
,4/28/2021,3/31/2021,-0.54,1.3,,1.29,,1.29,,1.29,,,,,,,,
,1/28/2021,12/31/2020,1.23,1.41,,1.26,,1.26,,1.19,,,,,,,,
,10/29/2020,9/30/2020,1.22,1.27,,0.99,,0.99,,0.97,,,,,,,,
,8/5/2020,6/30/2020,1.22,1.33,,1.06,,1.06,,1.05,,,,,,,,
,4/30/2020,3/31/2020,1.12,1.29,,0.98,,0.98,,0.97,0.96,,,,,,,
,1/30/2020,12/31/2019,1.1,1.21,,0.99,,0.99,,0.98,1.06,,,,,,,
,10/24/2019,9/30/2019,0.83,0.93,,0.89,,0.89,,0.88,0.89,,,,,,,
,7/25/2019,6/28/2019,0.475488468,0.95,,0.94,,0.93,,0.91,0.92,,,,,,,
,5/2/2019,3/29/2019,0.730366583,0.89,,0.85,,0.86,,0.94,0.93,,,,,,,
,1/24/2019,12/31/2018,0.86345593,1,,0.95,,0.94,,0.93,0.94,,,,,,,
,10/25/2018,9/28/2018,0.734131778,0.81,,0.79,,0.76,,,,,,,,,,
,8/2/2018,6/29/2018,0.762555207,,,0.95,,0.84,,,,,,,,,,
,4/26/2018,3/29/2018,0.764836615,,,0.85,,0.77,,0.76,0.77,,,,,,,
,1/22/2018,12/29/2017,0.066226409,,,0.78,,0.8,,0.78,0.77,,,,,,,
,10/26/2017,9/29/2017,0.600257876,,,0.66,,0.67,,0.68,0.76,,,,,,,
,8/1/2017,6/30/2017,0.709982602,,,0.75,,0.77,,0.81,0.71,,,,,,,
,4/27/2017,3/31/2017,0.615334492,,,0.71,,0.76,,,,,,,,,,
,1/23/2017,12/30/2016,0.5400677,,,0.7,,0.74,,0.73,0.74,,,,,,,
,10/25/2016,9/30/2016,0.535625308,,,0.64,,0.68,,0.66,0.67,,,,,,,
,,6/30/2016,0.586824234,,,0.74,,0.73,,0.72,0.73,,,,,,,
,,3/31/2016,0.627183778,,,0.68,,0.67,,0.69,,,,,,,,
,,12/31/2015,0.64129141,,,0.66,,0.65,,0.67,0.66,,,,,,,
,,9/30/2015,0.566433714,,,0.59,,0.6,,0.59,0.61,,,,,,,
,,6/30/2015,0.612899609,,,0.65,,0.64,,0.65,0.66,,,,,,,
,,3/31/2015,0.637084859,,,0.66,,0.65,,0.66,0.65,,,,,,,
,,12/31/2014,0.641200546,,,0.61,,0.62,,0.63,0.65,,,,,,,
,,9/30/2014,0.583531325,,,0.57,,0.58,,0.6,0.62,,,,,,,
,,6/30/2014,0.61318368,,,0.66,,0.68,,0.69,0.7,,,,,,,
,,3/31/2014,0.627508282,,,0.64,,0.65,,0.63,0.63,,,,,,,
,,12/31/2013,0.59611243,,,0.63,,0.61,,0.57,,,,,,,,
,,9/30/2013,0.556388186,,,0.57,,0.58,,0.56,0.55,,,,,,,
,,6/28/2013,0.499695445,,,0.61,,0.62,,0.61,0.57,,,,,,,
,,3/28/2013,0.57904571,,,0.56,,0.57,,0.55,0.54,,,,,,,
,,12/28/2012,0.531341818,,,0.51,,0.46,,,,,,,,,,
,,9/28/2012,0.487932628,,,0.44,,,,,,,,,,,,
,,6/29/2012,0.525992649,,,0.48,,,,,,,,,,,,
,,3/30/2012,0.439075273,,,0.41,,,,,,,,,,,,
,,12/30/2011,0.420506304,,,,,,,,,,,,,,,
,,9/30/2011,0.327930361,,,,,,,,,,,,,,,
,,6/30/2011,0.371971119,,,,,,,,,,,,,,,
,,3/31/2011,0.338480865,,,,,,,,,,,,,,,
,,12/31/2010,0.370930181,,,,,,,,,,,,,,,
,,9/30/2010,0.361768909,,,,,,,,,,,,,,,
,,6/30/2010,0.34278972,,,,,,,,,,,,,,,
,,3/31/2010,0.313722215,,,,,,,,,,,,,,,
,,12/31/2009,0.298459122,,,,,,,,,,,,,,,
,,9/30/2009,0.274237253,,,,,,,,,,,,,,,
,,6/30/2009,0.295,,,,,,,,,,,,,,,
,,3/31/2009,0.255,,,,,,,,,,,,,,,
,,12/31/2008,0.22,,,,,,,,,,,,,,,
,,9/30/2008,0.18,,,,,,,,,,,,,,,
,,6/30/2008,0.19,,,,,,,,,,,,,,,
,,3/31/2008,0.19,,,,,,,,,,,,,,,
,,12/31/2007,0.17,,,,,,,,,,,,,,,
,,9/28/2007,0.15,,,,,,,,,,,,,,,
,,6/29/2007,0.175,,,,,,,,,,,,,,,
,,3/30/2007,-0.1,,,,,,,,,,,,,,,
,,12/29/2006,0.185,,,,,,,,,,,,,,,
,,9/29/2006,0.16,,,,,,,,,,,,,,,
,,6/30/2006,0.15,,,,,,,,,,,,,,,
,,3/31/2006,0.17,,,,,,,,,,,,,,,
,,12/30/2005,0.15,,,,,,,,,,,,,,,
,,9/30/2005,0.115,,,,,,,,,,,,,,,
,,6/30/2005,0.11,,,,,,,,,,,,,,,
,,3/31/2005,0.125,,,,,,,,,,,,,,,
,,12/31/2004,0.125,,,,,,,,,,,,,,,
,,9/30/2004,0.1,,,,,,,,,,,,,,,
,,6/30/2004,0.1125,,,,,,,,,,,,,,,
,,3/31/2004,0.1075,,,,,,,,,,,,,,,
,,12/31/2003,0.1,,,,,,,,,,,,,,,
