Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,12/31/2020,0.73,4/21/2020,1.02,3/15/2020,1.05,3/8/2020,1.05,,1.02,,1.03,,1.06,,,,,,
,9/30/2020,0.52,,0.89,,0.92,,0.92,,0.89,,0.91,,0.95,,,,,,
,6/30/2020,0.32,,0.83,,0.9,,0.9,,0.92,,0.95,,0.94,,,,,,
,3/31/2020,0.41,,0.6,,0.69,,0.69,,0.7,,0.71,,,,,,,,
2/6/2020,12/31/2019,0.85,,0.93,,0.91,,0.92,,0.95,,0.94,,,,,,,,
10/24/2019,9/30/2019,0.78,,0.78,,0.79,,0.85,,0.86,,,,,,,,,,
7/25/2019,6/28/2019,0.778169386,,0.79,,0.83,,0.9,,,,,,,,,,,,
4/24/2019,3/29/2019,0.635262497,,0.62,,0.68,,,,,,,,,,,,,,
2/7/2019,12/31/2018,0.949032783,,0.82,,0.83,,0.88,,,,,,,,,,,,
10/24/2018,9/28/2018,0.759236982,,0.8,,0.76,,,,,,,,,,,,,,
7/25/2018,6/29/2018,0.822936595,,0.76,,0.77,,,,,,,,,,,,,,
4/25/2018,3/29/2018,0.59687924,,0.57,,,,,,,,,,,,,,,,
2/7/2018,12/29/2017,1.184039143,,0.62,,0.71,,0.68,,0.65,,0.76,,,,,,,,
10/25/2017,9/29/2017,0.601536406,,0.58,,0.65,,0.62,,0.59,,0.68,,,,,,,,
7/26/2017,6/30/2017,0.643919772,,0.58,,0.62,,0.61,,0.62,,0.66,,,,,,,,
4/26/2017,3/31/2017,0.469142364,,0.4,,0.44,,0.42,,0.46,,0.49,,0.55,,,,,,
2/8/2017,12/30/2016,0.414889796,,0.55,,0.64,,0.71,,0.79,,0.82,,0.85,,0.52,,,,
10/20/2016,9/30/2016,0.390203705,,0.52,,0.66,,0.7,,0.75,,0.79,,,,,,,,
7/21/2016,6/30/2016,-0.33366389,,0.58,,0.62,,0.67,,0.7,,0.74,,,,,,,,
4/21/2016,3/31/2016,0.425632653,,0.43,,0.45,,0.48,,,,,,,,,,,,
,12/31/2015,0.749338667,,0.64,,0.68,,0.69,,0.75,,0.74,,0.72,,0.74,,0.75,,0.76
,9/30/2015,0.506064907,,0.59,,0.67,,0.66,,0.63,,0.66,,0.67,,,,,,
,6/30/2015,0.380144033,,0.61,,0.6,,0.61,,0.62,,0.61,,,,,,,,
,3/31/2015,0.156127949,,0.4,,0.44,,0.46,,0.48,,0.66,,,,,,,,
,12/31/2014,0.553369692,,0.59,,0.63,,0.66,,0.65,,0.63,,0.61,,0.62,,0.64,,0.59
,9/30/2014,0.541316436,,0.59,,0.58,,0.53,,0.54,,0.57,,0.55,,,,,,
,6/30/2014,0.546898879,,0.56,,0.55,,0.52,,0.53,,0.58,,0.38,,,,,,
,3/31/2014,0.325796768,,0.37,,0.38,,0.41,,0.43,,0.55,,,,,,,,
,12/31/2013,0.50065855,,0.56,,0.55,,0.6,,0.46,,,,,,,,,,
,9/30/2013,0.45817466,,0.46,,0.52,,0.53,,,,,,,,,,,,
,6/28/2013,0.449960958,,0.53,,0.54,,0.53,,0.52,,0.39,,,,,,,,
,3/28/2013,0.358676976,,0.39,,0.38,,0.5,,,,,,,,,,,,
,12/31/2012,0.537118051,,0.5,,0.4,,,,,,,,,,,,,,
,9/28/2012,0.413587323,,0.4,,,,,,,,,,,,,,,,
,6/29/2012,0.481134318,,0.46,,,,,,,,,,,,,,,,
,3/30/2012,0.349862071,,0.34,,,,,,,,,,,,,,,,
,12/30/2011,0.49879177,,,,,,,,,,,,,,,,,,
,9/30/2011,0.436924743,,,,,,,,,,,,,,,,,,
,6/30/2011,0.400958092,,,,,,,,,,,,,,,,,,
,3/31/2011,0.267917333,,,,,,,,,,,,,,,,,,
,12/31/2010,0.40592903,,,,,,,,,,,,,,,,,,
,9/30/2010,0.305125476,,,,,,,,,,,,,,,,,,
,6/30/2010,0.271712627,,,,,,,,,,,,,,,,,,
,3/31/2010,0.117596478,,,,,,,,,,,,,,,,,,
,12/31/2009,0.216707481,,,,,,,,,,,,,,,,,,
,9/30/2009,0.13019362,,,,,,,,,,,,,,,,,,
,6/30/2009,0.098146806,,,,,,,,,,,,,,,,,,
,3/31/2009,-0.10738255,,,,,,,,,,,,,,,,,,
,12/31/2008,0.29,,,,,,,,,,,,,,,,,,
,9/30/2008,0.42,,,,,,,,,,,,,,,,,,
,6/30/2008,0.42,,,,,,,,,,,,,,,,,,
,3/31/2008,0.35,,,,,,,,,,,,,,,,,,
,12/31/2007,0.43,,,,,,,,,,,,,,,,,,
,9/28/2007,0.36,,,,,,,,,,,,,,,,,,
,6/29/2007,0.38,,,,,,,,,,,,,,,,,,
,3/30/2007,0.34,,,,,,,,,,,,,,,,,,
,12/29/2006,0.4,,,,,,,,,,,,,,,,,,
,9/29/2006,0.41,,,,,,,,,,,,,,,,,,
,6/30/2006,0.41,,,,,,,,,,,,,,,,,,
,3/31/2006,0.35,,,,,,,,,,,,,,,,,,
,12/30/2005,0.38,,,,,,,,,,,,,,,,,,
,9/30/2005,0.38,,,,,,,,,,,,,,,,,,
,6/30/2005,0.37,,,,,,,,,,,,,,,,,,
