CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Non-GAAP,,12/31/2021,0.79,2/28/2021,0.75,1/4/2021,0.75,12/1/2020,0.73,10/30/2020,0.7,10/29/2020,0.7,10/28/2020,,,,
,,9/30/2021,0.75,,0.72,,0.72,,0.7,,0.68,,0.68,,,,,
,,6/30/2021,0.7,,0.66,,0.66,,0.66,,0.64,,0.64,,,,,
,,3/29/2021,0.66,,0.64,,0.64,,0.63,,0.59,,0.59,,,,,
,2/25/2021,12/31/2020,0.26,,0.7,,0.7,,0.66,,0.62,,0.62,,,,,
,10/29/2020,9/30/2020,0.19,,0.6,,0.6,,,,,,,,,,,
,7/30/2020,6/30/2020,0.2,,0.5,,,,,,,,,,,,,
,5/7/2020,3/29/2020,0.27,,0.48,,,,,,,,,,,,,
,2/25/2020,12/31/2019,0.36,,0.36,,,,,,,,,,,,,
,11/7/2019,9/30/2019,0.3,,0.3,,,,,,,,,,,,,
,8/1/2019,6/30/2019,0.27,,0.27,,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.22,,0.22,,,,,,,,,,,,,
,2/26/2019,12/31/2018,0.23,,0.23,,,,,,,,,,,,,
,11/1/2018,9/28/2018,0.19,,0.19,,,,,,,,,,,,,
,8/2/2018,6/29/2018,0.17,,0.17,,,,,,,,,,,,,
,5/1/2018,3/29/2018,0.15,,0.15,,,,,,,,,,,,,
,3/1/2018,12/29/2017,0.19,,0.19,,,,,,,,,,,,,
,11/2/2017,9/29/2017,0.21,,0.21,,,,,,,,,,,,,
,8/3/2017,6/30/2017,0.07,,0.07,,,,,,,,,,,,,
,5/4/2017,3/31/2017,0.08,,0.08,,,,,,,,,,,,,
,,12/31/2016,0.11,,0.11,,,,,,,,,,,,,
,,9/28/2016,0.16,,0.16,,,,,,,,,,,,,
,,6/29/2016,0.17,,0.17,,,,,,,,,,,,,
,,3/29/2016,0.16,,0.16,,,,,,,,,,,,,
,,12/29/2015,0.22,,0.22,,,,,,,,,,,,,
,,9/29/2015,0.22,,0.22,,,,,,,,,,,,,
,,6/30/2015,0.12,,0.12,,,,,,,,,,,,,
,,3/31/2015,0.12,,0.12,,,,,,,,,,,,,
,,12/31/2014,0.19,,0.19,,,,,,,,,,,,,
,,9/28/2014,0.22,,0.22,,,,,,,,,,,,,
,,6/29/2014,0.19,,0.19,,,,,,,,,,,,,
,,3/29/2014,0.09,,0.09,,,,,,,,,,,,,
,,12/31/2013,0.17,,0.17,,,,,,,,,,,,,
,,9/28/2013,0.23,,0.23,,,,,,,,,,,,,
,,6/29/2013,0.14,,0.14,,,,,,,,,,,,,
,,3/29/2013,0.13,,0.13,,,,,,,,,,,,,
,,12/31/2012,0.14,,0.14,,,,,,,,,,,,,
,,9/28/2012,0.16,,0.16,,,,,,,,,,,,,
,,6/29/2012,0.12,,0.12,,,,,,,,,,,,,
,,3/29/2012,0.1,,0.1,,,,,,,,,,,,,
,,12/31/2011,0.09,,0.09,,,,,,,,,,,,,
,,9/28/2011,0.12,,0.12,,,,,,,,,,,,,
,,6/29/2011,0.1,,0.1,,,,,,,,,,,,,
,,3/29/2011,0.06,,0.06,,,,,,,,,,,,,
,,12/31/2010,0.05,,0.05,,,,,,,,,,,,,
,,9/30/2010,0.08,,0.08,,,,,,,,,,,,,
,,6/30/2010,0.07,,0.07,,,,,,,,,,,,,
,,3/31/2010,0.03,,0.03,,,,,,,,,,,,,
,,12/31/2009,0.02,,0.02,,,,,,,,,,,,,
,,9/30/2009,0.01,,0.01,,,,,,,,,,,,,
,,6/30/2009,-0.01,,-0.01,,,,,,,,,,,,,
,,3/31/2009,0.03,,0.03,,,,,,,,,,,,,
,,12/31/2008,0.03,,0.03,,,,,,,,,,,,,
,,9/30/2008,0.07,,0.07,,,,,,,,,,,,,
,,6/30/2008,0.13,,0.13,,,,,,,,,,,,,
,,3/31/2008,0.1,,0.1,,,,,,,,,,,,,
,,12/31/2007,0.15,,0.15,,,,,,,,,,,,,
,,9/28/2007,0.15,,0.15,,,,,,,,,,,,,
,,6/29/2007,0.13,,0.13,,,,,,,,,,,,,
,,3/30/2007,0.11,,0.11,,,,,,,,,,,,,
,,12/29/2006,0.1,,0.1,,,,,,,,,,,,,
,,9/29/2006,0.1,,0.1,,,,,,,,,,,,,
,,6/30/2006,0.08,,0.08,,,,,,,,,,,,,
,,3/31/2006,0.07,,0.07,,,,,,,,,,,,,
,,12/30/2005,0.08,,0.08,,,,,,,,,,,,,
,,9/30/2005,0.08,,0.08,,,,,,,,,,,,,
,,6/30/2005,0.07,,0.07,,,,,,,,,,,,,
,,3/31/2005,0.06,,0.06,,,,,,,,,,,,,
,,12/31/2004,0.06,,0.06,,,,,,,,,,,,,
,,9/30/2004,0.05,,0.05,,,,,,,,,,,,,
,,6/30/2004,0.04,,0.04,,,,,,,,,,,,,
,,3/31/2004,0.04,,0.04,,,,,,,,,,,,,
,,12/31/2003,0.02,,0.02,,,,,,,,,,,,,
,,9/30/2003,0.02,,0.02,,,,,,,,,,,,,
,,6/30/2003,0.02,,0.02,,,,,,,,,,,,,
,,3/31/2003,0.01,,0.01,,,,,,,,,,,,,
,,12/31/2002,-0.11,,-0.11,,,,,,,,,,,,,
,,9/30/2002,-0.11,,-0.11,,,,,,,,,,,,,
,,6/28/2002,-0.12,,-0.12,,,,,,,,,,,,,
,,3/28/2002,-0.12,,-0.12,,,,,,,,,,,,,
