Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,12/31/2021,2.12,5/8/2020,2.12,3/23/2020,,,,,,,,,,,,,,,
,9/30/2021,2.04,,2.04,,,,,,,,,,,,,,,,
,6/30/2021,1.84,,1.84,,,,,,,,,,,,,,,,
,3/31/2021,1.86,,1.86,,,,,,,,,,,,,,,,
,12/31/2020,1.84,3/23/2020,2.02,3/23/2020,1.97,2/12/2020,1.97,2/10/2020,1.97,1/12/2020,1.86,9/11/2019,1.84,,1.84,,1.83,,1.821293532
,9/30/2020,1.63,,2.01,,2,,2,,2.02,,1.94,,1.94,,1.94,,1.93,,1.949718076
,6/30/2020,1.22,,1.84,,1.87,,1.87,,1.86,,1.75,,1.71,,1.71,,1.727893864,,
5/6/2020,3/31/2020,0.48,,1.66,,1.72,,1.72,,1.72,,1.57,,1.56,,1.56,,1.55,,1.541094527
2/12/2020,12/31/2019,0.34,,1.6,,1.59,,1.58,,1.58,,1.58,,1.57,,1.56,1.57,1.56,1.53,1.52
10/31/2019,9/30/2019,0.54,,1.67,,1.68,,1.68,,1.67,,1.66,1.67,1.65,1.63,1.61,1.58,,,
7/30/2019,6/28/2019,0.765970164,,1.46,,1.47,,1.48,,1.49,1.48,1.41,1.42,1.41,1.4,1.38,1.37,,,
5/2/2019,3/29/2019,0.710937994,,1.29,,1.31,,1.32,,1.33,1.32,1.31,1.29,1.25,,,,,,
2/13/2019,12/31/2018,0.4739054,,1.32,,1.33,,1.34,,1.31,1.33,1.32,1.26,1.23,1.2,,,,,
10/30/2018,9/28/2018,1.11130014,,1.39,,1.41,,1.39,,1.41,1.4,1.29,1.27,1.25,,,,,,
8/2/2018,6/29/2018,0.683060178,,1.22,,1.23,,1.22,,1.2,1.21,1.13,1.1,0.07,,,,,,
5/3/2018,3/29/2018,0.571118818,,1.1,,1.02,,1.01,,,,,,,,,,,,
2/15/2018,12/29/2017,1.513899404,,1.06,,1.05,,0.98,,1.02,,,,,,,,,,
11/8/2017,9/29/2017,0.712603441,,1.1,,1.07,,1.03,,0.91,,,,,,,,,,
8/3/2017,6/30/2017,0.435733125,,0.85,,0.92,,0.91,,0.94,0.9,0.89,0.82,,,,,,,
5/4/2017,3/31/2017,0.318508368,,0.8,,0.86,,0.83,,0.75,0.85,,,,,,,,,
,11/30/2016,0.321135651,,0.85,,0.86,,0.87,,0.83,0.84,0.85,0.83,0.825,0.83,,,,,
,8/31/2016,0.549465664,,0.83,,0.89,,0.9,,0.87,0.88,0.835,0.805,,,,,,,
,5/31/2016,0.263841984,,0.73,,0.74,,0.73,,0.725,0.67,,,,,,,,,
,2/29/2016,0.530585433,,0.67,,0.68,,0.69,,0.68,0.685,0.68,,,,,,,,
,11/30/2015,0.60428989,,0.75,,0.74,,0.735,,0.69,0.695,0.67,,,,,,,,
,8/31/2015,0.660683513,,0.715,,0.695,,0.68,,,,,,,,,,,,
