CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Non-GAAP,,12/31/2026,,2.82,11/8/2025,2.74,9/18/2025,2.74,8/16/2025,2.68,7/23/2025,2.68,6/25/2025,,,,,,,
,,9/30/2026,,2.91,,2.85,,2.85,,2.81,,2.81,,,,,,,,
,,6/30/2026,,2.67,,2.63,,2.63,,2.65,,2.65,,,,,,,,
,,3/30/2026,,2.2,,2.23,,2.23,,2.21,,2.21,,,,,,,,
,,12/31/2025,,2.44,1/22/2025,2.5,1/22/2025,2.5,1/22/2025,2.5,1/22/2025,2.5,1/22/2025,,,,,,,
,11/4/2025,9/30/2025,2.21,2.71,,2.62,,2.62,,2.61,,2.61,,,,,,,,
,8/6/2025,6/30/2025,2.05,2.6,,2.49,,2.49,,2.49,,,,,,,,,,
,5/7/2025,3/30/2025,1.69,2.15,,1.96,,1.96,,2.06,,,,,,,,,,
,2/5/2025,12/31/2024,1.97,2.48,3/30/2024,2.32,3/30/2024,2.33,3/30/2024,2.33,3/30/2024,,,,,,,,,
,10/30/2024,9/30/2024,2.34,2.63,,2.86,,2.86,,2.87,,,,,,,,,,
,7/31/2024,6/30/2024,2.07,2.5,,2.53,,2.63,,2.65,,,,,,,,,,
,5/1/2024,3/30/2024,1.59,1.92,,2.15,,2.17,,2.34,,,,,,,,,,
,2/7/2024,12/31/2023,2.18,2.57,3/17/2023,2.56,3/17/2023,2.56,3/17/2023,2.57,3/17/2023,,,,,,,,,
,11/1/2023,9/30/2023,2.32,2.72,,2.61,,2.61,,2.58,,,,,,,,,,
,8/2/2023,6/30/2023,1.92,2.56,,2.34,,2.34,,2.57,,,,,,,,,,
,5/3/2023,3/30/2023,1.68,2.03,,2.27,,2.27,,2.38,,,,,,,,,,
,2/8/2023,12/31/2022,2.09,2.5,,2.49,,2.49,,2.48,,,,,,,,,,
,11/2/2022,9/30/2022,2.17,2.6,,2.53,,2.53,,2.52,,,,,,,,,,
,8/3/2022,6/30/2022,2.04,2.49,,2.42,,2.42,,2.42,,,,,,,,,,
,5/4/2022,3/31/2022,1.83,2.2,,2.02,,2.02,,1.99,,,,,,,,,,
,2/9/2022,12/31/2021,1.57,2.08,,1.9,,1.9,,1.86,,,,,,,,,,
,11/3/2021,9/30/2021,1.91,2.13,,2.05,,2.05,,2.03,,,,,,,,,,
,8/4/2021,6/30/2021,1.93,2.02,,1.8,,1.79,,1.79,,,,,,,,,,
,5/5/2021,3/31/2021,1.63,1.74,,1.51,,1.51,,1.37,,,,,,,,,,
,2/10/2021,12/31/2020,1.65,1.82,,1.49,,1.49,,1.37,4/7/2020,,,,,,,,,
,11/2/2020,9/30/2020,1.33,1.83,,1.5,,1.5,,1.44,,,,,,,,,,
,8/5/2020,6/30/2020,1.31,1.56,,1.37,,1.35,,1.53,,,,,,,,,,
,5/6/2020,3/31/2020,1.16,1.38,,1.29,,1.37,,1.35,,,,,,,,,,
,2/6/2020,12/31/2019,1.27,1.57,,1.48,,1.45,,1.46,,,,,,,,,,
,10/31/2019,9/30/2019,1.37,1.7,,1.58,,1.58,,1.58,,,,,,,,,,
,7/31/2019,6/28/2019,1.325691167,1.6,,1.52,,1.51,,1.5,1.46,,,,,,,,,
,5/1/2019,3/29/2019,1.024798928,1.24,,1.11,,1.13,,1.12,1.1,,,,,,,,,
,2/7/2019,12/31/2018,1.048716261,1.2,,1.21,,1.22,,1.23,1.15,,,,,,,,,
,10/31/2018,9/28/2018,1.195185426,1.42,,1.34,,1.33,,1.32,1.33,,,,,,,,,
,8/2/2018,6/29/2018,1.124106563,1.38,,1.28,,1.27,,1.28,1.27,,,,,,,,,
,5/2/2018,3/29/2018,0.820413437,1.05,,0.92,,0.9,,0.86,0.84,,,,,,,,,
,2/7/2018,12/29/2017,1.256922086,,,0.99,,0.96,,0.97,,,,,,,,,,
,11/1/2017,9/29/2017,0.827144686,,,1.07,,1.09,,1.08,1.03,,,,,,,,,
,8/3/2017,6/30/2017,0.886792453,,,1.03,,,,,,,,,,,,,,
,5/3/2017,3/31/2017,0.353808354,,,0.75,,0.76,,,,,,,,,,,,
,2/7/2017,12/30/2016,0.631965707,,,0.81,,,,,,,,,,,,,,
,11/2/2016,9/30/2016,0.763493026,,,0.9,,,,,,,,,,,,,,
,8/3/2016,6/30/2016,0.704859028,,,0.85,,,,,,,,,,,,,,
,5/4/2016,3/31/2016,0.46062759,,,0.65,,,,,,,,,,,,,,
,,12/31/2015,0.524985303,,,0.72,,,,,,,,,,,,,,
,,9/30/2015,0.88245614,,,0.8,,,,,,,,,,,,,,
,,6/30/2015,0.627246377,,,0.7,,,,,,,,,,,,,,
,,3/31/2015,0.315273775,,,0.53,,,,,,,,,,,,,,
,,12/31/2014,0.299076212,,,0.54,,,,,,,,,,,,,,
,,9/30/2014,0.32,,,0.62,,,,,,,,,,,,,,
,,6/30/2014,0.5,,,0.57,,,,,,,,,,,,,,
,,3/31/2014,0.3,,,0.43,,,,,,,,,,,,,,
,,12/31/2013,0.35,,,0.46,,,,,,,,,,,,,,
,,9/30/2013,-0.01,,,0.47,,,,,,,,,,,,,,
