CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,
Non-GAAP Diluted,,12/31/2021,2.92,10/29/2020,2.93,9/27/2020,2.93,9/1/2020,2.92,7/31/2020,2.63,7/30/2020,2.970974729,,,,,,,,,,
,,9/30/2021,2.4,,2.38,,2.38,,2.36,,2.02,,2.970974729,,,,,,,,,,
,,6/30/2021,2.4,,2.35,,2.35,,2.26,,1.98,,2.970974729,,,,,,,,,,
,,3/31/2021,2.52,,2.45,,2.45,,2.43,,2.37,,2.970974729,,,,,,,,,,
,,12/31/2020,2.7,,2.6,,2.6,,2.65,,2.51,,2.54,,2.57,,2.68,,2.83,,3.313728814,,
,10/29/2020,9/30/2020,43.64,,1.8,,1.8,,1.6,,1.44,,1.52,,1.93,,1.94,,1.91,,2.04,,1.918474576
,7/30/2020,6/30/2020,32.1521392,,1.22,,1.15,,2.02,,2.42,,2.34,,2.32,,2.217457627,,,,,,
,5/6/2020,3/31/2020,22.71532653,,1.57,,1.82,,1.73,,1.83,,1.81,,1.38279661,,,,,,,,
,2/13/2020,12/31/2019,18.31461566,,2.44,,2.43,,2.54,,2.66,,2.19,,2.44,,,,,,,,
,10/31/2019,9/30/2019,-8.676075224,,1.41,,1.52,,1.54,,1.49,,1.93,,,,,,,,,,
,8/1/2019,6/28/2019,19.85839358,,1.34,,1.35,,1.78,,1.74,,1.79,,,,,,,,,,
,5/8/2019,3/29/2019,28.74020064,,1.11,,1.52,,1.99,,,,,,,,,,,,,,
,2/28/2019,12/31/2018,-27.88496553,,1.7,,1.82,,2.29,,1.73,,,,,,,,,,,,
,11/1/2018,9/28/2018,8.890994322,,1.15,,1.38,,1.26,,,,,,,,,,,,,,
,8/7/2018,6/29/2018,8.870015553,,1.27,,1.21,,0.96,,,,,,,,,,,,,,
