CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2024,,0.39,12/4/2023,0.41,10/28/2023,0.44,10/13/2023,0.35,9/6/2023,0.32,7/28/2023,0.35,6/13/2023,0.34,5/3/2023,,3/16/2023,0.41,2/4/2023,0.41,12/1/2022,0.41,10/29/2022,0.51,10/5/2022,0.44,9/2/2022,0.47,7/31/2022,0.46,7/4/2022,0.46,6/2/2022,0.49,5/1/2022,0.49,3/22/2022,,2/21/2022,0.48,2/20/2022,0.4,,0.38
,,9/30/2024,,0.41,,0.44,,0.46,,0.43,,0.39,,0.37,,0.39,,,,0.39,,0.41,,0.41,,0.57,,0.56,,0.59,,0.59,,0.59,,0.7,,0.7,,,,0.56,,0.48,,0.43
,,6/30/2024,,0.51,,0.58,,0.56,,0.55,,0.51,,0.41,,0.42,,,,0.52,,0.52,,0.52,,0.58,,0.54,,0.51,,0.57,,0.57,,0.61,,0.61,,,,0.51,,0.52,,0.53
,,3/30/2024,,0.47,,0.51,,0.51,,0.48,,0.47,,0.45,,0.41,,,,0.41,,0.41,,0.41,,0.45,,0.45,,0.46,,0.51,,0.51,,0.64,,0.64,,,,0.47,,0.52,,0.58
,,12/31/2023,,0.14,3/16/2023,0.19,3/16/2023,0.32,3/16/2023,0.36,3/16/2023,0.28,3/16/2023,0.33,3/16/2023,0.34,3/16/2023,0.33,3/16/2023,0.41,2/4/2023,0.41,12/1/2022,0.41,10/29/2022,0.51,10/5/2022,0.44,9/2/2022,0.47,7/31/2022,0.46,7/4/2022,0.46,6/2/2022,0.49,5/1/2022,0.49,3/22/2022,,2/21/2022,0.48,2/20/2022,0.4,,0.38
,10/26/2023,9/30/2023,0.3,0.39,,0.45,,0.45,,0.42,,0.36,,0.36,,0.35,,0.39,,0.41,,0.41,,0.57,,0.56,,0.59,,0.59,,0.59,,0.7,,0.7,,,,0.56,,0.48,,0.43,,
,7/27/2023,6/30/2023,0.47,0.72,,0.46,,0.47,,0.48,,0.52,,0.52,,0.52,,0.58,,0.54,,0.51,,0.57,,0.57,,0.61,,0.61,,,,0.51,,0.52,,0.53,,,,,,,,
,5/2/2023,3/30/2023,0.44,0.63,,0.4,,0.41,,0.41,,0.41,,0.45,,0.45,,0.46,,0.51,,0.51,,0.64,,0.64,,,,0.47,,0.52,,0.58,,,,,,,,,,,,
,2/2/2023,12/30/2022,0.32,0.62,,0.63,,0.61,,0.6,,0.51,,0.52,,0.53,,0.53,,0.52,,0.49,,0.5,,0.48,2/20/2022,0.4,,0.38,,,,,,,,,,,,,,,,
,10/26/2022,9/30/2022,-0.21,0.3,,0.36,,0.52,,0.53,,0.56,,0.56,,0.57,,0.6,,0.61,,0.56,,0.48,,0.43,,,,,,,,,,,,,,,,,,,,
,7/27/2022,6/30/2022,0.16,0.68,,0.43,,0.43,,0.45,,0.51,,0.54,,0.51,,0.52,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/2022,3/31/2022,-0.78,0.38,,0.4,,0.41,,0.47,,0.52,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3/2022,12/31/2021,3.03,0.26,,0.39,,0.3,,0.29,,0.2,,0.11,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/27/2021,9/30/2021,0.453914767,0.51,,0.27,,0.2,,0.38,,0.2,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/28/2021,6/30/2021,0.139275074,0.13,,-0.03,,-0.18,,0.35,,0.39,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/28/2021,3/31/2021,0.812250996,0.89,,0.21,,0.16,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/4/2021,12/31/2020,-0.694742088,0.34,,-0.07,,-0.09,,-0.19,,0.14,,0.28,,0.3,,0.37,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/28/2020,9/30/2020,0.595505618,0.65,,0.19,,0.14,,-0.03,,0.11,,0.28,,0.32,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/30/2020,6/30/2020,0.279809619,-0.35,,-1.17,,-1.24,,-0.22,,0.38,,0.41,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/28/2020,3/31/2020,-0.417582418,-0.23,,-0.12,,0.11,,0.4,,0.42,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/4/2020,12/31/2019,-0.417582418,0.12,,0.15,,0.16,,0.29,,0.3,,0.33,,0.34,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/23/2019,9/30/2019,0.106064387,0.34,,0.26,,0.27,,0.33,,0.36,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/24/2019,6/28/2019,0.03688014,0.28,,0.31,,0.32,,0.3,,0.34,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/25/2019,3/29/2019,0.286715036,0.44,,0.27,,0.28,,0.3,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/23/2019,12/31/2018,-0.029021766,0.3,,0.32,,0.33,,0.31,,0.35,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
