CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,
N,,12/31/2026,,1.2,1/9/2026,1.13,11/11/2025,1.13,9/18/2025,1.13,8/16/2025,1.13,7/23/2025,1.13,6/25/2025
,,9/30/2026,,1.2,,1.25,,1.13,,1.13,,1.13,,1.13,
,,6/30/2026,,1.21,,1.23,,1.06,,1.1,,1.1,,1.1,
,,3/30/2026,,1.11,,1.13,,0.97,,1.01,,1.01,,1,
,,12/31/2025,,1.13,12/20/2024,1.08,12/20/2024,1.04,12/20/2024,1,12/20/2024,1.04,12/20/2024,1.01,12/20/2024
,11/7/2025,9/30/2025,0.85,0.9,,0.96,,0.98,,0.94,,0.94,,,
,8/6/2025,6/30/2025,0.83,0.83,,0.94,,0.99,,0.89,,,,,
,5/7/2025,3/30/2025,0.73,0.73,,0.89,,0.87,,0.63,,,,,
,2/25/2025,12/31/2024,0.68,0.68,4/10/2024,0.72,4/10/2024,0.74,4/10/2024,0.9,4/10/2024,,,,
,11/6/2024,9/30/2024,0.71,0.71,,0.96,,0.9,,0.92,,,,,
,8/6/2024,6/30/2024,0.87,0.87,,0.77,,0.82,,0.89,,,,,
,5/7/2024,3/30/2024,0.73,0.73,,0.79,,0.87,,0.92,,,,,
,2/27/2024,12/31/2023,0.51,0.51,4/10/2023,0.91,4/10/2023,0.9,4/10/2023,0.93,4/10/2023,,,,
,11/7/2023,9/30/2023,0.8,0.8,,0.8,,0.94,,1.04,,,,,
,8/7/2023,6/30/2023,0.73,0.73,,0.93,,1.12,,1.16,,,,,
,5/8/2023,3/30/2023,0.86,0.86,,1.05,,1.12,,1.15,,,,,
,2/28/2023,12/31/2022,0.98,0.98,,1.17,,1.18,,1.34,,,,,
,11/7/2022,9/30/2022,1.03,1.03,,1.21,,1.21,,1.21,,,,,
,8/4/2022,6/30/2022,0.74,0.74,,1.01,,1.01,,1.04,,,,,
,5/3/2022,3/31/2022,0.91,0.91,,0.97,,1.01,,1.01,,,,,
,2/23/2022,12/31/2021,0.96,0.96,,1,,1,,1.1,,,,,
,11/4/2021,9/30/2021,1,1.03,,1.03,,1.08,,1.13,,,,,
,8/3/2021,6/30/2021,1,1,,1.05,,1.05,,1.03,,,,,
,5/4/2021,3/31/2021,0.83,0.83,,0.87,,0.9,,0.98,,,,,
,2/23/2021,12/31/2020,0.94,0.94,,1,,1,,0.95,,,,,
,11/4/2020,9/30/2020,1.26,1.26,,1.09,,1.09,,0.97,,,,,
,8/5/2020,6/30/2020,1.181357266,1.18,,0.82,,0.7,,0.77,,,,,
,5/5/2020,3/31/2020,0.763722417,0.76,,0.69,,0.77,,0.82,,,,,
,2/25/2020,12/31/2019,0.524059339,0.52,,0.74,,0.79,,0.8,,,,,
,11/4/2019,9/30/2019,0.884499804,0.89,,0.8,,0.88,,0.87,,,,,
,8/5/2019,6/28/2019,0.688365851,0.69,,0.69,,0.71,,0.82,,,,,
,5/6/2019,3/29/2019,0.508927362,0.51,,0.64,,0.68,,0.82,,,,,
,2/19/2019,12/31/2018,0.582446835,0.58,,0.74,,0.83,,0.75,,,,,
,11/6/2018,9/28/2018,0.68396291,0.68,,0.94,,0.84,,,,,,,
,8/7/2018,6/29/2018,0.794044364,0.79,,0.8,,0.84,,,,,,,
,5/7/2018,3/29/2018,0.588880445,0.59,,0.55,,0.73,,,,,,,
,2/26/2018,12/29/2017,0.569841078,,,0.64,,0.67,,0.62,,,,,
,11/8/2017,9/29/2017,0.49931155,,,0.63,,0.57,,0.68,,,,,
,8/2/2017,6/30/2017,0.591771905,,,0.55,,0.54,,,,,,,
,5/8/2017,3/31/2017,0.430093061,,,0.5,,,,,,,,,
,,12/30/2016,0.468748737,,,0.48,,0.5,,0.68,,,,,
,,9/30/2016,0.405736853,,,0.63,,0.55,,0.67,,,,,
,,6/30/2016,0.660809286,,,0.68,,0.58,,0.59,,,,,
,,3/31/2016,0.541500015,,,0.57,,0.57,,0.69,,,,,
,,12/31/2015,0.554651571,,,0.71,,0.73,,0.71,,,,,
,,9/30/2015,0.706593429,,,0.78,,0.79,,0.9,,,,,
,,6/30/2015,0.7061641,,,0.85,,0.86,,0.88,,,,,
,,3/31/2015,0.564675319,,,0.77,,0.8,,0.79,,,,,
,,12/31/2014,0.796138822,,,0.73,,0.72,,,,,,,
,,9/30/2014,0.595521466,,,0.71,,,,,,,,,
,,6/30/2014,0.870050968,,,0.6,,,,,,,,,
,,3/31/2014,0.592201132,,,0.42,,,,,,,,,
,,12/31/2013,0.458729855,,,0.49,,,,,,,,,
,,9/30/2013,0.508318312,,,nan,,,,,,,,,
,,6/28/2013,0.476936704,,,nan,,,,,,,,,
,,3/28/2013,0.496426641,,,nan,,,,,,,,,
