CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,
Non-GAAP,,9/30/2027,,1.48,1/3/2026,1.51,11/8/2025,1.19,9/17/2025,1.19,8/13/2025,1.24,6/26/2025,1.24,5/13/2025
,,6/30/2027,,1.12,,1.13,,0.85,,0.86,,0.93,,0.94,
,,3/30/2027,,1.13,,1.13,,0.91,,0.92,,0.94,,0.94,
,,12/30/2026,,1.39,,1.36,,1.26,,1.24,,1.12,,1.12,
,,9/30/2026,,1.2,9/17/2025,1.2,9/17/2025,1.19,9/17/2025,1.19,8/13/2025,1.24,6/26/2025,1.24,5/13/2025
,,6/30/2026,,0.88,,0.88,,0.85,,0.86,,0.93,,0.94,
,,3/30/2026,,0.97,,0.97,,0.91,,0.92,,0.94,,0.94,
,,12/30/2025,,1.4,,1.38,,1.26,,1.24,,1.12,,1.12,
,11/4/2025,9/30/2025,0.94,1.76,11/14/2024,1.4,11/14/2024,1.34,11/14/2024,0.99,11/14/2024,0.98,11/14/2024,,
,8/5/2025,6/30/2025,0.7,1.33,,1.24,,1.23,,1.06,,,,,
,5/7/2025,3/30/2025,0.43,1.24,,1.2,,1.2,,1.2,,,,,
,2/5/2025,12/30/2024,1,1.6,,1.57,,1.61,,1.73,,,,,
,11/12/2024,9/30/2024,0.37,1.55,12/29/2023,1.52,12/29/2023,1.53,12/29/2023,1.54,12/29/2023,,,,
,7/30/2024,6/30/2024,0.75,1.21,,1.23,,1.25,,1.47,,,,,
,4/30/2024,3/30/2024,1.14,1.55,,1.53,,1.53,,1.54,,,,,
,1/30/2024,12/30/2023,1.44,1.97,,1.95,,2,,2.3,,,,,
,11/2/2023,9/30/2023,1.52,2.2,,2.1,,2.12,,2.1,,,,,
,8/8/2023,6/30/2023,1.22,1.73,,1.68,,1.7,,2.08,,,,,
,5/8/2023,3/30/2023,1.46,2.02,,2.03,,2.03,,2.25,,,,,
,2/6/2023,12/30/2022,1.93,2.59,,2.59,,2.67,,3.17,,,,,
