CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,
Y,,12/31/2021,,0.51,2/19/2022,0.51,1/17/2022,0.51,12/10/2021,0.51,11/5/2021,0.51,10/10/2021,0.51,9/7/2021,0.46,7/31/2021,0.46,6/28/2021,0.46,5/28/2021,0.47,4/30/2021,0.47,4/4/2021,0.47,3/2/2021
,11/3/2021,9/30/2021,0.51,0.51,,0.51,,0.51,,0.41,,0.41,,0.41,,0.31,,0.31,,0.31,,,,,,,
,7/28/2021,6/30/2021,0.28,0.67,,-0.06,,-0.06,,0.33,,0.33,,0.33,,,,,,,,,,,,,
,4/28/2021,3/31/2021,0.66,0.66,,0.35,,0.35,,,,,,,,,,,,,,,,,,,
,3/1/2021,12/31/2020,0.79,0.7,,0.36,2/8/2021,0.36,1/2/2021,0.36,11/30/2020,0.29,10/29/2020,0.29,10/17/2020,0.29,10/15/2020,,,,,,,,,,
,10/29/2020,9/30/2020,0.63,0.63,,0.3,,0.3,,,,,,,,,,,,,,,,,,,
,7/29/2020,6/30/2020,1,1,,1,,,,,,,,,,,,,,,,,,,,,
,4/30/2020,3/31/2020,0.22,0.22,,0.22,,,,,,,,,,,,,,,,,,,,,
,2/20/2020,12/31/2019,0.2,0.1,,0.2,,,,,,,,,,,,,,,,,,,,,
,10/23/2019,9/30/2019,0.26,0.26,,0.26,,,,,,,,,,,,,,,,,,,,,
,7/30/2019,6/28/2019,0.18,0.18,,0.18,,,,,,,,,,,,,,,,,,,,,
,4/25/2019,3/29/2019,0.16,0.16,,0.16,,,,,,,,,,,,,,,,,,,,,
,2/21/2019,12/31/2018,0.3,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,
,10/25/2018,9/28/2018,0.39,0.39,,0.39,,,,,,,,,,,,,,,,,,,,,
,7/26/2018,6/29/2018,0.25,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,
,5/2/2018,3/29/2018,0.16,0.16,,0.16,,,,,,,,,,,,,,,,,,,,,
,2/22/2018,12/29/2017,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,
,10/26/2017,9/29/2017,0.33,,,0.33,,,,,,,,,,,,,,,,,,,,,
,7/27/2017,6/30/2017,0.29,,,0.29,,,,,,,,,,,,,,,,,,,,,
,4/27/2017,3/31/2017,0.26,,,0.26,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.3,,,0.3,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.17,,,0.17,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.14,,,0.14,,,,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.4,,,0.4,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.48,,,0.48,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.58,,,0.58,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.25,,,0.25,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.08,,,0.08,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.16,,,0.16,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.31,,,0.31,,,,,,,,,,,,,,,,,,,,,
,,6/20/2011,0.15,,,0.15,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.16,,,0.16,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.17,,,0.17,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,,
