CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/24/2022,1/31/2022,-0.04,1.72,,1.94,,1.94,,1.68,,1.93,,1.82,,2.57,,2.45,,2.35,,2.35,,2.33,,2.33,,2.33,5/2/2021,2.29,3/27/2021,2.19,2/28/2021,2.19,1/16/2021,2,1/14/2021,2,,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/23/2021,10/29/2021,4.68,2.37,,2.17,,2.05,,2.3,,2.17,,2,,2,,1.97,,1.93,,1.93,,1.92,,1.89,,1.88,,1.66,,1.66,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/26/2021,7/30/2021,1.05,2.24,,2.03,,2.03,,1.99,,1.93,,1.95,,1.93,,1.95,,1.93,,1.77,,1.77,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/27/2021,4/30/2021,1.13,2.13,,1.57,,1.58,,1.57,,1.63,,1.59,,1.38,,1.38,,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/25/2021,1/29/2021,1.57,2.7,,2.13,,1.68,,1.68,,1.67,,1.76,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/24/2020,10/30/2020,1.08,2.03,,1.38,,1.29,,1.3,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/27/2020,7/31/2020,1.37,1.92,,1.4,,1.38,,1.3,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/28/2020,4/30/2020,0.19,1.34,,0.92,,1.01,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/27/2020,1/31/2020,0.54,2,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/26/2019,11/1/2019,0.657333333,1.75,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/29/2019,8/2/2019,4.466045273,2.15,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/30/2019,5/3/2019,0.379494008,1.46,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/28/2019,2/1/2019,-0.38284251,1.86,,1.81,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/29/2018,10/31/2018,-1.544973545,1.56,,1.55,,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/6/2018,8/3/2018,-1.451499118,1.76,,1.36,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/4/2018,5/4/2018,1.954225352,1.53,,1.53,,1.15,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/8/2018,2/2/2018,-0.507042254,,,1.65,,1.64,,1.59,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/7/2017,10/31/2017,-2.051146384,,,1.34,,1.27,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/7/2017,8/4/2017,-1.96819788,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/8/2017,5/5/2017,-2.567137809,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/29/2016,1.414814815,,,1.414814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/29/2016,0.135802469,,,0.135802469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/2016,-0.382716049,,,-0.382716049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/2015,-0.444444444,,,-0.444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/21/2015,-0.654320988,,,-0.654320988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
