Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,
12/31/2020,0.59,3/8/2020,0.59,,0.62,,0.64,,,,,,,,
9/30/2020,0.64,,0.64,,0.66,,0.67,,,,,,,,
6/30/2020,0.59,,0.59,,0.65,,0.66,,,,,,,,
3/31/2020,0.53,,0.53,,0.55,,0.57,,,,,,,,
12/31/2019,0.56,,0.56,,0.57,,0.61,,0.55,,,,,,
9/30/2019,0.66,,0.66,,0.62,,0.61,,0.6,,0.54,,,,
6/28/2019,0.641740847,,0.61,,0.58,,0.51,,,,,,,,
3/29/2019,0.600173893,,0.51,,0.52,,0.45,,,,,,,,
12/31/2018,0.546609077,,0.54,,0.51,,0.49,,0.5,,0.52,,0.44,,
9/28/2018,0.577729434,,0.55,,0.5,,0.47,,0.46,,0.47,,0.49,,0.4
6/29/2018,0.557361406,,0.48,,0.45,,0.43,,0.44,,0.37,,,,
3/29/2018,0.27135654,,0.35,,0.37,,0.32,,0.35,,0.32,,,,
12/29/2017,-0.374669554,,0.28,,0.3,,0.31,,0.3,,,,,,
9/29/2017,0.26172028,,0.3,,0.29,,0.28,,0.29,,,,,,
6/30/2017,0.333690335,,0.32,,0.3,,0.26,,,,,,,,
3/31/2017,0.298337838,,0.23,,,,,,,,,,,,
12/30/2016,0.363652974,,0.22,,,,,,,,,,,,
9/30/2016,0.298006119,,0.21,,,,,,,,,,,,
6/30/2016,0.153831657,,0.18,,0.2,,,,,,,,,,
3/31/2016,0.008333803,,0.18,,,,,,,,,,,,
12/31/2015,0.108457993,,0.14,,,,,,,,,,,,
9/30/2015,0.049935115,,0.04,,,,,,,,,,,,
6/30/2015,-0.037080442,,-0.02,,,,,,,,,,,,
3/31/2015,0.032764804,,0.01,,,,,,,,,,,,
12/31/2014,0.06,,0.05,,,,,,,,,,,,
9/30/2014,0.08,,0.1,,,,,,,,,,,,
6/30/2014,0.05,,0.06,,,,,,,,,,,,
3/31/2014,0.03,,0.03,,,,,,,,,,,,
12/31/2013,0.02,,0.07,,,,,,,,,,,,
9/30/2013,0.02,,0.05,,,,,,,,,,,,
6/28/2013,0.06,,0.06,,,,,,,,,,,,
3/28/2013,0.04,,0.07,,,,,,,,,,,,
12/31/2012,0.06,,nan,,,,,,,,,,,,
