CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2024,,0.96,9/26/2023,0.97,8/6/2023,1.02,6/15/2023,1.05,5/4/2023,0.9,3/17/2023,0.9,2/10/2023,0.96,1/17/2023,0.97,12/10/2022,0.98,11/3/2022,1.03,10/21/2022,1.03,9/16/2022,1.03,8/13/2022,1.04,7/15/2022,1.03,6/14/2022,1.03,5/11/2022,1.03,4/16/2022,,3/12/2022,1.07,2/6/2022,1.07,2/5/2022,1.05,,1.07,,1.04
,,9/30/2024,,0.8,,0.81,,0.89,,0.91,,0.79,,0.79,,0.84,,0.85,,0.86,,0.91,,0.9,,0.9,,0.91,,0.94,,0.94,,0.94,,,,0.94,,0.94,,0.93,,0.97,,0.95
,,6/30/2024,,0.73,,0.73,,0.84,,0.87,,0.78,,0.78,,0.84,,0.85,,0.85,,0.88,,0.89,,0.88,,0.89,,0.93,,0.93,,0.93,,,,0.95,,0.95,,0.93,,0.91,,0.9
,,3/30/2024,,0.61,,0.63,,0.7,,0.71,,0.74,,0.74,,0.76,,0.78,,0.78,,0.77,,0.8,,0.81,,0.81,,0.81,,0.83,,0.83,,,,0.8,,0.8,,0.79,,0.81,,0.78
,,12/31/2023,,0.68,3/17/2023,0.72,3/17/2023,0.84,3/17/2023,0.86,3/17/2023,0.9,3/17/2023,0.9,2/10/2023,0.96,1/17/2023,0.97,12/10/2022,0.98,11/3/2022,1.03,10/21/2022,1.03,9/16/2022,1.03,8/13/2022,1.04,7/15/2022,1.03,6/14/2022,1.03,5/11/2022,1.03,4/16/2022,,3/12/2022,1.07,2/6/2022,1.07,2/5/2022,1.05,,1.07,,1.04
,,9/30/2023,,0.52,,0.57,,0.71,,0.74,,0.79,,0.79,,0.84,,0.85,,0.86,,0.91,,0.9,,0.9,,0.91,,0.94,,0.94,,0.94,,,,0.94,,0.94,,0.93,,0.97,,0.95
,8/3/2023,6/30/2023,0.47,0.52,,0.64,,0.7,,0.78,,0.78,,0.84,,0.85,,0.85,,0.88,,0.89,,0.88,,0.89,,0.93,,0.93,,0.93,,,,0.95,,0.95,,0.93,,0.91,,0.9,,
,5/3/2023,3/30/2023,0.55,0.6,,0.74,,0.74,,0.76,,0.78,,0.78,,0.77,,0.8,,0.81,,0.81,,0.81,,0.83,,0.83,,,,0.8,,0.8,,0.79,,0.81,,0.78,,,,,,
,2/7/2023,12/30/2022,0.94,0.99,,0.93,,0.94,,0.97,,1.03,,1.07,,1.07,,1.07,,1.07,,1.07,,1.08,,1.08,,1.07,2/6/2022,1.07,2/5/2022,1.05,,1.07,,1.04,,,,,,,,,,
,11/2/2022,9/30/2022,0.86,0.9,,0.97,,0.99,,0.99,,0.97,,0.98,,0.99,,0.97,,0.97,,0.94,,0.94,,0.93,,0.97,,0.95,,,,,,,,,,,,,,,,
,8/3/2022,6/30/2022,1.12,0.87,,1.03,,1.03,,1.03,,0.99,,0.99,,0.95,,0.95,,0.93,,0.91,,0.9,,,,,,,,,,,,,,,,,,,,,,
,5/3/2022,3/31/2022,0.82,0.96,,0.86,,0.86,,0.8,,0.8,,0.79,,0.81,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3/2022,12/31/2021,1.148347046,1.13,,0.96,,0.95,,1.05,,0.88,,0.75,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/28/2021,9/30/2021,0.939956364,0.79,,0.95,,0.81,,0.66,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,1.06,0.86,,0.87,,0.76,,0.69,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/28/2021,3/31/2021,0.681588321,0.68,,0.63,,0.62,,0.53,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/4/2021,12/31/2020,0.87759949,0.89,,0.79,,0.78,,0.72,,0.62,,0.67,,0.62,,0.72,,0.74,,0.790651341,,,,,,,,,,,,,,,,,,,,,,,,
,10/28/2020,9/30/2020,0.666676266,0.69,,0.66,,0.61,,0.47,,0.54,,0.55,,0.6,,0.65,,0.708505747,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2020,6/30/2020,0.563116584,0.62,,0.4,,0.38,,0.45,,0.54,,0.62,,0.67,,0.687969349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/28/2020,3/31/2020,0.33185364,0.4,,0.35,,0.36,,0.42,,0.48,,0.5,,0.503141762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5/2020,12/31/2019,0.69560977,0.67,,0.6,,0.62,,0.68,,0.75,,0.77,,0.74,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/24/2019,9/30/2019,0.560344828,0.57,,0.59,,0.6,,0.68,,0.69,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/25/2019,6/28/2019,0.619775943,0.63,,0.64,,0.67,,0.66,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/25/2019,3/29/2019,0.511335941,0.52,,0.48,,0.49,,0.46,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/6/2019,12/31/2018,0.767023729,0.75,,0.69,,0.68,,0.65,,0.45,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/18/2018,9/28/2018,0.662197569,0.64,,0.6,,0.58,,0.4,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/23/2018,6/29/2018,0.528683542,0.61,,0.5,,0.37,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/19/2018,3/29/2018,0.382642319,0.38,,0.36,,0.29,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,1.94238921,,,0.39,,0.38,,0.36,,0.37,,0.38,,0.3,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.310147243,,,0.32,,0.29,,0.3,,0.32,,0.33,,0.36,,0.48,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.320297412,,,0.27,,0.28,,0.3,,0.32,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.221113366,,,0.2,,0.21,,0.26,,0.31,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.301065621,,,0.26,,0.27,,0.35,,0.47,,0.5,,0.51,,0.53,,0.54,,0.26,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.261307921,,,0.26,,0.3,,0.43,,0.46,,0.48,,0.47,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.252964099,,,0.23,,0.4,,0.43,,0.46,,0.47,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.277694083,,,0.32,,0.34,,0.35,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.506069017,,,0.46,,0.47,,0.44,,0.43,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.442561881,,,0.43,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.439743731,,,0.42,,0.41,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.319015191,,,0.31,,0.29,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.451108843,,,0.38,,0.37,,0.38,,0.46,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.358880106,,,0.36,,0.45,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.353072441,,,0.35,,0.36,,0.43,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.195970971,,,0.21,,0.25,,0.29,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.303177381,,,0.29,,0.4,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.290360031,,,0.29,,0.39,,0.41,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.351096497,,,0.37,,0.4,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.237334309,,,0.28,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.353079474,,,0.35,,0.37,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.342133569,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.417915327,,,0.42,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.289480856,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.400714978,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.403899988,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.375728778,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.222770653,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.331218152,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.331285483,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.287630382,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.149369357,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.249795352,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.263375399,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.176253298,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.09585233,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.26,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.31,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.25,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.12,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.22,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.3,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.3,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.21,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.31,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.31,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.35,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.27,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.36,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.3,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.31,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.25,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.32,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.3,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.27,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.19,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.26,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.25,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.24,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.15,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.22,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.21,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.2,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.128,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.168,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.152,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.152,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.12,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.156,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.156,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.162,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.132,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.162,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.216,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.222,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.162,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.198,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.198,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.186,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.138,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.174,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.18,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.156,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.114,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.18,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.186,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.162,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.114,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/1995,0.162,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/1995,0.162,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.138,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1995,0.12,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/1994,0.152,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1994,0.164,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1994,0.148,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1994,0.112,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1993,0.124,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1993,0.148,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1993,0.144,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
