CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,,12/31/2025,,2.01,5/4/2024,1.87,4/9/2024,1.94,2/24/2024,2.13,1/31/2024,2.13,12/29/2023,2.15,11/3/2023,2.48,9/26/2023,2.6,8/6/2023,2.65,6/19/2023,2.73,5/7/2023,,4/4/2023,2.34,2/23/2023,2.33,2/13/2023,2.47,1/6/2023,2.49,11/28/2022,2.56,11/27/2022,3.37,,3.39,,3.8725
,,9/30/2025,,2.47,,2.27,,2.3,,2.42,,2.48,,2.57,,2.84,,2.98,,3.19,,3.26,,,,2.8,,2.87,,2.97,,2.98,,2.99,,4,,4.09,,3.8725
,,6/30/2025,,2.58,,1.88,,1.89,,2.04,,2.11,,2.22,,2.59,,2.79,,3.19,,3.18,,,,2.74,,2.83,,2.92,,2.93,,3.18,,4.07,,4.25,,3.8725
,,3/30/2025,,2.01,,1.02,,1,,1.35,,1.35,,1.63,,1.95,,2.42,,2.74,,2.72,,,,2.24,,2.35,,2.38,,2.36,,2.68,,3.56,,3.63,,3.8725
,,12/31/2024,,1.78,4/9/2024,1.87,4/9/2024,1.94,2/24/2024,2.13,1/31/2024,2.13,12/29/2023,2.15,11/3/2023,2.48,9/26/2023,2.6,8/6/2023,2.65,6/19/2023,2.73,5/7/2023,,4/4/2023,2.34,2/23/2023,2.33,2/13/2023,2.47,1/6/2023,2.49,11/28/2022,2.56,11/27/2022,3.37,,3.39,,3.8725
,,9/30/2024,,2.21,,2.27,,2.3,,2.42,,2.48,,2.57,,2.84,,2.98,,3.19,,3.26,,,,2.8,,2.87,,2.97,,2.98,,2.99,,4,,4.09,,3.8725
,,6/30/2024,,1.9,,1.88,,1.89,,2.04,,2.11,,2.22,,2.59,,2.79,,3.19,,3.18,,,,2.74,,2.83,,2.92,,2.93,,3.18,,4.07,,4.25,,3.8725
,5/1/2024,3/30/2024,1.34,1.34,,1.02,,1,,1.35,,1.35,,1.63,,1.95,,2.42,,2.74,,2.72,,,,2.24,,2.35,,2.38,,2.36,,2.68,,3.56,,3.63,,3.8725
,2/20/2024,12/29/2023,-3.86,0.72,4/4/2023,0.88,4/4/2023,0.86,4/4/2023,1.21,4/4/2023,1.53,4/4/2023,1.8,4/4/2023,2.11,4/4/2023,2.26,4/4/2023,2.35,4/4/2023,2.34,2/23/2023,2.33,2/13/2023,2.47,1/6/2023,2.49,11/28/2022,2.56,11/27/2022,3.37,,3.39,,3.8725,,,,
,11/2/2023,9/29/2023,2.2,2.2,,2.04,,2.39,,2.73,,2.77,,2.77,,2.8,,2.87,,2.97,,2.98,,2.99,,4,,4.09,,3.8725,,,,,,,,,,
,8/3/2023,6/30/2023,2.31,2.31,,3.04,,2.81,,2.68,,2.74,,2.83,,2.92,,2.93,,3.18,,4.07,,4.25,,3.8725,,,,,,,,,,,,,,
,5/4/2023,3/31/2023,3.05,3.05,,2.17,,2.24,,2.35,,2.38,,2.36,,2.68,,3.56,,3.63,,3.8725,,,,,,,,,,,,,,,,,,
,2/21/2023,12/30/2022,1.79,1.79,,2.28,,2.29,,2.31,,2.95,,3.98,,4.05,,3.83,,2.87,,2.83,,2.21,,1.6,,,,,,,,,,,,,,
,11/3/2022,9/30/2022,3.1,3.1,,4.3,,5.13,,5.21,,4.5,,3.38,,3.3,,2.44,,1.98,,,,,,,,,,,,,,,,,,,,
,8/2/2022,6/30/2022,6.6,6.65,,5.98,,6,,4.92,,3.78,,3.63,,2.68,,2.11,,,,,,,,,,,,,,,,,,,,,,
,5/3/2022,3/31/2022,5.83,5.83,,4.63,,3.59,,3.28,,2.6,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/22/2022,12/31/2021,4.98,4.98,,4.49,,4.27,,2.98,,2.16,,0.57,,0.52,,0.890712074,,,,,,,,,,,,,,,,,,,,,,
,11/2/2021,9/30/2021,4.690685992,4.69,,3.96,,3.83,,2.81,,0.83,,1.208823529,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2021,6/30/2021,4.034828015,4.04,,3.52,,3.31,,0.73,,1.094303406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2021,3/31/2021,1.883512196,1.87,,1.54,,0.46,,0.8525387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/23/2021,12/31/2020,0.882198696,0.87,,0.73,,0.42,,0.3,,0.7,,1.13,,1.23,,1.85,,2.176501548,,2.116087613,,,,,,,,,,,,,,,,,,
,11/3/2020,9/30/2020,0.445472915,0.64,,0.46,,0.49,,0.32,,0.95,,1.33,,1.52,,2.09,,2.41250774,,2.372583082,,,,,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,0.109525916,0.11,,0,,0.86,,1.22,,1.36,,1.93,,2.281393189,,2.295634441,,,,,,,,,,,,,,,,,,,,,,
,5/4/2020,3/31/2020,1.128905675,0.65,,0.57,,0.67,,1.02,,1.03,,1.54,,1.638931889,,1.705694864,,,,,,,,,,,,,,,,,,,,,,
,2/18/2020,12/31/2019,0.559191626,0.37,,0.87,,0.94,,0.99,,1.43,,1.66,,1.65,,1.76,,2.02,,1.99,,2.21,,2.13,,,,,,,,,,,,,,
,11/5/2019,9/30/2019,1.229071174,1.25,,1.03,,1.11,,1.6,,1.84,,1.85,,1.98,,2.29,,2.26,,2.39,,2.29,,2.28,,,,,,,,,,,,,,
,8/6/2019,6/28/2019,0.92355212,0.93,,0.9,,1.36,,1.74,,1.79,,2.04,,2.23,,2.22,,2.38,,2.3,,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,0.553846154,0.71,,1.25,,1.32,,1.33,,1.94,,1.97,,1.95,,2.19,,2.16,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.946153846,,,1.67,,1.87,,1.82,,1.83,,2.12,,2.04,,2,,1.18,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,2.351145038,,,2.09,,2.42,,2.27,,2.2,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,
