CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2025,,9.45,11/2/2024,10.11,10/14/2024,10.7,9/8/2024,10.67,7/27/2024,10.66,6/15/2024,10.24,4/27/2024,8.95,3/17/2024,10.21,2/3/2024,10.71,1/14/2024,10.71,12/6/2023,9.97,10/28/2023,9.68,10/7/2023,10.27,8/30/2023,9.55,7/27/2023,9.39,7/14/2023,9.39,6/8/2023,9.39,4/28/2023,,4/10/2023,9.27,3/3/2023,9.19,1/27/2023,9.39,1/6/2023,9.39,12/1/2022,9.95,10/29/2022,9.59,10/5/2022,9.72,9/2/2022,9.72,7/31/2022,9.2,7/5/2022,9.2,6/3/2022,8.81,5/1/2022,8.81,4/16/2022,,3/14/2022,9.41,2/11/2022,8.19,1/7/2022,8.19,12/6/2021,8.28,10/31/2021,7.64,10/7/2021,7.39,9/1/2021,6.03,7/31/2021,5.45,5/31/2021,4.89,5/1/2021,4.89,4/5/2021
,,9/30/2025,,10.84,,11.32,,11.42,,11.2,,11.25,,10.47,,10.16,,11.13,,11.24,,11.24,,10.47,,10.36,,11.08,,10.05,,9.86,,9.66,,9.66,,,,9.81,,9.76,,10.11,,10.11,,10.5,,10.32,,10.31,,10.31,,9.56,,9.56,,9.12,,9.12,,,,9.64,,8.69,,8.69,,8.72,,8.45,,8.19,,6.67,,5.75,,5.44,,5.44,
,,6/30/2025,,10.42,,10.72,,11.09,,10.84,,10.83,,10.21,,10.17,,11.11,,11.3,,11.3,,10.43,,10.36,,11.18,,9.96,,9.81,,9.81,,9.81,,,,10.22,,10.22,,10.56,,10.56,,10.69,,10.37,,10.22,,10.22,,9.8,,9.8,,9.27,,9.27,,,,9.86,,9.26,,9.26,,8.59,,8.84,,8.32,,6.79,,5.6,,4.96,,4.96,
,,3/30/2025,,9.29,,9.84,,10.15,,9.8,,9.79,,8.99,,9.48,,10.45,,10.75,,10.75,,9.96,,9.96,,10.76,,9.63,,9.38,,9.38,,9.38,,,,9.84,,9.86,,10.22,,10.22,,10.01,,9.85,,9.88,,9.88,,9.75,,9.75,,9.18,,9.18,,,,9.23,,8.58,,8.58,,7.65,,7.93,,7.47,,6.26,,5.22,,4.52,,4.52,
,,12/31/2024,,9.49,3/17/2024,9.71,3/17/2024,9.93,3/17/2024,9.43,3/17/2024,9.37,3/17/2024,9.11,3/17/2024,8.95,3/17/2024,10.21,2/3/2024,10.71,1/14/2024,10.71,12/6/2023,9.97,10/28/2023,9.68,10/7/2023,10.27,8/30/2023,9.55,7/27/2023,9.39,7/14/2023,9.39,6/8/2023,9.39,4/28/2023,,4/10/2023,9.27,3/3/2023,9.19,1/27/2023,9.39,1/6/2023,9.39,12/1/2022,9.95,10/29/2022,9.59,10/5/2022,9.72,9/2/2022,9.72,7/31/2022,9.2,7/5/2022,9.2,6/3/2022,8.81,5/1/2022,8.81,4/16/2022,,3/14/2022,9.41,2/11/2022,8.19,1/7/2022,8.19,12/6/2021,8.28,10/31/2021,7.64,10/7/2021,7.39,9/1/2021,6.03,7/31/2021,5.45,5/31/2021,4.89,5/1/2021,4.89,4/5/2021
,10/30/2024,9/30/2024,8.69,9.9,,10.14,,10.39,,10.28,,10.3,,10.19,,10.16,,11.13,,11.24,,11.24,,10.47,,10.36,,11.08,,10.05,,9.86,,9.66,,9.66,,,,9.81,,9.76,,10.11,,10.11,,10.5,,10.32,,10.31,,10.31,,9.56,,9.56,,9.12,,9.12,,,,9.64,,8.69,,8.69,,8.72,,8.45,,8.19,,6.67,,5.75,,5.44,,5.44,
,7/24/2024,6/30/2024,10.17,9.8,,10.06,,10.06,,10.17,,11.11,,11.3,,11.3,,10.43,,10.36,,11.18,,9.96,,9.81,,9.81,,9.81,,,,10.22,,10.22,,10.56,,10.56,,10.69,,10.37,,10.22,,10.22,,9.8,,9.8,,9.27,,9.27,,,,9.86,,9.26,,9.26,,8.59,,8.84,,8.32,,6.79,,5.6,,4.96,,4.96,,,,,,,
,4/24/2024,3/30/2024,10.8,9.53,,9.48,,10.45,,10.75,,10.75,,9.96,,9.96,,10.76,,9.63,,9.38,,9.38,,9.38,,,,9.84,,9.86,,10.22,,10.22,,10.01,,9.85,,9.88,,9.88,,9.75,,9.75,,9.18,,9.18,,,,9.23,,8.58,,8.58,,7.65,,7.93,,7.47,,6.26,,5.22,,4.52,,4.52,,,,,,,,,,,
,1/31/2024,12/31/2023,7.87,9.5,4/10/2023,10.48,4/10/2023,10.54,4/10/2023,10.28,4/10/2023,10.2,4/10/2023,10.09,4/10/2023,9.58,4/10/2023,9.43,4/10/2023,9.37,4/10/2023,9.1,4/10/2023,9.27,4/10/2023,9.27,3/3/2023,9.19,1/27/2023,9.39,1/6/2023,9.39,12/1/2022,9.95,10/29/2022,9.59,10/5/2022,9.72,9/2/2022,9.72,7/31/2022,9.2,7/5/2022,9.2,6/3/2022,8.81,5/1/2022,8.81,4/16/2022,,3/14/2022,9.41,2/11/2022,8.19,1/7/2022,8.19,12/6/2021,8.28,10/31/2021,7.64,10/7/2021,7.39,9/1/2021,6.03,7/31/2021,5.45,5/31/2021,4.89,5/1/2021,4.89,4/5/2021,,,,,,,,,,,,,,
,10/25/2023,9/30/2023,11.65,12.07,,11.37,,11.27,,10.53,,10.26,,10.26,,9.78,,9.81,,9.81,,9.76,,10.11,,10.11,,10.5,,10.32,,10.31,,10.31,,9.56,,9.56,,9.12,,9.12,,,,9.64,,8.69,,8.69,,8.72,,8.45,,8.19,,6.67,,5.75,,5.44,,5.44,,,,,,,,,,,,,,,,,,,,,
