CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,,,,,,,,,,,,,
,7/31/2019,6/28/2019,1.1,,1.77,,1.86,,1.95,2.05,2.21,2.12,2.21,,,,,,,,,,,,,,,,,,,,
,5/7/2019,3/29/2019,0.520607375,,1.64,,1.74,,1.98,2.05,1.91,1.9,,,,,,,,,,,,,,,,,,,,,
,2/28/2019,12/31/2018,0.907216495,,1.32,,1.48,,1.93,1.86,1.69,1.58,1.47,1.78,1.8,1.87,,,,,,,,,,,,,,,,,
,11/7/2018,9/28/2018,-1.735072394,,1.8,,1.88,,1.91,1.81,1.69,1.57,1.3,1.33,1.36,,,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,0.394855612,,1.82,,1.93,,1.94,1.82,1.92,1.73,1.71,1.36,1.32,,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,1.317695745,,1.54,,1.48,,1.4,1.44,1.33,1.36,1.47,,,,,,,,,,,,,,,,,,,,
,2/27/2018,12/29/2017,3.951430034,,1.16,,1.48,,1.57,1.59,1.58,1.56,1.76,1.73,1.72,1.54,1.44,1.11,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,1.47086205,,1.16,,1.23,,1.22,1.21,1.2,1.23,1.25,1.22,1.27,,,,,,,,,,,,,,,,,,
,8/3/2017,6/30/2017,1.583264795,,1.27,,1.28,,1.21,1.14,1.17,1.18,,,,,,,,,,,,,,,,,,,,,
,5/4/2017,3/31/2017,1.207885305,,1.18,,1.1,,1.11,1.06,1.11,1.74,,,,,,,,,,,,,,,,,,,,,
,2/23/2017,12/30/2016,1.795977219,,1.74,,1.77,,1.76,1.49,1.34,1.32,1.12,1.19,1.24,1.05,0.99,1.15,,,,,,,,,,,,,,,
,10/13/2016,9/9/2016,0.968460983,,1.15,,1.14,,1.13,1.07,1.08,0.96,0.95,0.98,1.07,1.06,1.02,,,,,,,,,,,,,,,,
,7/21/2016,6/17/2016,1.259242561,,1.02,,1.05,,1.06,1,0.97,0.95,1.01,1.02,0.96,,,,,,,,,,,,,,,,,,
,4/28/2016,3/24/2016,0.823481781,,0.96,,0.97,,0.95,1,0.94,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,1.059175001,,0.92,,0.91,,0.86,0.82,0.83,0.73,0.67,0.63,0.59,0.64,,,,,,,,,,,,,,,,,
,,9/11/2015,0.67091011,,0.87,,0.9,,0.89,0.9,0.91,0.92,0.91,0.92,0.88,0.87,,,,,,,,,,,,,,,,,
