Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
,2/28/2022,0.637555556,5/22/2020,0.637555556,5/20/2020,,,,,,,,,,,,,,,
,11/30/2021,0.914099617,,0.914099617,,,,,,,,,,,,,,,,
,8/31/2021,0.601685824,,0.601685824,,,,,,,,,,,,,,,,
,5/28/2021,0.705823755,,0.705823755,,,,,,,,,,,,,,,,
,2/26/2021,0.51,,0.51,,0.64,,0.72,,0.81,,0.78,,,,,,,,
,11/30/2020,0.79,,0.79,,0.92,,0.89,,0.88,,0.83,,,,,,,,
,8/31/2020,0.52,,0.52,,0.64,,0.62,,0.65,,,,,,,,,,
,5/29/2020,0.61,,0.61,,0.81,,0.82,,0.83,,,,,,,,,,
4/29/2020,2/28/2020,-0.40608188,,0.51,,0.55,,0.53,,0.59,,0.63,,0.76,,0.69,,,,
1/9/2020,11/29/2019,0.83901306,,0.81,,0.78,,0.77,,0.74,,0.71,,0.75,,0.85,,0.76,,
12/5/2019,8/30/2019,0.592189403,,0.56,,0.55,,0.56,,0.6,,0.61,,0.56,,,,,,
7/8/2019,5/31/2019,0.812583515,,0.68,,0.62,,0.64,,0.69,,0.76,,0.7,,,,,,
5/17/2019,2/28/2019,0.338431537,,0.47,,0.52,,0.54,,0.53,,0.55,,0.68,,,,,,
1/8/2019,11/30/2018,0.588696417,,0.61,,0.6,,0.59,,0.57,,0.84,,0.93,,,,,,
10/9/2018,8/31/2018,0.430953202,,0.47,,0.42,,0.55,,0.71,,,,,,,,,,
7/3/2018,5/31/2018,0.603748944,,0.49,,0.68,,0.72,,,,,,,,,,,,
5/15/2018,2/28/2018,0.903415647,,0.48,,0.68,,0.72,,0.69,,0.76,,,,,,,,
,11/30/2017,-0.006393222,,0.44,,0.83,,0.86,,0.85,,0.99,,1.07,,,,,,
10/3/2017,8/31/2017,0.375864188,,0.57,,0.58,,0.57,,0.56,,0.73,,0.82,,,,,,
7/6/2017,5/31/2017,0.462269574,,0.7,,0.84,,0.83,,0.9,,0.95,,,,,,,,
4/20/2017,2/28/2017,0.469934891,,0.63,,0.74,,0.73,,,,,,,,,,,,
1/6/2017,11/30/2016,0.63697241,,0.92,,0.97,,1.01,,1.02,,1.05,,1.04,,1.03,,,,
10/5/2016,8/31/2016,0.388950572,,0.72,,0.73,,0.75,,0.77,,0.87,,0.89,,,,,,
7/5/2016,5/31/2016,0.852013977,,0.84,,0.87,,0.86,,0.9,,0.95,,,,,,,,
,2/29/2016,0.584192704,,0.67,,0.7,,0.72,,0.67,,,,,,,,,,
,11/30/2015,0.878546406,,0.91,,0.89,,0.87,,0.85,,0.86,,0.75,,0.82,,0.93,,
,8/31/2015,0.5734897,,0.68,,0.67,,0.68,,0.82,,0.77,,0.8,,,,,,
,5/29/2015,0.876730338,,0.7,,0.68,,0.67,,0.77,,0.84,,0.8,,0.73,,,,
,2/27/2015,0.631309607,,0.59,,0.67,,0.69,,0.68,,0.76,,,,,,,,
,11/28/2014,0.774030237,,0.74,,0.75,,0.77,,0.72,,1.01,,1.21,,1.2,,0.81,,0.64
,8/29/2014,0.534548761,,0.63,,0.64,,0.6,,0.76,,0.82,,0.81,,1.2,,0.54,,
,5/30/2014,0.579864629,,0.54,,0.58,,0.63,,0.77,,0.85,,0.81,,0.44,,,,
,2/28/2014,0.398196027,,0.42,,0.43,,0.55,,0.61,,0.62,,0.66,,0.64,,0.7,,0.71
,11/29/2013,0.71714619,,0.74,,0.72,,0.95,,0.91,,0.82,,0.65,,,,,,
,8/30/2013,0.63758304,,0.66,,0.68,,0.79,,0.81,,0.61,,,,,,,,
,5/31/2013,0.566803039,,0.63,,0.66,,0.65,,0.63,,0.49,,,,,,,,
,2/28/2013,0.516247318,,0.48,,0.55,,0.57,,,,,,,,,,,,
,11/29/2012,0.600089209,,0.61,,,,,,,,,,,,,,,,
,8/30/2012,0.622262191,,0.52,,,,,,,,,,,,,,,,
,5/30/2012,0.628034886,,0.41,,,,,,,,,,,,,,,,
,2/28/2012,0.457884389,,0.41,,,,,,,,,,,,,,,,
,11/29/2011,0.394927462,,nan,,,,,,,,,,,,,,,,
,8/31/2011,0.38,,nan,,,,,,,,,,,,,,,,
,5/31/2011,0.3743,,nan,,,,,,,,,,,,,,,,
,2/28/2011,0.365,,nan,,,,,,,,,,,,,,,,
,11/30/2010,0.385,,nan,,,,,,,,,,,,,,,,
,8/31/2010,0.385,,nan,,,,,,,,,,,,,,,,
,5/28/2010,0.255,,nan,,,,,,,,,,,,,,,,
,2/26/2010,0.32,,nan,,,,,,,,,,,,,,,,
,11/30/2009,0.35,,nan,,,,,,,,,,,,,,,,
,8/31/2009,0.445,,nan,,,,,,,,,,,,,,,,
,5/29/2009,0.4,,nan,,,,,,,,,,,,,,,,
,2/27/2009,0.405,,nan,,,,,,,,,,,,,,,,
,11/28/2008,0.44,,nan,,,,,,,,,,,,,,,,
,8/29/2008,0.46,,nan,,,,,,,,,,,,,,,,
,5/30/2008,0.41,,nan,,,,,,,,,,,,,,,,
,2/28/2008,0.3,,nan,,,,,,,,,,,,,,,,
,11/30/2007,0.33,,nan,,,,,,,,,,,,,,,,
,8/31/2007,0.33,,nan,,,,,,,,,,,,,,,,
,5/31/2007,0.17,,nan,,,,,,,,,,,,,,,,
,2/28/2007,0.29,,nan,,,,,,,,,,,,,,,,
,11/30/2006,0.22,,nan,,,,,,,,,,,,,,,,
,8/31/2006,0.23,,nan,,,,,,,,,,,,,,,,
,5/31/2006,0.18,,nan,,,,,,,,,,,,,,,,
,2/28/2006,0.118421053,,nan,,,,,,,,,,,,,,,,
,11/30/2005,0.078947368,,nan,,,,,,,,,,,,,,,,
,8/31/2005,0.063157895,,nan,,,,,,,,,,,,,,,,
,5/31/2005,0.1,,nan,,,,,,,,,,,,,,,,
,2/28/2005,0.068421053,,nan,,,,,,,,,,,,,,,,
,11/30/2004,0.057894737,,nan,,,,,,,,,,,,,,,,
,8/31/2004,0.042105263,,nan,,,,,,,,,,,,,,,,
,5/28/2004,0.060526316,,nan,,,,,,,,,,,,,,,,
,2/27/2004,0.057894737,,nan,,,,,,,,,,,,,,,,
,11/28/2003,0.055263158,,nan,,,,,,,,,,,,,,,,
,8/29/2003,0.05,,nan,,,,,,,,,,,,,,,,
,5/30/2003,0.044736842,,nan,,,,,,,,,,,,,,,,
,2/28/2003,0.071052632,,nan,,,,,,,,,,,,,,,,
,11/29/2002,0.097368421,,nan,,,,,,,,,,,,,,,,
,8/30/2002,0.128947368,,nan,,,,,,,,,,,,,,,,
,5/31/2002,0.128947368,,nan,,,,,,,,,,,,,,,,
,2/28/2002,0.086842105,,nan,,,,,,,,,,,,,,,,
,11/30/2001,0.102631579,,nan,,,,,,,,,,,,,,,,
,8/31/2001,0.094736842,,nan,,,,,,,,,,,,,,,,
,5/31/2001,0.113157895,,nan,,,,,,,,,,,,,,,,
,2/28/2001,0.110526316,,nan,,,,,,,,,,,,,,,,
,11/30/2000,0.110526316,,nan,,,,,,,,,,,,,,,,
,8/31/2000,0.107894737,,nan,,,,,,,,,,,,,,,,
,5/31/2000,0.1,,nan,,,,,,,,,,,,,,,,
,2/28/2000,0.1,,nan,,,,,,,,,,,,,,,,
,11/30/1999,0.097368421,,nan,,,,,,,,,,,,,,,,
,8/31/1999,0.086842105,,nan,,,,,,,,,,,,,,,,
,5/28/1999,0.078947368,,nan,,,,,,,,,,,,,,,,
,2/26/1999,0.036842105,,nan,,,,,,,,,,,,,,,,
,11/30/1998,0.055263158,,nan,,,,,,,,,,,,,,,,
,8/31/1998,0.065789474,,nan,,,,,,,,,,,,,,,,
,5/29/1998,0.068421053,,nan,,,,,,,,,,,,,,,,
,2/27/1998,0.115789474,,nan,,,,,,,,,,,,,,,,
,11/28/1997,0.055263158,,nan,,,,,,,,,,,,,,,,
,8/29/1997,0.071052632,,nan,,,,,,,,,,,,,,,,
,5/30/1997,0.071052632,,nan,,,,,,,,,,,,,,,,
,2/28/1997,0.057894737,,nan,,,,,,,,,,,,,,,,
,11/29/1996,0.052631579,,nan,,,,,,,,,,,,,,,,
,8/30/1996,0.042105263,,nan,,,,,,,,,,,,,,,,
,5/31/1996,0.042105263,,nan,,,,,,,,,,,,,,,,
,2/29/1996,0.031578947,,nan,,,,,,,,,,,,,,,,
,11/30/1995,0.034210526,,nan,,,,,,,,,,,,,,,,
,8/31/1995,0.026315789,,nan,,,,,,,,,,,,,,,,
,5/31/1995,0.026315789,,nan,,,,,,,,,,,,,,,,
,2/28/1995,-0.015789474,,nan,,,,,,,,,,,,,,,,
,11/30/1994,0.023684211,,nan,,,,,,,,,,,,,,,,
,8/31/1994,0.031578947,,nan,,,,,,,,,,,,,,,,
