Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,12/31/2020,1.65,3/28/2020,1.73,2/27/2020,1.72,2/10/2020,1.71,1/11/2020,1.63,10/30/2019,1.59,,1.59,,1.557303371,,,
,9/30/2020,1.57,,1.75,,1.73,,1.72,,1.74,,1.83,,1.83,,1.802022472,,,
,6/30/2020,1.34,,1.58,,1.67,,1.56,,1.56,,1.52,,1.52,,1.579550562,,,
,3/31/2020,1,,1.08,,1.12,,1.12,,1.1,,1.11,,1.11,,1.1,,1.012247191,
2/26/2020,12/31/2019,1.86,,1.56,,1.57,,1.53,,1.41,,1.41,,1.4,,1.41,1.44,1.38,2.06
10/30/2019,9/30/2019,1.53,,1.53,,1.61,,1.61,,1.62,,1.59,1.6,1.62,1.56,1.54,2.4,,
7/30/2019,6/28/2019,1.329046088,,1.36,,1.37,,1.41,,1.42,1.38,1.4,1.37,1.33,2.02,,,,
5/1/2019,3/29/2019,0.844772967,,0.91,,0.95,,0.94,,0.95,0.94,0.91,1.41,,,,,,
2/26/2019,12/31/2018,1.158221303,,1.27,,1.26,,1.32,,1.23,1.83,1.69,1.62,1.47,1.49,1.47,,,
11/1/2018,9/28/2018,1.487437186,,1.42,,2.12,,2.37,,2.29,2.25,2.31,2.29,,,,,,
8/8/2018,6/29/2018,3.768693918,,1.21,,1.8,,1.86,,1.64,1.69,1.7,1.73,,,,,,
5/2/2018,3/29/2018,0.336633663,,1.28,,1.33,,1.18,,1.19,1.21,,,,,,,,
2/14/2018,12/29/2017,4.401960784,,1.35,,1.49,,1.44,,1.41,1.35,1.32,1.34,1.4,1.38,1.26,1.2,2.11,
10/25/2017,9/29/2017,1.972789116,,2.02,,2.09,,2.1,,2.13,2.11,2.1,2.09,2.07,2.06,2.15,2.12,,
8/2/2017,6/30/2017,0.747126437,,1.5,,1.55,,1.57,,1.55,1.52,1.5,1.55,,,,,,
4/26/2017,3/31/2017,1.330188679,,1.11,,1.22,,1.21,,1.2,1.19,1.17,,,,,,,
2/15/2017,12/30/2016,1.351851852,,1.3,,1.29,,1.3,,1.33,1.19,1.14,1.08,1.11,,,,,
10/26/2016,9/30/2016,1.781818182,,1.87,,1.89,,2.01,,1.98,1.93,1.92,1.9,,,,,,
7/27/2016,6/30/2016,1.392857143,,1.37,,1.39,,1.46,,1.43,1.45,,,,,,,,
4/26/2016,3/31/2016,0.842105263,,1.11,,1.12,,,,,,,,,,,,,
,12/31/2015,1.206896552,,0.97,,0.98,,,,,,,,,,,,,
,9/30/2015,1.610169492,,1.68,,,,,,,,,,,,,,,
,6/30/2015,1.325,,1.26,,,,,,,,,,,,,,,
,3/31/2015,1,,0.92,,,,,,,,,,,,,,,
,12/31/2014,0.653225806,,0.84,,,,,,,,,,,,,,,
,9/30/2014,1.626984127,,1.63,,,,,,,,,,,,,,,
,6/30/2014,1.1953125,,1.14,,,,,,,,,,,,,,,
,3/31/2014,0.692307692,,0.75,,,,,,,,,,,,,,,
,12/31/2013,0.65648855,,0.73,,,,,,,,,,,,,,,
,9/30/2013,1.406015038,,1.36,,,,,,,,,,,,,,,
,6/28/2013,0.977941176,,0.91,,,,,,,,,,,,,,,
,3/28/2013,0.195652174,,0.67,,,,,,,,,,,,,,,
,12/31/2012,0.574468085,,0.6,,,,,,,,,,,,,,,
,9/28/2012,1.104166667,,1.1,,,,,,,,,,,,,,,
,6/29/2012,0.870748299,,0.84,,,,,,,,,,,,,,,
,3/30/2012,0.214765101,,0.55,,,,,,,,,,,,,,,
,12/30/2011,0.363636364,,,,,,,,,,,,,,,,,
,9/30/2011,1.080246914,,,,,,,,,,,,,,,,,
,6/30/2011,0.670588235,,,,,,,,,,,,,,,,,
,3/31/2011,0.402234637,,,,,,,,,,,,,,,,,
,12/31/2010,0.428571429,,,,,,,,,,,,,,,,,
,9/30/2010,0.847826087,,,,,,,,,,,,,,,,,
,6/30/2010,0.50802139,,,,,,,,,,,,,,,,,
,3/31/2010,0.268817204,,,,,,,,,,,,,,,,,
,12/31/2009,0.39673913,,,,,,,,,,,,,,,,,
,9/30/2009,0.568306011,,,,,,,,,,,,,,,,,
,6/30/2009,0.39010989,,,,,,,,,,,,,,,,,
,3/31/2009,0.252808989,,,,,,,,,,,,,,,,,
,12/31/2008,-7.617977528,,,,,,,,,,,,,,,,,
,9/30/2008,0.797752809,,,,,,,,,,,,,,,,,
,6/30/2008,0.550561798,,,,,,,,,,,,,,,,,
,3/31/2008,0.235955056,,,,,,,,,,,,,,,,,
,12/31/2007,0.581005587,,,,,,,,,,,,,,,,,
,9/28/2007,0.65,,,,,,,,,,,,,,,,,
,6/29/2007,0.524590164,,,,,,,,,,,,,,,,,
,3/30/2007,0.452631579,,,,,,,,,,,,,,,,,
,12/29/2006,0.474226804,,,,,,,,,,,,,,,,,
,9/29/2006,0.45320197,,,,,,,,,,,,,,,,,
,6/30/2006,0.375,,,,,,,,,,,,,,,,,
