CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2
Non-GAAP,,4/30/2026,,0.49,11/28/2024,0.5,10/13/2024,0.51,9/5/2024,0.51,9/4/2024
Plots Adjusted,,1/30/2026,,0.51,,0.5,,0.51,,0.51,
,,10/30/2025,,0.5,,0.46,,0.47,,0.47,
,,7/30/2025,,0.4,,0.41,,0.41,,0.41,
,,4/30/2025,,0.33,,0.39,,0.4,,0.4,
,,1/30/2025,,0.46,,0.41,,0.41,,0.41,
,11/21/2024,10/30/2024,-0.25,0.59,,0.38,,0.38,,0.38,
,8/29/2024,7/30/2024,-0.48,0.35,,0.35,,,,,
,5/30/2024,4/30/2024,-0.41,0.21,,0.21,,,,,
,2/29/2024,1/30/2024,1.69,0.36,,0.36,,,,,
,11/30/2023,10/30/2023,-0.25,0.37,,0.37,,,,,
,8/31/2023,7/30/2023,-0.5,0.25,,0.25,,,,,
,6/1/2023,4/30/2023,-0.48,0.22,,0.22,,,,,
,3/2/2023,1/30/2023,-0.76,0.17,,0.17,,,,,
,11/30/2022,10/30/2022,-0.5,0.01,,0.01,,,,,
,8/25/2022,7/30/2022,-0.74,-0.15,,-0.15,,,,,
,6/1/2022,4/29/2022,-0.7,-0.16,,-0.16,,,,,
,3/3/2022,1/31/2022,-0.61,-0.12,,-0.12,,,,,
,12/1/2021,10/29/2021,-0.51,-0.09,,-0.09,,,,,
,8/25/2021,7/30/2021,-0.38,0.04,,0.04,,,,,
,6/2/2021,4/30/2021,-0.48,-0.08,,-0.08,,,,,
,2/24/2021,1/29/2021,-0.43,-0.04,,-0.04,,,,,
,12/2/2020,10/30/2020,-0.34,-0.03,,-0.03,,,,,
,8/26/2020,7/31/2020,-0.23,0.06,,0.06,,,,,
,6/3/2020,4/30/2020,-0.38,-0.12,,-0.12,,,,,
,2/26/2020,1/31/2020,-0.55,-0.28,,-0.28,,,,,
,12/4/2019,10/31/2019,-0.64,-0.22,,-0.22,,,,,
,8/26/2019,7/31/2019,-0.56,-0.32,,-0.32,,,,,
,6/5/2019,4/26/2019,-0.48,-0.28,,-0.28,,,,,
,2/27/2019,1/25/2019,-0.3,-0.16,,-0.16,,,,,
,12/4/2018,10/26/2018,-0.63,-0.38,,-0.38,,,,,
,,7/27/2018,-0.56,-0.56,,-0.56,,,,,
,,4/30/2018,-0.66,-0.66,,-0.66,,,,,
,,1/26/2018,-0.41,-0.41,,-0.41,,,,,
,,10/26/2017,-0.25,-0.25,,-0.25,,,,,
