CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-GAAP,,12/31/2026,,0.19,6/22/2025,0.19,5/7/2025,0.2,4/19/2025,0.19,3/14/2025,0.14,12/24/2024,0.14,11/14/2024,0.14,10/21/2024,0.14,10/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,6/22/2021,4.49,5/23/2021,4.49,4/22/2021,4.49,4/19/2021
Charts Adjusted,,9/30/2026,,0.17,,0.17,,0.17,,0.17,,0.15,,0.14,,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,,2.98,,2.98,,2.98,
,,6/30/2026,,0.17,,0.17,,0.18,,0.18,,0.14,,0.13,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,2.71,,2.71,,2.71,
,,3/30/2026,,0.16,,0.16,,0.16,,0.15,,0.13,,0.12,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,2.1,,2.1,,2.1,
,,12/31/2025,,0.15,12/24/2024,0.14,12/24/2024,0.16,12/24/2024,0.16,12/24/2024,0.14,12/24/2024,0.14,11/14/2024,0.14,10/21/2024,0.14,10/20/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,6/22/2021,4.49,5/23/2021,4.49,4/22/2021,4.49,4/19/2021
,,9/30/2025,,0.14,,0.14,,0.15,,0.15,,0.15,,0.14,,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,,2.98,,2.98,,2.98,
,,6/30/2025,,0.14,,0.14,,0.14,,0.14,,0.14,,0.13,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,2.71,,2.71,,2.71,
,5/5/2025,3/30/2025,0.11,0.14,,0.13,,0.13,,0.13,,0.12,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,2.1,,2.1,,2.1,,,
,3/10/2025,12/31/2024,0.1,0.13,,0.12,,0.12,,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.49,6/22/2021,4.49,5/23/2021,4.49,4/22/2021,4.49,4/19/2021,,,,,,
,11/12/2024,9/30/2024,0.11,0.15,,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,,2.98,,2.98,,2.98,,,,,,,,,,,
